# Date: 20201022
# Operator: DCC
# Notes: Hawk B 351-L 754.06-753.94. 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: Hawk B 351-L 754.06-753.94
# Fit of Tap:
#	Ic = 80.3 +/- 0.87 A
#	n = 50 +/- 1.1 
#	Vc = 5 uV
#	Vfloor = 1.88 +/- 2e+51 uV
#	R = 0.228 +/- 6.9e+41 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.370000,0.000000,0.049311,21.500891,250.825257
1.200000,0.290000,0.083333,0.069168,21.468806,250.825257
1.300000,0.350000,0.166667,0.078908,21.468806,249.174056
1.400000,0.450000,0.250000,0.094490,21.468806,247.544885
1.300000,0.510000,0.333333,0.111081,21.467023,257.659612
1.300000,0.570000,0.416667,0.130556,21.467023,249.174056
1.300000,0.650000,0.500000,0.142847,21.468806,252.498941
1.300000,0.790000,0.583333,0.158471,21.467023,249.174056
1.000000,0.890000,0.666667,0.175045,21.470588,255.915633
1.200000,0.930000,0.750000,0.190602,21.470588,254.195574
1.300000,1.110000,0.833333,0.206916,21.467023,252.498941
1.300000,1.170000,0.916667,0.222493,21.467023,252.498941
1.300000,1.270000,1.000000,0.239018,21.467023,252.498941
1.300000,1.330000,1.083333,0.254541,21.467023,252.498941
1.200000,1.410000,1.166667,0.271060,21.468806,255.915633
1.200000,1.550000,1.250000,0.286595,21.468806,249.174056
1.200000,1.630000,1.333333,0.303138,21.468806,254.195574
1.300000,1.750000,1.416667,0.318658,21.470588,254.195574
1.300000,1.810000,1.500000,0.335484,21.467023,254.195574
1.100000,1.870000,1.583333,0.351095,21.467023,247.544885
1.300000,2.010000,1.666667,0.366746,21.465241,245.937304
1.300000,2.090000,1.750000,0.383331,21.467023,245.937304
1.200000,2.210000,1.833333,0.399349,21.467023,247.544885
1.200000,2.250000,1.916667,0.414956,21.468806,247.544885
1.200000,2.350000,2.000000,0.431069,21.467023,245.937304
1.300000,2.470000,2.083333,0.447243,21.467023,244.350882
1.200000,2.630000,2.166667,0.462807,21.467023,247.544885
1.300000,2.670000,2.250000,0.479360,21.467023,245.937304
1.000000,2.730000,2.333333,0.494926,21.468806,250.825257
1.100000,2.870000,2.416667,0.510437,21.470588,249.174056
1.300000,2.950000,2.500000,0.527011,21.470588,249.174056
1.200000,3.030000,2.583333,0.542584,21.468806,252.498941
1.100000,3.150000,2.666667,0.559138,21.468806,252.498941
1.200000,3.170000,2.750000,0.574672,21.468806,252.498941
1.200000,3.390000,2.833333,0.591542,21.468806,252.498941
1.200000,3.430000,2.916667,0.607115,21.470588,252.498941
1.300000,3.510000,3.000000,0.622777,21.467023,257.659612
1.400000,3.590000,3.083333,0.639367,21.467023,255.915633
1.400000,3.670000,3.166667,0.654943,21.472371,252.498941
