# Date: 20201022
# Operator: DCC
# Notes: Hawk A 351-L 754.9-754.78 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: Hawk A 351-L 754.9-754.78
# Fit of Tap:
#	Ic = 131 +/- 0.023 A
#	n = 29.5 +/- 0.28 
#	Vc = 5 uV
#	Vfloor = 1.53 +/- 0.01 uV
#	R = 0.00115 +/- 0.00015 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.350000,0.000000,0.048748,21.502674,255.915633
1.500000,0.330000,0.083333,0.067979,21.467023,252.498941
1.500000,0.350000,0.166667,0.078647,21.470588,249.174056
1.400000,0.410000,0.250000,0.094179,21.470588,247.544885
1.200000,0.510000,0.333333,0.110723,21.470588,244.350882
1.300000,0.550000,0.416667,0.126256,21.468806,244.350882
1.300000,0.650000,0.500000,0.142888,21.502674,276.533787
1.200000,0.910000,0.583333,0.167668,21.470588,254.195574
1.300000,0.890000,0.666667,0.174669,21.467023,242.785204
1.300000,1.030000,0.750000,0.190238,21.468806,244.350882
1.300000,1.090000,0.833333,0.206780,21.468806,244.350882
1.300000,1.270000,0.916667,0.223741,21.468806,247.544885
1.300000,1.230000,1.000000,0.238329,21.470588,250.825257
1.500000,1.410000,1.083333,0.254854,21.470588,250.825257
1.400000,1.410000,1.166667,0.270408,21.467023,247.544885
1.500000,1.530000,1.250000,0.285965,21.472371,252.498941
1.500000,1.650000,1.333333,0.302647,21.468806,250.825257
1.100000,1.730000,1.416667,0.318233,21.468806,249.174056
1.200000,1.790000,1.500000,0.334773,21.468806,249.174056
1.400000,1.930000,1.583333,0.350325,21.470588,250.825257
1.500000,1.990000,1.666667,0.365936,21.468806,250.825257
1.500000,2.110000,1.750000,0.382472,21.467023,252.498941
1.400000,2.170000,1.833333,0.397999,21.472371,252.498941
1.500000,2.270000,1.916667,0.414524,21.470588,252.498941
1.300000,2.430000,2.000000,0.433215,21.468806,252.498941
1.400000,2.470000,2.083333,0.446829,21.470588,252.498941
1.300000,2.590000,2.166667,0.467117,21.468806,252.498941
1.500000,2.710000,2.250000,0.478195,21.470588,250.825257
1.200000,2.790000,2.333333,0.494787,21.468806,249.174056
1.400000,2.890000,2.416667,0.510333,21.468806,247.544885
1.500000,2.970000,2.500000,0.526903,21.467023,247.544885
1.400000,3.090000,2.583333,0.542484,21.474153,245.937304
1.300000,3.110000,2.666667,0.558108,21.468806,247.544885
1.500000,3.210000,2.750000,0.574656,21.465241,249.174056
1.300000,3.370000,2.833333,0.590205,21.468806,247.544885
1.600000,3.470000,2.916667,0.606817,21.468806,245.937304
1.600000,3.510000,3.000000,0.622404,21.467023,242.785204
1.300000,3.710000,3.083333,0.639492,21.468806,252.498941
1.400000,3.750000,3.166667,0.654919,21.470588,250.825257
1.500000,3.790000,3.250000,0.670529,21.467023,250.825257
1.400000,3.970000,3.333333,0.686116,21.468806,249.174056
1.400000,4.030000,3.416667,0.702637,21.470588,250.825257
1.200000,3.670000,3.500000,0.719453,21.434938,255.915633
1.000000,4.190000,3.583333,0.735889,21.434938,255.915633
1.500000,4.250000,3.666667,0.752366,21.436720,255.915633
1.300000,4.430000,3.750000,0.774901,21.434938,245.937304
1.400000,4.470000,3.833333,0.784116,21.436720,255.915633
1.300000,4.610000,3.916667,0.800765,21.433155,250.825257
1.600000,4.650000,4.000000,0.816207,21.436720,233.804667
1.400000,4.830000,4.083333,0.830779,21.465241,244.350882
1.200000,4.830000,4.166667,0.846330,21.470588,245.937304
1.400000,4.910000,4.250000,0.862171,21.474153,252.498941
1.400000,5.090000,4.333333,0.878769,21.468806,249.174056
1.600000,5.230000,4.416667,0.894340,21.468806,247.544885
1.800000,5.290000,4.500000,0.910875,21.470588,247.544885
1.500000,5.330000,4.583333,0.926441,21.468806,245.937304
1.400000,5.450000,4.666667,0.942042,21.468806,249.174056
1.500000,5.530000,4.750000,0.958598,21.465241,244.350882
1.300000,5.650000,4.833333,0.974162,21.472371,245.937304
1.100000,5.630000,4.916667,0.990714,21.467023,244.350882
1.500000,5.830000,5.000000,1.006284,21.470588,245.937304
1.600000,5.870000,5.083333,1.022856,21.468806,247.544885
1.500000,5.970000,5.166667,1.038390,21.467023,252.498941
1.400000,6.190000,5.250000,1.054160,21.467023,249.174056
1.600000,6.290000,5.333333,1.076909,21.470588,250.825257
1.400000,6.310000,5.416667,1.086709,21.467023,249.174056
1.300000,6.350000,5.500000,1.102235,21.472371,250.825257
1.400000,6.530000,5.583333,1.118773,21.468806,254.195574
