# Date: 20201022
# Operator: DCC
# Notes: 2 Spool 2-3 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: 2 Spool 2-3
# Fit of Tap:
#	Ic = 51.3 +/- 0.059 A
#	n = 34.3 +/- 1.5 
#	Vc = 5 uV
#	Vfloor = 1.39 +/- 0.017 uV
#	R = 0.00501 +/- 0.00066 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.400000,0.330000,0.000000,0.051129,21.468806,242.785204
1.200000,0.330000,0.083333,0.068588,21.470588,247.544885
1.300000,0.330000,0.166667,0.082238,21.467023,249.174056
1.300000,0.450000,0.250000,0.098784,21.467023,244.350882
1.300000,0.550000,0.333333,0.114331,21.468806,254.195574
1.400000,0.610000,0.416667,0.130879,21.467023,255.915633
1.300000,0.710000,0.500000,0.153494,21.468806,244.350882
1.300000,0.770000,0.583333,0.162977,21.477718,252.498941
1.300000,0.890000,0.666667,0.179150,21.467023,252.498941
1.100000,0.970000,0.750000,0.194780,21.468806,250.825257
1.700000,1.050000,0.833333,0.210342,21.468806,252.498941
1.200000,1.170000,0.916667,0.226610,21.467023,254.195574
1.300000,1.230000,1.000000,0.242481,21.491979,252.498941
1.400000,1.410000,1.083333,0.258155,21.468806,249.174056
1.200000,1.470000,1.166667,0.274732,21.468806,252.498941
1.400000,1.590000,1.250000,0.290351,21.467023,252.498941
1.200000,1.670000,1.333333,0.306901,21.467023,245.937304
1.500000,1.710000,1.416667,0.322441,21.465241,247.544885
1.500000,1.870000,1.500000,0.339065,21.467023,245.937304
1.300000,1.890000,1.583333,0.354774,21.467023,245.937304
1.500000,1.970000,1.666667,0.370551,21.468806,244.350882
1.300000,2.070000,1.750000,0.386524,21.467023,244.350882
1.400000,2.230000,1.833333,0.402575,21.465241,245.937304
1.500000,2.310000,1.916667,0.418551,21.465241,247.544885
1.400000,2.350000,2.000000,0.435017,21.467023,245.937304
1.400000,2.530000,2.083333,0.456247,21.467023,264.885052
1.400000,2.550000,2.166667,0.466550,21.467023,250.825257
1.300000,2.710000,2.250000,0.482600,21.467023,249.174056
1.400000,2.710000,2.333333,0.498421,21.468806,250.825257
1.100000,2.870000,2.416667,0.514534,21.467023,252.498941
1.400000,2.970000,2.500000,0.530509,21.468806,250.825257
1.500000,3.010000,2.583333,0.546544,21.468806,259.428015
1.400000,3.150000,2.666667,0.562489,21.468806,247.544885
1.300000,3.250000,2.750000,0.578496,21.470588,254.195574
1.500000,3.350000,2.833333,0.594501,21.467023,254.195574
1.500000,3.430000,2.916667,0.610513,21.468806,255.915633
1.400000,3.490000,3.000000,0.626476,21.467023,249.174056
1.400000,3.710000,3.083333,0.643755,21.468806,252.498941
1.200000,3.710000,3.166667,0.658513,21.468806,252.498941
1.400000,3.810000,3.250000,0.674699,21.468806,247.544885
1.300000,3.890000,3.333333,0.690524,21.468806,252.498941
1.400000,4.030000,3.416667,0.706527,21.465241,249.174056
1.400000,4.130000,3.500000,0.722658,21.467023,241.239861
1.400000,4.150000,3.583333,0.740937,21.434938,250.825257
1.100000,4.250000,3.666667,0.765205,21.436720,254.195574
1.400000,4.350000,3.750000,0.774891,21.434938,250.825257
1.400000,4.470000,3.833333,0.788072,21.436720,244.350882
1.200000,4.590000,3.916667,0.804752,21.434938,245.937304
1.200000,4.710000,4.000000,0.820800,21.434938,245.937304
1.300000,4.850000,4.083333,0.835239,21.465241,250.825257
1.600000,4.910000,4.166667,0.852010,21.468806,241.239861
1.400000,4.990000,4.250000,0.866602,21.463458,250.825257
1.200000,5.110000,4.333333,0.882619,21.468806,250.825257
1.500000,5.130000,4.416667,0.898513,21.468806,254.195574
1.200000,5.310000,4.500000,0.914712,21.467023,252.498941
1.200000,5.330000,4.583333,0.930576,21.468806,255.915633
1.300000,5.490000,4.666667,0.946529,21.468806,254.195574
1.500000,5.510000,4.750000,0.962600,21.468806,250.825257
1.400000,5.610000,4.833333,0.978528,21.468806,252.498941
1.300000,5.710000,4.916667,0.994512,21.468806,254.195574
1.500000,5.770000,5.000000,1.010103,21.468806,252.498941
1.500000,5.890000,5.083333,1.026639,21.465241,250.825257
