# Date: 20201022
# Operator: DCC
# Notes: 349-L 208.425-208.535. 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: 349-L 208.425-208.535
# Fit of Tap:
#	Ic = 145 +/- 1 A
#	n = 49.5 +/- 7.7 
#	Vc = 5 uV
#	Vfloor = 1.39 +/- 1.2e+19 uV
#	R = 0.00436 +/- 1e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.330000,0.000000,0.052164,21.506239,250.825257
1.100000,0.330000,0.083333,0.071180,21.468806,244.350882
1.400000,0.350000,0.166667,0.081850,21.468806,257.659612
1.500000,0.390000,0.250000,0.097521,21.468806,254.195574
1.300000,0.490000,0.333333,0.114069,21.468806,257.659612
1.200000,0.610000,0.416667,0.129600,21.467023,250.825257
1.300000,0.730000,0.500000,0.146304,21.470588,255.915633
1.200000,0.790000,0.583333,0.162850,21.468806,254.195574
1.300000,0.830000,0.666667,0.177995,21.468806,250.825257
1.300000,0.990000,0.750000,0.194206,21.472371,252.498941
1.100000,1.150000,0.833333,0.210118,21.468806,245.937304
1.200000,1.270000,0.916667,0.225686,21.467023,232.373366
1.400000,1.290000,1.000000,0.242255,21.468806,247.544885
1.400000,1.330000,1.083333,0.258142,21.468806,250.825257
1.200000,1.450000,1.166667,0.274171,21.474153,250.825257
1.200000,1.610000,1.250000,0.290186,21.467023,247.544885
1.100000,1.630000,1.333333,0.306280,21.468806,249.174056
1.300000,1.770000,1.416667,0.322253,21.470588,247.544885
1.500000,1.810000,1.500000,0.338131,21.470588,249.174056
1.500000,1.870000,1.583333,0.354119,21.477718,250.825257
1.400000,1.930000,1.666667,0.370146,21.470588,255.915633
1.400000,2.070000,1.750000,0.386527,21.470588,250.825257
1.300000,2.210000,1.833333,0.402379,21.468806,252.498941
1.400000,2.250000,1.916667,0.418105,21.470588,254.195574
1.300000,2.410000,2.000000,0.434006,21.468806,255.915633
1.400000,2.510000,2.083333,0.459175,21.470588,242.785204
1.200000,2.510000,2.166667,0.466330,21.470588,254.195574
1.300000,2.690000,2.250000,0.482250,21.468806,255.915633
1.400000,2.810000,2.333333,0.498061,21.468806,255.915633
1.500000,2.850000,2.416667,0.513951,21.472371,250.825257
1.600000,2.950000,2.500000,0.529521,21.467023,250.825257
