# Date: 20201022
# Operator: DCC
# Notes: 349-L 208.425-208.535. 15 in/lb on each nut
# Tap_cm: 5.0
# Sample: 349-L 208.425-208.535
# Fit of Tap:
#	Ic = 156 +/- 0.068 A
#	n = 40 +/- 0.82 
#	Vc = 5 uV
#	Vfloor = 1.46 +/- 0.008 uV
#	R = 0.00106 +/- 9.9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.290000,0.000000,0.047975,21.468806,245.937304
1.300000,0.330000,0.083333,0.069139,21.468806,249.174056
1.400000,0.370000,0.166667,0.084308,21.463458,244.350882
1.500000,0.430000,0.250000,0.100886,21.467023,245.937304
1.300000,0.490000,0.333333,0.116426,21.468806,245.937304
1.300000,0.630000,0.416667,0.132976,21.468806,247.544885
1.300000,0.710000,0.500000,0.148526,21.468806,249.174056
1.300000,0.770000,0.583333,0.165051,21.467023,245.937304
1.300000,0.890000,0.666667,0.180581,21.470588,247.544885
1.300000,0.990000,0.750000,0.196101,21.468806,249.174056
1.400000,1.110000,0.833333,0.214743,21.467023,245.937304
1.300000,1.170000,0.916667,0.228350,21.468806,252.498941
1.400000,1.370000,1.000000,0.245852,21.440285,250.825257
1.500000,1.370000,1.083333,0.262554,21.431373,249.174056
1.200000,1.410000,1.166667,0.278046,21.434938,249.174056
1.200000,1.510000,1.250000,0.294565,21.434938,249.174056
1.200000,1.610000,1.333333,0.310033,21.434938,252.498941
1.500000,1.790000,1.416667,0.332862,21.434938,241.239861
1.300000,1.790000,1.500000,0.342104,21.434938,249.174056
1.500000,1.870000,1.583333,0.357012,21.472371,254.195574
1.600000,2.050000,1.666667,0.372560,21.468806,257.659612
1.300000,2.110000,1.750000,0.388112,21.467023,252.498941
1.300000,2.190000,1.833333,0.404801,21.467023,252.498941
1.300000,2.290000,1.916667,0.420636,21.470588,252.498941
1.300000,2.390000,2.000000,0.436271,21.468806,250.825257
1.300000,2.490000,2.083333,0.452827,21.470588,249.174056
1.300000,2.610000,2.166667,0.468381,21.468806,244.350882
1.500000,2.650000,2.250000,0.484898,21.470588,250.825257
1.400000,2.750000,2.333333,0.500513,21.468806,249.174056
1.200000,2.850000,2.416667,0.517141,21.468806,247.544885
1.300000,2.930000,2.500000,0.532696,21.472371,239.714457
1.400000,3.090000,2.583333,0.548252,21.468806,247.544885
1.300000,3.110000,2.666667,0.564844,21.468806,245.937304
1.600000,3.270000,2.750000,0.580398,21.468806,245.937304
1.400000,3.310000,2.833333,0.596955,21.472371,249.174056
1.400000,3.170000,2.916667,0.625700,21.468806,255.915633
1.400000,3.490000,3.000000,0.632417,21.468806,245.937304
1.100000,3.550000,3.083333,0.644954,21.467023,249.174056
1.400000,3.730000,3.166667,0.660482,21.468806,250.825257
1.300000,3.790000,3.250000,0.677039,21.468806,252.498941
