# Date: 20201030
# Operator: DCC
# Notes: 248F-8 and 15 in/lb per nut. post testing after cinnamon stick reflow soldering
# Tap_cm: 6.0
# Sample: 248F-8
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.310000,0.000000,0.059380,20.696970,241.239861
1.100000,0.290000,0.083333,0.074589,20.702317,244.350882
1.100000,0.350000,0.166667,0.090156,20.713012,249.174056
1.400000,0.450000,0.250000,0.104915,20.711230,249.174056
1.100000,0.470000,0.333333,0.120454,20.705882,250.825257
1.000000,0.590000,0.416667,0.136907,20.702317,252.498941
1.100000,0.770000,0.500000,0.152957,20.711230,250.825257
1.100000,0.770000,0.583333,0.168506,20.702317,249.174056
1.200000,0.890000,0.666667,0.185086,20.711230,252.498941
1.000000,0.990000,0.750000,0.204409,20.707665,252.498941
1.200000,1.050000,0.833333,0.217013,20.714795,252.498941
1.200000,1.170000,0.916667,0.232640,20.702317,254.195574
1.300000,1.230000,1.000000,0.249305,20.704100,250.825257
1.200000,1.370000,1.083333,0.264871,20.705882,252.498941
1.100000,1.410000,1.166667,0.280425,20.707665,245.937304
0.800000,1.530000,1.250000,0.296978,20.709447,250.825257
1.300000,1.610000,1.333333,0.312523,20.705882,252.498941
1.200000,1.750000,1.416667,0.329060,20.714795,249.174056
1.300000,1.850000,1.500000,0.344660,20.704100,249.174056
1.400000,1.890000,1.583333,0.361188,20.709447,247.544885
1.200000,1.970000,1.666667,0.376722,20.705882,244.350882
1.300000,2.090000,1.750000,0.394498,20.702317,247.544885
1.100000,2.190000,1.833333,0.409462,20.705882,247.544885
0.900000,2.270000,1.916667,0.425543,20.707665,245.937304
1.000000,2.330000,2.000000,0.441536,20.711230,245.937304
1.300000,2.510000,2.083333,0.456609,20.705882,244.350882
1.200000,2.550000,2.166667,0.472549,20.709447,249.174056
0.900000,2.650000,2.250000,0.489583,20.704100,244.350882
1.400000,2.750000,2.333333,0.504642,20.704100,247.544885
1.000000,2.870000,2.416667,0.521572,20.707665,247.544885
0.900000,2.990000,2.500000,0.537539,20.705882,250.825257
1.200000,2.990000,2.583333,0.553562,20.696970,249.174056
1.200000,3.150000,2.666667,0.568535,20.704100,252.498941
1.300000,3.230000,2.750000,0.584505,20.704100,254.195574
1.100000,3.410000,2.833333,0.601525,20.700535,252.498941
1.000000,3.510000,2.916667,0.617532,20.707665,254.195574
0.900000,3.510000,3.000000,0.632618,20.702317,249.174056
