# Date: 20201030
# Operator: DCC
# Notes: MIT232-1 and 15 in/lb per nut. 
# Tap_cm: 5.0
# Sample: MIT232-1
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.010000,0.000000,0.059770,20.709447,245.937304
1.000000,-0.050000,0.083333,0.075116,20.711230,245.937304
1.400000,-0.010000,0.166667,0.090542,20.709447,245.937304
1.100000,0.010000,0.250000,0.105186,20.713012,245.937304
1.000000,0.250000,0.333333,0.125415,20.718360,245.937304
1.100000,-0.010000,0.416667,0.137543,20.705882,247.544885
0.900000,-0.090000,0.500000,0.153142,20.705882,247.544885
1.100000,0.050000,0.583333,0.169755,20.705882,252.498941
1.000000,0.030000,0.666667,0.185397,20.707665,249.174056
1.100000,-0.030000,0.750000,0.201040,20.702317,245.937304
1.400000,-0.030000,0.833333,0.222498,20.700535,245.937304
1.100000,-0.010000,0.916667,0.233121,20.709447,249.174056
1.200000,-0.010000,1.000000,0.249807,20.705882,241.239861
1.200000,-0.030000,1.083333,0.265400,20.707665,250.825257
1.000000,-0.070000,1.166667,0.281030,20.713012,250.825257
1.200000,-0.010000,1.250000,0.297596,20.714795,247.544885
1.200000,-0.030000,1.333333,0.313160,20.709447,250.825257
1.100000,-0.050000,1.416667,0.329735,20.704100,250.825257
1.300000,-0.050000,1.500000,0.345293,20.709447,247.544885
1.200000,0.010000,1.583333,0.360889,20.705882,247.544885
1.300000,-0.050000,1.666667,0.377436,20.714795,247.544885
1.200000,-0.030000,1.750000,0.392975,20.704100,242.785204
1.100000,-0.030000,1.833333,0.409529,20.707665,247.544885
1.000000,-0.050000,1.916667,0.430786,20.720143,230.959832
1.000000,0.010000,2.000000,0.441558,20.713012,245.937304
1.300000,-0.050000,2.083333,0.457153,20.698752,249.174056
1.300000,-0.130000,2.166667,0.473730,20.705882,245.937304
1.100000,0.010000,2.250000,0.489356,20.709447,244.350882
1.100000,-0.030000,2.333333,0.504945,20.709447,249.174056
0.900000,-0.010000,2.416667,0.521506,20.713012,245.937304
1.000000,0.010000,2.500000,0.537069,20.709447,252.498941
0.900000,0.010000,2.583333,0.553615,20.705882,249.174056
1.000000,0.010000,2.666667,0.569186,20.700535,250.825257
0.800000,-0.050000,2.750000,0.585729,20.707665,247.544885
1.000000,-0.110000,2.833333,0.601271,20.711230,247.544885
1.200000,-0.050000,2.916667,0.621047,20.711230,249.174056
1.100000,-0.050000,3.000000,0.633665,20.705882,249.174056
1.100000,0.010000,3.083333,0.649382,20.702317,250.825257
1.000000,-0.010000,3.166667,0.665009,20.705882,245.937304
1.200000,-0.030000,3.250000,0.681599,20.704100,257.659612
1.400000,-0.030000,3.333333,0.697242,20.711230,252.498941
1.300000,-0.030000,3.416667,0.712814,20.707665,250.825257
1.200000,-0.030000,3.500000,0.729160,20.704100,249.174056
1.200000,0.030000,3.583333,0.744850,20.707665,249.174056
1.200000,-0.050000,3.666667,0.761436,20.707665,244.350882
1.300000,-0.070000,3.750000,0.777008,20.704100,247.544885
0.900000,-0.010000,3.833333,0.793576,20.700535,249.174056
1.000000,-0.090000,3.916667,0.810907,20.707665,247.544885
1.100000,0.050000,4.000000,0.829724,20.698752,247.544885
0.900000,-0.030000,4.083333,0.843713,20.709447,245.937304
1.100000,-0.030000,4.166667,0.859369,20.702317,247.544885
1.200000,-0.030000,4.250000,0.874868,20.704100,244.350882
1.000000,-0.030000,4.333333,0.891461,20.707665,247.544885
1.000000,-0.030000,4.416667,0.905673,20.704100,245.937304
1.100000,-0.010000,4.500000,0.921260,20.705882,247.544885
1.000000,-0.050000,4.583333,0.936893,20.711230,249.174056
1.100000,-0.030000,4.666667,0.953581,20.713012,247.544885
