# Date: 20201102
# Operator: DCC
# Notes: 
# Tap_cm: 5.0
# Sample: MIT232-1
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
-0.100000,0.250000,0.000000,0.087502,21.408200,245.937304
-0.200000,0.310000,0.083333,0.110964,21.408200,249.174056
-0.400000,0.330000,0.166667,0.126446,21.408200,249.174056
-0.200000,0.410000,0.250000,0.142241,21.404635,245.937304
-0.100000,0.490000,0.333333,0.158013,21.402852,245.937304
-0.300000,0.590000,0.416667,0.174790,21.404635,242.785204
-0.300000,0.670000,0.500000,0.190556,21.408200,238.208608
-0.200000,0.810000,0.583333,0.206136,21.408200,245.937304
-0.300000,0.930000,0.666667,0.222064,21.408200,242.785204
-0.100000,1.030000,0.750000,0.238859,21.406417,241.239861
-0.300000,1.070000,0.833333,0.254799,21.406417,244.350882
-0.300000,1.150000,0.916667,0.270830,21.406417,244.350882
-0.400000,1.210000,1.000000,0.286250,21.406417,249.174056
-0.200000,1.350000,1.083333,0.303613,21.406417,245.937304
-0.300000,1.370000,1.166667,0.318856,21.408200,247.544885
-0.300000,1.490000,1.250000,0.334845,21.406417,249.174056
-0.200000,1.670000,1.333333,0.350805,21.409982,249.174056
-0.500000,1.710000,1.416667,0.366869,21.408200,250.825257
-0.300000,1.790000,1.500000,0.382738,21.406417,252.498941
-0.300000,1.910000,1.583333,0.399095,21.409982,252.498941
-0.400000,1.970000,1.666667,0.414829,21.406417,250.825257
-0.300000,2.090000,1.750000,0.430261,21.406417,252.498941
-0.200000,2.170000,1.833333,0.446914,21.408200,252.498941
-0.200000,2.310000,1.916667,0.464780,21.406417,249.174056
-0.500000,2.350000,2.000000,0.478633,21.406417,252.498941
-0.300000,2.510000,2.083333,0.494504,21.409982,247.544885
-0.200000,2.610000,2.166667,0.510335,21.406417,250.825257
-0.300000,2.610000,2.250000,0.526340,21.404635,247.544885
-0.300000,2.810000,2.333333,0.542313,21.406417,244.350882
-0.200000,2.870000,2.416667,0.558319,21.406417,245.937304
-0.600000,2.950000,2.500000,0.574442,21.404635,242.785204
-0.200000,3.030000,2.583333,0.590311,21.406417,242.785204
-0.400000,3.110000,2.666667,0.613241,21.406417,238.208608
-0.300000,3.210000,2.750000,0.623024,21.408200,249.174056
-0.400000,3.310000,2.833333,0.638334,21.408200,247.544885
-0.200000,3.470000,2.916667,0.654434,21.408200,252.498941
-0.600000,3.550000,3.000000,0.670331,21.406417,247.544885
-0.300000,3.590000,3.083333,0.686350,21.406417,245.937304
-0.300000,3.770000,3.166667,0.702321,21.402852,250.825257
-0.200000,3.910000,3.250000,0.718359,21.404635,249.174056
-0.500000,3.890000,3.333333,0.734460,21.406417,252.498941
-0.400000,3.990000,3.416667,0.750292,21.406417,255.915633
-0.300000,4.190000,3.500000,0.766096,21.408200,252.498941
-0.200000,4.210000,3.583333,0.781903,21.404635,255.915633
-0.400000,4.310000,3.666667,0.798069,21.408200,252.498941
-0.300000,4.410000,3.750000,0.813917,21.406417,254.195574
-0.300000,4.490000,3.833333,0.830706,21.408200,254.195574
-0.200000,4.570000,3.916667,0.846486,21.406417,250.825257
-0.200000,4.690000,4.000000,0.862248,21.406417,247.544885
-0.400000,4.750000,4.083333,0.878348,21.406417,245.937304
-0.300000,4.850000,4.166667,0.901753,21.408200,254.195574
