# Date: 20201102
# Operator: DCC
# Notes: MIT872-1 with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: MIT872-1
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
0.400000,0.310000,0.000000,0.053075,21.408200,250.825257
0.600000,0.270000,0.083333,0.072824,21.408200,250.825257
0.400000,0.290000,0.166667,0.084540,21.404635,249.174056
0.400000,0.490000,0.250000,0.100512,21.406417,247.544885
0.500000,0.510000,0.333333,0.117395,21.406417,247.544885
0.400000,0.590000,0.416667,0.132636,21.406417,249.174056
0.300000,0.730000,0.500000,0.148482,21.404635,249.174056
0.400000,0.770000,0.583333,0.164503,21.408200,245.937304
0.700000,0.930000,0.666667,0.180499,21.406417,249.174056
0.500000,0.970000,0.750000,0.196591,21.406417,242.785204
0.300000,1.050000,0.833333,0.212630,21.404635,242.785204
0.500000,1.190000,0.916667,0.228509,21.402852,245.937304
0.400000,1.230000,1.000000,0.244495,21.404635,245.937304
0.600000,1.370000,1.083333,0.260536,21.406417,245.937304
0.500000,1.390000,1.166667,0.276623,21.406417,245.937304
0.700000,1.590000,1.250000,0.292577,21.409982,245.937304
0.300000,1.590000,1.333333,0.308519,21.408200,247.544885
0.500000,1.710000,1.416667,0.325185,21.406417,245.937304
0.700000,1.830000,1.500000,0.340784,21.402852,242.785204
0.500000,1.910000,1.583333,0.356329,21.408200,247.544885
0.300000,2.030000,1.666667,0.372278,21.406417,250.825257
0.600000,2.090000,1.750000,0.388867,21.408200,254.195574
0.400000,2.210000,1.833333,0.404580,21.408200,252.498941
0.600000,2.290000,1.916667,0.420497,21.406417,255.915633
0.400000,2.350000,2.000000,0.436516,21.406417,250.825257
0.400000,2.450000,2.083333,0.452578,21.408200,252.498941
0.500000,2.530000,2.166667,0.468501,21.409982,250.825257
0.500000,2.690000,2.250000,0.484480,21.404635,252.498941
0.600000,2.750000,2.333333,0.500527,21.408200,247.544885
0.300000,2.810000,2.416667,0.516523,21.409982,250.825257
0.500000,2.990000,2.500000,0.532553,21.406417,245.937304
0.600000,3.090000,2.583333,0.548511,21.409982,249.174056
0.500000,3.090000,2.666667,0.564544,21.406417,247.544885
0.400000,3.230000,2.750000,0.584519,21.406417,252.498941
0.500000,3.310000,2.833333,0.596927,21.404635,245.937304
0.500000,3.430000,2.916667,0.612642,21.406417,244.350882
0.500000,3.530000,3.000000,0.631489,21.408200,247.544885
0.300000,3.650000,3.083333,0.645062,21.408200,245.937304
