# Date: 20201103
# Operator: DCC
# Notes: SOX351-C 755.16-755.04with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: SOX351-C 755.16-755.04
# Fit of Tap:
#	Ic = 41.8 +/- 4 A
#	n = 94.2 +/- 1.9e+02 
#	Vc = 5 uV
#	Vfloor = 1.08 +/- 0.013 uV
#	R = 0.00736 +/- 0.00057 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.330000,0.000000,0.049533,21.406417,250.825257
1.200000,0.350000,0.083333,0.067365,21.408200,254.195574
1.100000,0.310000,0.166667,0.081065,21.404635,247.544885
1.000000,0.410000,0.250000,0.097498,21.408200,245.937304
1.200000,0.550000,0.333333,0.112616,21.406417,245.937304
1.400000,0.630000,0.416667,0.129191,21.409982,249.174056
1.200000,0.750000,0.500000,0.144738,21.408200,247.544885
1.100000,0.790000,0.583333,0.161351,21.406417,244.350882
0.900000,0.870000,0.666667,0.176938,21.406417,244.350882
1.100000,0.990000,0.750000,0.192528,21.408200,245.937304
1.100000,1.090000,0.833333,0.209125,21.404635,239.714457
1.300000,1.130000,0.916667,0.224925,21.406417,244.350882
1.100000,1.250000,1.000000,0.240535,21.409982,247.544885
1.000000,1.370000,1.083333,0.257084,21.408200,249.174056
1.100000,1.450000,1.166667,0.272625,21.406417,249.174056
1.100000,1.570000,1.250000,0.289175,21.408200,247.544885
1.100000,1.650000,1.333333,0.304727,21.406417,252.498941
1.000000,1.750000,1.416667,0.321270,21.404635,250.825257
1.000000,1.810000,1.500000,0.336803,21.408200,252.498941
1.200000,1.910000,1.583333,0.353344,21.409982,252.498941
1.300000,1.970000,1.666667,0.368867,21.408200,252.498941
1.000000,2.150000,1.750000,0.385401,21.408200,252.498941
1.100000,2.190000,1.833333,0.400852,21.409982,254.195574
1.200000,2.290000,1.916667,0.416518,21.409982,250.825257
1.100000,2.350000,2.000000,0.433456,21.406417,252.498941
0.900000,2.490000,2.083333,0.449065,21.406417,247.544885
1.200000,2.590000,2.166667,0.464772,21.406417,252.498941
0.900000,2.650000,2.250000,0.481403,21.406417,249.174056
0.800000,2.750000,2.333333,0.496959,21.406417,250.825257
1.400000,2.850000,2.416667,0.512642,21.406417,244.350882
1.200000,2.970000,2.500000,0.529229,21.406417,244.350882
1.000000,3.110000,2.583333,0.544805,21.404635,245.937304
1.200000,3.170000,2.666667,0.561340,21.406417,244.350882
0.900000,3.310000,2.750000,0.576889,21.408200,244.350882
1.200000,3.430000,2.833333,0.592464,21.404635,245.937304
1.200000,3.490000,2.916667,0.609042,21.404635,241.239861
1.100000,3.570000,3.000000,0.624586,21.408200,249.174056
1.000000,3.670000,3.083333,0.643593,21.406417,245.937304
0.900000,3.710000,3.166667,0.657184,21.408200,249.174056
1.000000,3.790000,3.250000,0.672708,21.409982,247.544885
1.100000,3.930000,3.333333,0.694715,21.408200,247.544885
0.900000,4.030000,3.416667,0.704773,21.408200,252.498941
1.000000,4.070000,3.500000,0.721422,21.408200,250.825257
0.900000,4.250000,3.583333,0.738843,21.385027,255.915633
1.200000,4.250000,3.666667,0.754309,21.383244,252.498941
1.300000,4.410000,3.750000,0.770838,21.385027,254.195574
1.400000,4.510000,3.833333,0.786294,21.386809,254.195574
1.300000,4.570000,3.916667,0.802808,21.385027,254.195574
1.100000,4.630000,4.000000,0.818240,21.388592,252.498941
1.100000,4.750000,4.083333,0.834945,21.386809,252.498941
1.000000,4.890000,4.166667,0.853342,21.386809,249.174056
1.300000,4.930000,4.250000,0.869375,21.388592,250.825257
1.200000,5.030000,4.333333,0.882918,21.383244,249.174056
1.100000,5.170000,4.416667,0.898376,21.385027,250.825257
1.300000,5.210000,4.500000,0.914929,21.386809,249.174056
1.300000,5.310000,4.583333,0.930345,21.385027,245.937304
1.200000,5.430000,4.666667,0.945075,21.406417,245.937304
1.100000,5.490000,4.750000,0.960699,21.404635,252.498941
1.200000,5.610000,4.833333,0.977350,21.406417,244.350882
0.900000,5.690000,4.916667,0.994157,21.404635,245.937304
1.300000,5.850000,5.000000,1.009245,21.404635,244.350882
1.100000,5.870000,5.083333,1.024844,21.408200,244.350882
0.900000,6.010000,5.166667,1.041404,21.409982,249.174056
1.100000,6.110000,5.250000,1.056939,21.408200,250.825257
1.100000,6.210000,5.333333,1.072657,21.406417,249.174056
0.900000,6.310000,5.416667,1.089263,21.406417,245.937304
1.300000,6.350000,5.500000,1.104823,21.408200,250.825257
1.100000,6.510000,5.583333,1.121363,21.409982,252.498941
1.300000,6.570000,5.666667,1.136904,21.409982,250.825257
1.100000,6.750000,5.750000,1.152482,21.408200,250.825257
1.200000,6.830000,5.833333,1.169041,21.409982,250.825257
1.200000,6.890000,5.916667,1.184609,21.408200,252.498941
1.000000,6.950000,6.000000,1.201162,21.409982,252.498941
1.200000,7.010000,6.083333,1.216802,21.409982,252.498941
1.200000,7.190000,6.166667,1.233402,21.404635,250.825257
0.900000,7.310000,6.250000,1.248958,21.404635,252.498941
1.300000,7.350000,6.333333,1.264510,21.409982,249.174056
1.000000,7.470000,6.416667,1.280808,21.408200,244.350882
1.100000,7.550000,6.500000,1.297498,21.406417,247.544885
1.000000,7.690000,6.583333,1.313080,21.408200,245.937304
1.200000,7.790000,6.666667,1.328662,21.406417,245.937304
1.100000,7.810000,6.750000,1.345194,21.406417,244.350882
1.000000,7.950000,6.833333,1.360724,21.406417,247.544885
1.000000,8.030000,6.916667,1.377249,21.408200,244.350882
1.100000,8.110000,7.000000,1.392806,21.404635,247.544885
1.100000,8.250000,7.083333,1.409367,21.406417,244.350882
1.100000,8.310000,7.166667,1.424910,21.409982,247.544885
1.200000,8.450000,7.250000,1.440457,21.408200,247.544885
1.200000,8.470000,7.333333,1.457005,21.406417,250.825257
0.900000,8.610000,7.416667,1.472651,21.406417,249.174056
1.100000,8.550000,7.500000,1.488884,21.408200,250.825257
0.900000,8.750000,7.583333,1.504517,21.408200,254.195574
1.200000,8.890000,7.666667,1.521119,21.408200,250.825257
1.200000,8.950000,7.750000,1.536696,21.408200,252.498941
1.300000,9.070000,7.833333,1.553259,21.406417,252.498941
1.300000,9.150000,7.916667,1.568803,21.409982,250.825257
1.100000,9.230000,8.000000,1.585349,21.408200,255.915633
1.300000,9.370000,8.083333,1.601298,21.409982,252.498941
1.000000,9.390000,8.166667,1.617372,21.406417,250.825257
1.300000,9.450000,8.250000,1.632961,21.408200,249.174056
1.000000,9.670000,8.333333,1.650182,21.385027,249.174056
1.300000,9.730000,8.416667,1.666664,21.381462,247.544885
1.000000,9.870000,8.500000,1.683076,21.385027,249.174056
1.200000,9.870000,8.583333,1.702613,21.385027,252.498941
1.200000,10.070000,8.666667,1.715247,21.383244,247.544885
1.300000,10.110000,8.750000,1.730869,21.385027,250.825257
1.000000,10.210000,8.833333,1.745955,21.392157,249.174056
1.100000,10.310000,8.916667,1.760520,21.408200,244.350882
1.100000,10.410000,9.000000,1.777101,21.408200,245.937304
1.100000,10.570000,9.083333,1.792649,21.404635,242.785204
1.200000,10.610000,9.166667,1.809180,21.406417,242.785204
1.300000,10.690000,9.250000,1.824721,21.409982,249.174056
1.100000,10.790000,9.333333,1.841256,21.409982,244.350882
1.100000,10.850000,9.416667,1.856784,21.408200,249.174056
1.200000,10.950000,9.500000,1.873385,21.408200,249.174056
1.000000,11.070000,9.583333,1.900459,21.404635,252.498941
1.300000,11.110000,9.666667,1.907055,21.408200,245.937304
1.000000,11.190000,9.750000,1.920582,21.404635,252.498941
1.000000,11.390000,9.833333,1.937121,21.406417,252.498941
1.200000,11.510000,9.916667,1.952644,21.406417,250.825257
1.300000,11.570000,10.000000,1.969272,21.408200,250.825257
1.200000,11.690000,10.083333,1.984847,21.409982,252.498941
1.100000,11.750000,10.166667,2.001384,21.409982,250.825257
1.200000,11.850000,10.250000,2.016938,21.408200,254.195574
1.000000,11.990000,10.333333,2.032495,21.404635,250.825257
1.200000,12.070000,10.416667,2.049030,21.406417,245.937304
1.300000,12.190000,10.500000,2.064572,21.406417,247.544885
1.100000,12.230000,10.583333,2.081120,21.409982,249.174056
1.000000,12.390000,10.666667,2.097603,21.406417,245.937304
0.900000,12.390000,10.750000,2.113249,21.404635,247.544885
1.300000,12.470000,10.833333,2.128810,21.406417,241.239861
1.200000,12.610000,10.916667,2.145351,21.404635,245.937304
1.100000,12.690000,11.000000,2.160968,21.404635,247.544885
1.400000,12.790000,11.083333,2.176575,21.406417,239.714457
1.000000,12.910000,11.166667,2.194305,21.404635,244.350882
1.200000,13.030000,11.250000,2.209464,21.402852,245.937304
1.200000,13.090000,11.333333,2.225184,21.406417,247.544885
0.900000,13.170000,11.416667,2.240785,21.411765,250.825257
1.300000,13.250000,11.500000,2.257365,21.408200,250.825257
1.100000,13.430000,11.583333,2.272919,21.406417,249.174056
1.000000,13.470000,11.666667,2.291575,21.408200,249.174056
1.300000,13.570000,11.750000,2.305170,21.409982,249.174056
1.000000,13.670000,11.833333,2.320683,21.406417,252.498941
1.100000,13.790000,11.916667,2.337216,21.409982,252.498941
1.400000,13.910000,12.000000,2.352743,21.404635,254.195574
1.300000,13.950000,12.083333,2.369278,21.406417,247.544885
1.300000,14.070000,12.166667,2.384834,21.409982,252.498941
