# Date: 20201103
# Operator: DCC
# Notes: SOX351-C 755.16-755.04with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: SOX351-C 755.16-755.04
# Fit of Tap:
#	Ic = 53.1 +/- 3.4 A
#	n = 61.5 +/- 60 
#	Vc = 5 uV
#	Vfloor = 1.14 +/- 0.012 uV
#	R = 0.00588 +/- 0.00044 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.330000,0.000000,0.046775,21.404635,249.174056
0.800000,0.330000,0.083333,0.064978,21.404635,245.937304
1.000000,0.330000,0.166667,0.078710,21.409982,245.937304
1.300000,0.430000,0.250000,0.094268,21.406417,249.174056
1.200000,0.550000,0.333333,0.109823,21.406417,250.825257
1.100000,0.590000,0.416667,0.126367,21.406417,249.174056
0.900000,0.690000,0.500000,0.141919,21.406417,250.825257
1.100000,0.790000,0.583333,0.158458,21.408200,247.544885
0.900000,0.890000,0.666667,0.174122,21.409982,250.825257
1.100000,1.030000,0.750000,0.190731,21.406417,250.825257
1.100000,1.030000,0.833333,0.206400,21.406417,254.195574
1.200000,1.170000,0.916667,0.222019,21.406417,254.195574
1.400000,1.230000,1.000000,0.238436,21.406417,254.195574
0.900000,1.310000,1.083333,0.254503,21.408200,255.915633
1.100000,1.410000,1.166667,0.270184,21.404635,249.174056
1.000000,1.530000,1.250000,0.285775,21.404635,247.544885
1.100000,1.650000,1.333333,0.302330,21.406417,249.174056
1.100000,1.730000,1.416667,0.317923,21.406417,244.350882
1.200000,1.830000,1.500000,0.334480,21.406417,252.498941
1.200000,1.910000,1.583333,0.350020,21.406417,244.350882
1.200000,1.990000,1.666667,0.366573,21.404635,244.350882
1.200000,2.170000,1.750000,0.382122,21.406417,244.350882
1.200000,2.170000,1.833333,0.398179,21.404635,245.937304
0.900000,2.330000,1.916667,0.413776,21.406417,244.350882
1.100000,2.470000,2.000000,0.430432,21.404635,245.937304
1.300000,2.490000,2.083333,0.446064,21.406417,249.174056
1.100000,2.630000,2.166667,0.462687,21.409982,244.350882
1.300000,2.670000,2.250000,0.478281,21.408200,250.825257
1.100000,2.770000,2.333333,0.493840,21.406417,245.937304
1.200000,2.850000,2.416667,0.510414,21.404635,252.498941
1.100000,3.030000,2.500000,0.533766,21.404635,247.544885
1.000000,3.030000,2.583333,0.541878,21.408200,250.825257
1.000000,3.170000,2.666667,0.558464,21.406417,252.498941
1.300000,3.230000,2.750000,0.574024,21.406417,252.498941
1.200000,3.390000,2.833333,0.590381,21.408200,252.498941
1.300000,3.470000,2.916667,0.606041,21.409982,254.195574
1.200000,3.550000,3.000000,0.622620,21.404635,250.825257
1.200000,3.630000,3.083333,0.638188,21.406417,252.498941
1.100000,3.690000,3.166667,0.653769,21.406417,254.195574
1.300000,3.830000,3.250000,0.670383,21.406417,250.825257
0.900000,3.870000,3.333333,0.686069,21.406417,250.825257
1.100000,4.030000,3.416667,0.704456,21.383244,252.498941
1.200000,4.090000,3.500000,0.720131,21.383244,252.498941
1.100000,4.210000,3.583333,0.735714,21.385027,249.174056
1.000000,4.310000,3.666667,0.752321,21.385027,249.174056
1.200000,4.450000,3.750000,0.767857,21.383244,250.825257
1.000000,4.510000,3.833333,0.787140,21.381462,250.825257
1.100000,4.530000,3.916667,0.799475,21.385027,225.476864
0.900000,4.690000,4.000000,0.814141,21.404635,247.544885
1.200000,4.770000,4.083333,0.832955,21.406417,245.937304
1.000000,4.850000,4.166667,0.846078,21.408200,245.937304
1.200000,4.870000,4.250000,0.862693,21.406417,247.544885
1.000000,5.090000,4.333333,0.878265,21.406417,247.544885
1.200000,5.170000,4.416667,0.893834,21.404635,247.544885
1.300000,5.210000,4.500000,0.910399,21.409982,247.544885
1.300000,5.330000,4.583333,0.926045,21.408200,247.544885
1.300000,5.450000,4.666667,0.942677,21.406417,247.544885
1.400000,5.510000,4.750000,0.959925,21.406417,250.825257
1.000000,5.630000,4.833333,0.974672,21.406417,250.825257
1.100000,5.690000,4.916667,0.990286,21.404635,252.498941
1.100000,5.890000,5.000000,1.005868,21.408200,252.498941
1.400000,5.910000,5.083333,1.022491,21.404635,250.825257
1.300000,5.990000,5.166667,1.038070,21.408200,250.825257
1.100000,6.130000,5.250000,1.054628,21.409982,252.498941
1.200000,6.230000,5.333333,1.070228,21.406417,247.544885
1.000000,6.330000,5.416667,1.085795,21.404635,249.174056
1.100000,6.410000,5.500000,1.102344,21.409982,249.174056
1.000000,6.490000,5.583333,1.117923,21.406417,247.544885
1.100000,6.670000,5.666667,1.134433,21.404635,252.498941
1.100000,6.670000,5.750000,1.153928,21.406417,250.825257
1.100000,6.810000,5.833333,1.166538,21.406417,245.937304
1.400000,6.870000,5.916667,1.182179,21.404635,242.785204
1.200000,6.930000,6.000000,1.197877,21.406417,244.350882
1.100000,7.090000,6.083333,1.214465,21.406417,244.350882
1.200000,7.110000,6.166667,1.230083,21.406417,247.544885
1.200000,7.250000,6.250000,1.246666,21.402852,249.174056
1.100000,7.310000,6.333333,1.262453,21.404635,247.544885
1.300000,7.450000,6.416667,1.278224,21.408200,249.174056
1.100000,7.550000,6.500000,1.293835,21.406417,252.498941
1.400000,7.710000,6.583333,1.310406,21.408200,250.825257
1.400000,7.710000,6.666667,1.325974,21.406417,247.544885
1.000000,7.830000,6.750000,1.343499,21.406417,250.825257
0.900000,7.970000,6.833333,1.358646,21.408200,252.498941
1.100000,8.030000,6.916667,1.374407,21.406417,252.498941
1.100000,8.130000,7.000000,1.389973,21.408200,255.915633
1.300000,8.230000,7.083333,1.406544,21.406417,252.498941
1.500000,8.490000,7.166667,1.422146,21.406417,252.498941
1.100000,8.390000,7.250000,1.438220,21.409982,254.195574
1.200000,8.450000,7.333333,1.453983,21.406417,252.498941
1.200000,8.630000,7.416667,1.470589,21.404635,252.498941
1.400000,8.670000,7.500000,1.486174,21.406417,249.174056
1.100000,8.770000,7.583333,1.502755,21.406417,249.174056
1.000000,8.890000,7.666667,1.520205,21.385027,249.174056
1.100000,8.970000,7.750000,1.541086,21.385027,252.498941
1.300000,9.050000,7.833333,1.551728,21.386809,250.825257
1.200000,9.110000,7.916667,1.568335,21.385027,249.174056
1.300000,9.230000,8.000000,1.583861,21.383244,249.174056
1.100000,9.350000,8.083333,1.600458,21.383244,247.544885
1.100000,9.490000,8.166667,1.614672,21.406417,244.350882
1.300000,9.490000,8.250000,1.630270,21.406417,249.174056
1.000000,9.690000,8.333333,1.645820,21.402852,247.544885
1.000000,9.770000,8.416667,1.662384,21.404635,245.937304
1.300000,9.810000,8.500000,1.678035,21.406417,250.825257
1.300000,9.870000,8.583333,1.694665,21.404635,247.544885
1.200000,10.110000,8.666667,1.710279,21.408200,249.174056
1.300000,10.150000,8.750000,1.739526,21.408200,252.498941
1.300000,10.250000,8.833333,1.746196,21.406417,247.544885
0.900000,10.290000,8.916667,1.757808,21.406417,254.195574
1.300000,10.350000,9.000000,1.774383,21.408200,252.498941
1.200000,10.470000,9.083333,1.789967,21.408200,249.174056
1.200000,10.610000,9.166667,1.806529,21.406417,254.195574
1.200000,10.650000,9.250000,1.822111,21.406417,250.825257
1.100000,10.810000,9.333333,1.838704,21.408200,250.825257
1.300000,10.890000,9.416667,1.854265,21.408200,252.498941
1.200000,10.990000,9.500000,1.869822,21.404635,247.544885
1.200000,11.090000,9.583333,1.886368,21.406417,252.498941
1.300000,11.190000,9.666667,1.901921,21.406417,247.544885
1.100000,11.290000,9.750000,1.918520,21.406417,249.174056
1.200000,11.290000,9.833333,1.934517,21.406417,249.174056
1.300000,11.530000,9.916667,1.950440,21.404635,247.544885
1.500000,11.470000,10.000000,1.966143,21.404635,249.174056
1.400000,11.550000,10.083333,1.982115,21.406417,250.825257
