# Date: 20201103
# Operator: DCC
# Notes: MIT448-1 with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: MIT448-1
# Fit of Tap:
#	Ic = 11.7 +/- 8.1 A
#	n = 30.4 +/- 1.3e+02 
#	Vc = 5 uV
#	Vfloor = 1.17 +/- 0.028 uV
#	R = 0.00237 +/- 0.0055 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.310000,0.000000,0.048294,21.431373,242.785204
1.500000,0.290000,0.083333,0.077817,21.408200,244.350882
1.000000,0.310000,0.166667,0.084848,21.406417,249.174056
1.200000,0.330000,0.250000,0.093415,21.409982,249.174056
1.500000,0.390000,0.333333,0.110084,21.406417,250.825257
1.200000,0.590000,0.416667,0.126041,21.409982,250.825257
1.100000,0.550000,0.500000,0.142147,21.406417,250.825257
1.100000,0.770000,0.583333,0.158113,21.406417,247.544885
1.000000,0.830000,0.666667,0.174023,21.408200,250.825257
1.100000,1.010000,0.750000,0.189927,21.408200,254.195574
1.100000,1.290000,0.833333,0.205504,21.408200,252.498941
1.300000,1.150000,0.916667,0.223680,21.409982,249.174056
1.100000,1.110000,1.000000,0.238474,21.409982,254.195574
1.300000,1.230000,1.083333,0.254061,21.406417,254.195574
1.200000,1.610000,1.166667,0.269723,21.406417,254.195574
1.200000,1.370000,1.250000,0.286337,21.408200,250.825257
0.900000,1.610000,1.333333,0.301950,21.408200,252.498941
1.100000,1.890000,1.416667,0.317732,21.408200,250.825257
1.100000,1.630000,1.500000,0.334397,21.409982,250.825257
1.400000,1.910000,1.583333,0.356051,21.404635,250.825257
1.200000,2.030000,1.666667,0.365935,21.409982,247.544885
1.200000,2.210000,1.750000,0.381519,21.406417,249.174056
1.200000,2.030000,1.833333,0.398249,21.409982,247.544885
1.100000,2.370000,1.916667,0.413824,21.406417,245.937304
1.200000,2.410000,2.000000,0.434059,21.409982,250.825257
1.200000,2.610000,2.083333,0.445678,21.406417,249.174056
1.300000,2.510000,2.166667,0.462272,21.406417,247.544885
1.000000,2.550000,2.250000,0.478146,21.408200,245.937304
1.000000,2.910000,2.333333,0.493733,21.409982,249.174056
1.000000,2.730000,2.416667,0.510435,21.406417,245.937304
1.500000,2.950000,2.500000,0.526035,21.408200,249.174056
1.100000,3.170000,2.583333,0.541836,21.408200,249.174056
1.000000,3.270000,2.666667,0.557600,21.409982,250.825257
0.900000,3.170000,2.750000,0.574152,21.411765,247.544885
1.300000,3.430000,2.833333,0.589933,21.408200,249.174056
1.100000,3.550000,2.916667,0.605547,21.408200,252.498941
1.200000,3.490000,3.000000,0.622164,21.409982,249.174056
1.100000,3.730000,3.083333,0.637966,21.406417,252.498941
1.200000,3.690000,3.166667,0.663435,21.409982,244.350882
1.200000,3.790000,3.250000,0.673837,21.406417,252.498941
1.400000,3.710000,3.333333,0.686307,21.409982,252.498941
1.000000,4.070000,3.416667,0.701962,21.408200,250.825257
1.100000,4.110000,3.500000,0.717680,21.408200,250.825257
1.000000,4.190000,3.583333,0.733312,21.406417,247.544885
1.200000,4.290000,3.666667,0.749937,21.408200,249.174056
1.200000,4.410000,3.750000,0.765495,21.408200,241.239861
1.200000,4.550000,3.833333,0.782055,21.406417,245.937304
1.300000,4.610000,3.916667,0.797637,21.406417,247.544885
1.100000,4.690000,4.000000,0.814209,21.406417,245.937304
1.300000,4.750000,4.083333,0.829970,21.406417,244.350882
1.100000,4.850000,4.166667,0.845532,21.408200,244.350882
1.300000,4.950000,4.250000,0.862019,21.408200,247.544885
1.300000,5.030000,4.333333,0.877857,21.404635,245.937304
1.300000,5.310000,4.416667,0.893561,21.411765,247.544885
1.200000,5.130000,4.500000,0.910270,21.408200,245.937304
1.200000,5.350000,4.583333,0.926004,21.406417,249.174056
1.400000,5.430000,4.666667,0.941832,21.406417,250.825257
1.400000,5.550000,4.750000,0.961583,21.426025,245.937304
1.200000,5.530000,4.833333,0.974075,21.408200,250.825257
1.100000,5.670000,4.916667,0.989924,21.406417,249.174056
1.300000,5.810000,5.000000,1.005524,21.408200,254.195574
1.200000,5.810000,5.083333,1.022191,21.406417,252.498941
1.200000,5.930000,5.166667,1.038305,21.408200,252.498941
1.200000,6.110000,5.250000,1.057704,21.409982,249.174056
1.200000,6.190000,5.333333,1.069968,21.404635,252.498941
1.100000,6.270000,5.416667,1.086075,21.404635,250.825257
1.200000,6.290000,5.500000,1.102188,21.408200,252.498941
0.900000,6.510000,5.583333,1.118564,21.408200,250.825257
1.200000,6.650000,5.666667,1.134194,21.406417,249.174056
1.300000,6.630000,5.750000,1.149818,21.408200,249.174056
1.300000,6.750000,5.833333,1.165369,21.406417,247.544885
1.200000,6.870000,5.916667,1.181939,21.408200,244.350882
0.900000,6.990000,6.000000,1.197532,21.406417,245.937304
1.200000,6.910000,6.083333,1.214143,21.406417,244.350882
1.100000,7.170000,6.166667,1.229865,21.408200,245.937304
1.200000,7.330000,6.250000,1.245432,21.408200,249.174056
1.200000,7.190000,6.333333,1.268143,21.404635,250.825257
1.200000,7.430000,6.416667,1.277906,21.406417,247.544885
1.100000,7.550000,6.500000,1.293466,21.409982,249.174056
1.200000,7.670000,6.583333,1.310028,21.409982,250.825257
1.300000,7.750000,6.666667,1.325578,21.408200,252.498941
1.200000,7.850000,6.750000,1.342110,21.409982,247.544885
1.200000,7.990000,6.833333,1.357649,21.409982,252.498941
1.300000,8.050000,6.916667,1.374215,21.413547,252.498941
1.100000,8.090000,7.000000,1.389824,21.408200,252.498941
1.100000,8.230000,7.083333,1.405386,21.409982,252.498941
1.100000,8.330000,7.166667,1.421955,21.424242,255.915633
1.200000,8.430000,7.250000,1.438068,21.411765,252.498941
1.100000,8.550000,7.333333,1.464539,21.388592,245.937304
1.300000,8.510000,7.416667,1.473110,21.383244,249.174056
1.300000,8.670000,7.500000,1.487679,21.386809,250.825257
1.200000,8.770000,7.583333,1.503190,21.385027,252.498941
1.100000,8.830000,7.666667,1.519749,21.383244,252.498941
1.200000,8.930000,7.750000,1.535297,21.386809,247.544885
1.100000,9.090000,7.833333,1.550177,21.408200,252.498941
1.600000,9.150000,7.916667,1.566206,21.404635,249.174056
1.000000,9.270000,8.000000,1.581346,21.402852,245.937304
1.300000,9.330000,8.083333,1.597922,21.404635,245.937304
1.000000,9.390000,8.166667,1.613459,21.406417,247.544885
1.000000,9.470000,8.250000,1.630026,21.406417,242.785204
1.300000,9.610000,8.333333,1.645923,21.406417,247.544885
1.300000,9.770000,8.416667,1.662002,21.408200,245.937304
1.300000,9.890000,8.500000,1.677633,21.404635,242.785204
1.200000,9.930000,8.583333,1.694195,21.404635,250.825257
1.200000,10.030000,8.666667,1.709872,21.409982,254.195574
