# Date: 20201103
# Operator: DCC
# Notes: MIT448-1 with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: MIT448-1
# Fit of Tap:
#	Ic = 62.9 +/- 1.4 A
#	n = 62.3 +/- 26 
#	Vc = 5 uV
#	Vfloor = 1.21 +/- 0.011 uV
#	R = 0.0291 +/- 0.00033 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.270000,0.000000,0.048147,21.438503,249.174056
1.300000,0.330000,0.083333,0.067928,21.411765,250.825257
1.400000,0.290000,0.166667,0.076841,21.413547,249.174056
1.400000,0.370000,0.250000,0.093591,21.415330,245.937304
1.200000,0.470000,0.333333,0.109581,21.415330,239.714457
1.200000,0.630000,0.416667,0.125640,21.417112,252.498941
0.900000,0.690000,0.500000,0.141649,21.417112,245.937304
1.500000,0.830000,0.583333,0.157646,21.415330,242.785204
1.100000,0.890000,0.666667,0.173649,21.415330,245.937304
1.100000,1.010000,0.750000,0.189671,21.417112,247.544885
1.100000,1.110000,0.833333,0.205469,21.409982,250.825257
1.200000,1.130000,0.916667,0.223056,21.404635,247.544885
1.000000,1.230000,1.000000,0.242790,21.406417,249.174056
1.000000,1.290000,1.083333,0.253506,21.406417,249.174056
1.200000,1.410000,1.166667,0.270219,21.411765,249.174056
1.200000,1.550000,1.250000,0.285761,21.417112,245.937304
1.000000,1.630000,1.333333,0.301431,21.404635,254.195574
1.100000,1.750000,1.416667,0.317504,21.404635,250.825257
1.100000,1.850000,1.500000,0.333505,21.404635,255.915633
0.900000,1.890000,1.583333,0.349442,21.408200,254.195574
1.200000,1.970000,1.666667,0.365455,21.406417,255.915633
1.200000,2.090000,1.750000,0.381405,21.406417,261.221364
1.400000,2.250000,1.833333,0.397443,21.406417,261.221364
1.100000,2.270000,1.916667,0.413447,21.406417,261.221364
1.400000,2.330000,2.000000,0.433555,21.408200,249.174056
1.400000,2.430000,2.083333,0.445438,21.404635,252.498941
1.100000,2.550000,2.166667,0.461382,21.402852,261.221364
1.400000,2.730000,2.250000,0.477438,21.408200,254.195574
1.100000,2.750000,2.333333,0.493320,21.406417,259.428015
1.200000,2.910000,2.416667,0.510208,21.411765,249.174056
1.100000,2.970000,2.500000,0.526227,21.411765,250.825257
1.100000,3.070000,2.583333,0.545512,21.408200,255.915633
1.300000,3.150000,2.666667,0.557588,21.406417,244.350882
1.100000,3.250000,2.750000,0.573481,21.404635,254.195574
0.900000,3.370000,2.833333,0.589436,21.408200,249.174056
1.200000,3.490000,2.916667,0.605442,21.406417,247.544885
1.300000,3.510000,3.000000,0.621385,21.404635,255.915633
1.300000,3.630000,3.083333,0.637462,21.406417,244.350882
1.500000,3.710000,3.166667,0.653094,21.409982,245.937304
1.300000,3.830000,3.250000,0.669677,21.409982,245.937304
1.300000,3.890000,3.333333,0.685243,21.409982,250.825257
1.300000,4.030000,3.416667,0.700860,21.409982,245.937304
1.300000,4.090000,3.500000,0.717453,21.408200,249.174056
1.000000,4.250000,3.583333,0.732995,21.406417,254.195574
1.100000,4.290000,3.666667,0.749556,21.408200,250.825257
1.200000,4.370000,3.750000,0.765162,21.408200,266.756509
1.300000,4.510000,3.833333,0.780828,21.406417,250.825257
1.200000,4.550000,3.916667,0.797458,21.406417,252.498941
1.300000,4.690000,4.000000,0.813022,21.409982,250.825257
1.100000,4.770000,4.083333,0.829598,21.409982,252.498941
1.300000,4.830000,4.166667,0.853177,21.406417,242.785204
1.300000,4.890000,4.250000,0.860948,21.406417,244.350882
1.400000,4.990000,4.333333,0.877524,21.406417,250.825257
1.000000,5.150000,4.416667,0.893126,21.406417,244.350882
1.300000,5.250000,4.500000,0.909736,21.408200,250.825257
1.100000,5.310000,4.583333,0.925298,21.406417,244.350882
1.500000,5.430000,4.666667,0.940865,21.406417,245.937304
1.000000,5.430000,4.750000,0.957456,21.408200,244.350882
1.100000,5.590000,4.833333,0.973017,21.406417,245.937304
