# Date: 20201103
# Operator: DCC
# Notes: MIT448-1 with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: MIT448-1
# Fit of Tap:
#	Ic = 72.5 +/- 0.84 A
#	n = 50 +/- 1.1 
#	Vc = 5 uV
#	Vfloor = 1.33 +/- 1.1e+92 uV
#	R = 9.02 +/- 6.8e+80 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.290000,0.000000,0.042142,21.431373,254.195574
1.300000,0.270000,0.083333,0.068313,21.383244,244.350882
1.200000,0.370000,0.166667,0.082432,21.385027,252.498941
1.400000,0.410000,0.250000,0.099618,21.386809,252.498941
1.200000,0.510000,0.333333,0.114725,21.383244,252.498941
1.200000,0.610000,0.416667,0.131323,21.385027,249.174056
1.200000,0.670000,0.500000,0.146912,21.386809,249.174056
1.000000,0.850000,0.583333,0.168845,21.431373,244.350882
1.300000,0.890000,0.666667,0.177432,21.408200,255.915633
1.100000,0.970000,0.750000,0.192622,21.411765,254.195574
1.100000,1.130000,0.833333,0.209601,21.411765,250.825257
1.200000,1.130000,0.916667,0.224801,21.406417,247.544885
0.800000,1.330000,1.000000,0.241132,21.409982,249.174056
1.200000,1.290000,1.083333,0.257405,21.406417,249.174056
1.100000,1.430000,1.166667,0.272572,21.408200,250.825257
1.400000,1.550000,1.250000,0.289498,21.406417,249.174056
1.300000,1.590000,1.333333,0.305254,21.406417,247.544885
1.400000,1.730000,1.416667,0.321543,21.408200,249.174056
1.100000,1.790000,1.500000,0.336657,21.409982,245.937304
1.000000,1.850000,1.583333,0.352829,21.408200,244.350882
1.000000,1.990000,1.666667,0.369056,21.406417,241.239861
1.200000,2.130000,1.750000,0.385222,21.406417,245.937304
1.200000,2.230000,1.833333,0.401268,21.406417,247.544885
1.100000,2.290000,1.916667,0.417504,21.406417,247.544885
0.900000,2.330000,2.000000,0.432650,21.406417,252.498941
1.100000,2.490000,2.083333,0.448926,21.409982,247.544885
1.300000,2.630000,2.166667,0.468941,21.427807,261.221364
1.200000,2.650000,2.250000,0.481546,21.404635,250.825257
0.900000,2.950000,2.333333,0.496874,21.409982,247.544885
1.100000,2.870000,2.416667,0.513459,21.406417,250.825257
1.100000,3.010000,2.500000,0.528660,21.406417,249.174056
1.200000,3.130000,2.583333,0.545073,21.409982,249.174056
1.100000,3.210000,2.666667,0.561228,21.408200,252.498941
1.200000,3.290000,2.750000,0.577095,21.409982,254.195574
1.200000,3.370000,2.833333,0.592998,21.409982,254.195574
1.200000,3.410000,2.916667,0.608896,21.408200,255.915633
1.300000,3.510000,3.000000,0.624740,21.406417,252.498941
1.200000,3.630000,3.083333,0.640524,21.406417,247.544885
1.100000,3.730000,3.166667,0.657309,21.406417,249.174056
1.200000,3.850000,3.250000,0.673115,21.409982,247.544885
0.700000,3.910000,3.333333,0.688891,21.408200,247.544885
1.100000,4.010000,3.416667,0.704681,21.406417,244.350882
1.300000,4.110000,3.500000,0.720453,21.404635,244.350882
1.200000,4.230000,3.583333,0.737226,21.409982,247.544885
1.200000,4.350000,3.666667,0.760111,21.406417,254.195574
1.300000,4.330000,3.750000,0.770106,21.406417,245.937304
1.000000,4.510000,3.833333,0.784960,21.404635,244.350882
1.400000,4.570000,3.916667,0.800796,21.406417,242.785204
1.400000,4.690000,4.000000,0.816595,21.408200,244.350882
1.200000,4.790000,4.083333,0.833391,21.409982,244.350882
1.100000,4.890000,4.166667,0.849177,21.408200,247.544885
1.200000,4.970000,4.250000,0.866878,21.386809,247.544885
1.200000,5.010000,4.333333,0.882867,21.385027,247.544885
1.300000,5.130000,4.416667,0.898916,21.383244,245.937304
0.900000,5.290000,4.500000,0.914910,21.386809,250.825257
1.100000,5.330000,4.583333,0.930908,21.385027,247.544885
1.300000,5.370000,4.666667,0.946887,21.386809,252.498941
1.400000,5.530000,4.750000,0.969145,21.406417,245.937304
1.300000,5.530000,4.833333,0.977184,21.406417,252.498941
1.200000,5.670000,4.916667,0.993745,21.406417,250.825257
1.200000,5.750000,5.000000,1.008968,21.406417,252.498941
1.400000,5.870000,5.083333,1.025138,21.408200,250.825257
1.000000,5.990000,5.166667,1.041370,21.404635,250.825257
1.300000,6.090000,5.250000,1.061476,21.406417,254.195574
1.000000,6.170000,5.333333,1.073234,21.408200,250.825257
1.400000,6.330000,5.416667,1.089492,21.406417,250.825257
1.100000,6.390000,5.500000,1.104742,21.406417,245.937304
1.300000,6.450000,5.583333,1.120944,21.404635,245.937304
1.200000,6.630000,5.666667,1.137092,21.406417,245.937304
1.200000,6.670000,5.750000,1.155196,21.406417,245.937304
1.000000,6.750000,5.833333,1.169088,21.409982,242.785204
1.500000,6.930000,5.916667,1.184888,21.406417,245.937304
1.100000,6.950000,6.000000,1.200693,21.409982,245.937304
1.200000,7.110000,6.083333,1.216636,21.409982,249.174056
1.100000,7.170000,6.166667,1.232478,21.408200,252.498941
1.300000,7.290000,6.250000,1.249401,21.409982,247.544885
1.300000,7.370000,6.333333,1.265232,21.409982,247.544885
1.100000,7.430000,6.416667,1.281016,21.408200,249.174056
1.200000,7.610000,6.500000,1.296814,21.406417,254.195574
1.200000,7.650000,6.583333,1.312607,21.408200,254.195574
1.200000,7.730000,6.666667,1.329401,21.408200,252.498941
1.300000,7.870000,6.750000,1.345177,21.409982,250.825257
1.600000,8.010000,6.833333,1.368322,21.408200,244.350882
1.300000,8.030000,6.916667,1.377295,21.408200,252.498941
1.300000,8.070000,7.000000,1.393079,21.408200,250.825257
1.300000,8.210000,7.083333,1.408873,21.408200,247.544885
1.100000,8.330000,7.166667,1.424679,21.406417,249.174056
1.200000,8.390000,7.250000,1.440466,21.408200,247.544885
1.200000,8.430000,7.333333,1.457257,21.408200,249.174056
1.200000,8.590000,7.416667,1.473073,21.406417,247.544885
1.100000,8.650000,7.500000,1.488854,21.406417,247.544885
1.300000,8.790000,7.583333,1.504770,21.409982,245.937304
1.200000,8.830000,7.666667,1.520591,21.408200,244.350882
1.000000,8.990000,7.750000,1.537386,21.406417,242.785204
1.400000,9.070000,7.833333,1.555966,21.408200,249.174056
1.100000,9.190000,7.916667,1.568935,21.406417,244.350882
1.300000,9.270000,8.000000,1.585146,21.406417,247.544885
1.000000,9.390000,8.083333,1.601330,21.408200,247.544885
1.300000,9.510000,8.166667,1.617521,21.406417,247.544885
1.200000,9.530000,8.250000,1.632678,21.409982,249.174056
1.400000,9.530000,8.333333,1.648950,21.406417,245.937304
1.200000,9.550000,8.416667,1.667465,21.409982,244.350882
1.100000,9.870000,8.500000,1.683204,21.386809,252.498941
1.000000,9.950000,8.583333,1.698796,21.385027,249.174056
0.900000,10.030000,8.666667,1.715462,21.385027,249.174056
1.000000,10.090000,8.750000,1.730914,21.385027,252.498941
1.200000,10.150000,8.833333,1.747294,21.383244,250.825257
1.100000,10.370000,8.916667,1.767400,21.385027,249.174056
1.200000,10.370000,9.000000,1.776958,21.408200,254.195574
1.100000,10.490000,9.083333,1.792753,21.404635,252.498941
1.100000,10.570000,9.166667,1.808627,21.404635,250.825257
1.000000,10.690000,9.250000,1.825436,21.402852,250.825257
1.300000,10.770000,9.333333,1.841221,21.406417,250.825257
1.300000,10.950000,9.416667,1.857031,21.406417,250.825257
1.300000,10.970000,9.500000,1.872825,21.406417,250.825257
1.300000,11.110000,9.583333,1.888622,21.404635,247.544885
1.200000,11.210000,9.666667,1.905428,21.406417,245.937304
1.300000,11.330000,9.750000,1.921193,21.409982,244.350882
1.400000,11.390000,9.833333,1.936973,21.408200,247.544885
1.300000,11.490000,9.916667,1.966970,21.409982,244.350882
1.000000,11.530000,10.000000,1.973902,21.406417,250.825257
1.100000,11.610000,10.083333,1.984692,21.406417,247.544885
1.300000,11.790000,10.166667,2.000608,21.409982,245.937304
1.100000,11.810000,10.250000,2.016444,21.408200,250.825257
0.900000,11.950000,10.333333,2.033235,21.408200,250.825257
1.300000,12.050000,10.416667,2.049017,21.406417,249.174056
1.200000,12.170000,10.500000,2.064829,21.406417,249.174056
1.400000,12.270000,10.583333,2.080617,21.406417,250.825257
1.200000,12.370000,10.666667,2.097387,21.408200,252.498941
1.100000,12.330000,10.750000,2.113162,21.409982,252.498941
1.300000,12.530000,10.833333,2.128925,21.409982,252.498941
1.200000,12.650000,10.916667,2.144727,21.409982,252.498941
1.200000,12.730000,11.000000,2.161341,21.406417,254.195574
1.000000,12.730000,11.083333,2.177191,21.409982,252.498941
1.400000,12.770000,11.166667,2.193001,21.408200,254.195574
1.400000,13.010000,11.250000,2.208806,21.406417,250.825257
1.100000,13.110000,11.333333,2.224603,21.408200,252.498941
1.200000,13.170000,11.416667,2.241368,21.408200,245.937304
0.900000,13.330000,11.500000,2.260721,21.408200,254.195574
1.200000,13.350000,11.583333,2.273094,21.406417,250.825257
1.200000,13.490000,11.666667,2.288903,21.408200,245.937304
1.100000,13.610000,11.750000,2.304764,21.409982,245.937304
1.300000,13.670000,11.833333,2.320547,21.406417,247.544885
1.100000,13.770000,11.916667,2.337321,21.408200,250.825257
1.100000,13.910000,12.000000,2.356135,21.406417,247.544885
1.100000,13.950000,12.083333,2.369018,21.406417,245.937304
1.200000,14.090000,12.166667,2.384812,21.406417,245.937304
1.300000,14.210000,12.250000,2.400581,21.406417,249.174056
1.200000,14.190000,12.333333,2.417373,21.408200,247.544885
1.200000,14.330000,12.416667,2.433185,21.408200,247.544885
1.300000,14.390000,12.500000,2.448965,21.406417,249.174056
1.400000,14.630000,12.583333,2.465099,21.409982,250.825257
1.100000,14.610000,12.666667,2.482572,21.385027,250.825257
1.100000,14.750000,12.750000,2.499199,21.383244,252.498941
1.000000,14.870000,12.833333,2.515347,21.385027,252.498941
1.100000,14.910000,12.916667,2.531389,21.386809,250.825257
1.300000,14.990000,13.000000,2.547410,21.385027,255.915633
1.100000,15.390000,13.083333,2.582591,21.408200,247.544885
1.100000,15.230000,13.166667,2.597666,21.406417,254.195574
1.200000,15.330000,13.250000,2.613469,21.406417,250.825257
1.300000,15.430000,13.333333,2.629282,21.408200,250.825257
1.200000,15.590000,13.416667,2.645072,21.406417,249.174056
1.400000,15.570000,13.500000,2.660863,21.406417,254.195574
1.100000,15.690000,13.583333,2.677641,21.409982,254.195574
1.300000,15.710000,13.666667,2.693424,21.408200,250.825257
1.200000,15.930000,13.750000,2.709218,21.404635,252.498941
1.100000,15.990000,13.833333,2.725005,21.402852,250.825257
1.400000,16.050000,13.916667,2.741776,21.406417,245.937304
1.100000,16.130000,14.000000,2.757756,21.409982,252.498941
1.000000,16.250000,14.083333,2.773601,21.406417,249.174056
1.300000,16.370000,14.166667,2.789368,21.406417,247.544885
1.200000,16.430000,14.250000,2.805150,21.409982,247.544885
1.200000,16.510000,14.333333,2.820929,21.404635,247.544885
1.200000,16.550000,14.416667,2.837732,21.406417,247.544885
1.200000,16.730000,14.500000,2.859905,21.406417,252.498941
1.300000,16.830000,14.583333,2.869264,21.408200,247.544885
1.200000,16.930000,14.666667,2.885046,21.406417,245.937304
1.400000,17.010000,14.750000,2.900810,21.409982,249.174056
1.000000,17.110000,14.833333,2.917589,21.409982,245.937304
1.200000,17.210000,14.916667,2.933364,21.408200,249.174056
1.000000,17.310000,15.000000,2.949134,21.406417,245.937304
1.000000,17.450000,15.083333,2.965234,21.406417,252.498941
1.100000,17.470000,15.166667,2.981104,21.408200,252.498941
1.200000,17.670000,15.250000,2.996938,21.408200,250.825257
1.100000,17.670000,15.333333,3.013814,21.406417,250.825257
1.200000,17.690000,15.416667,3.029601,21.409982,247.544885
0.900000,17.950000,15.500000,3.045423,21.408200,247.544885
1.100000,17.970000,15.583333,3.061219,21.409982,250.825257
1.300000,17.990000,15.666667,3.077035,21.408200,254.195574
1.300000,18.210000,15.750000,3.093849,21.408200,252.498941
1.100000,18.210000,15.833333,3.109628,21.404635,255.915633
1.100000,18.350000,15.916667,3.125417,21.406417,249.174056
1.200000,18.450000,16.000000,3.141173,21.408200,250.825257
1.200000,18.690000,16.083333,3.167505,21.406417,245.937304
1.300000,18.650000,16.166667,3.174391,21.409982,247.544885
1.200000,18.750000,16.250000,3.189155,21.404635,245.937304
1.100000,18.810000,16.333333,3.204927,21.406417,244.350882
1.000000,19.010000,16.416667,3.221772,21.406417,247.544885
1.400000,19.050000,16.500000,3.237569,21.408200,242.785204
1.000000,19.170000,16.583333,3.253442,21.409982,245.937304
1.300000,19.270000,16.666667,3.269269,21.404635,244.350882
1.200000,19.310000,16.750000,3.286118,21.383244,249.174056
1.000000,19.430000,16.833333,3.303240,21.383244,245.937304
1.100000,19.490000,16.916667,3.319313,21.381462,247.544885
1.100000,19.590000,17.000000,3.335365,21.385027,247.544885
1.100000,19.650000,17.083333,3.351412,21.385027,245.937304
1.200000,19.770000,17.166667,3.372260,21.383244,244.350882
1.300000,19.790000,17.250000,3.383421,21.386809,252.498941
1.200000,19.970000,17.333333,3.397381,21.409982,252.498941
1.100000,20.050000,17.416667,3.413262,21.411765,247.544885
1.300000,20.150000,17.500000,3.429067,21.409982,255.915633
1.200000,20.250000,17.583333,3.444843,21.409982,252.498941
1.200000,20.350000,17.666667,3.461492,21.408200,254.195574
1.100000,20.450000,17.750000,3.477402,21.408200,249.174056
1.100000,20.550000,17.833333,3.493205,21.409982,252.498941
1.100000,20.670000,17.916667,3.509113,21.408200,249.174056
1.200000,20.790000,18.000000,3.524934,21.408200,254.195574
1.100000,20.850000,18.083333,3.541719,21.406417,249.174056
1.100000,20.990000,18.166667,3.557913,21.408200,247.544885
1.100000,21.110000,18.250000,3.573810,21.406417,249.174056
1.100000,21.150000,18.333333,3.589599,21.408200,249.174056
1.300000,21.230000,18.416667,3.605411,21.406417,242.785204
1.100000,21.270000,18.500000,3.621209,21.408200,245.937304
1.100000,21.430000,18.583333,3.637015,21.406417,244.350882
1.200000,21.550000,18.666667,3.653831,21.406417,249.174056
1.100000,21.610000,18.750000,3.669615,21.406417,247.544885
1.300000,21.710000,18.833333,3.685408,21.404635,249.174056
1.000000,21.870000,18.916667,3.701168,21.406417,247.544885
1.200000,21.890000,19.000000,3.716946,21.404635,249.174056
1.200000,22.010000,19.083333,3.733717,21.408200,247.544885
1.200000,22.110000,19.166667,3.749545,21.406417,249.174056
1.300000,22.310000,19.250000,3.773742,21.406417,249.174056
