# Date: 20201103
# Operator: DCC
# Notes: Sample 7 with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: Sample 7
# Fit of Tap:
#	Ic = 30.3 +/- 42 A
#	n = 1e+03 +/- 1.3e+05 
#	Vc = 5 uV
#	Vfloor = 1.23 +/- 0.015 uV
#	R = 0.0074 +/- 0.00085 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.290000,0.000000,0.071722,21.429590,244.350882
1.200000,0.350000,0.083333,0.090743,21.402852,242.785204
1.100000,0.310000,0.166667,0.100622,21.406417,249.174056
1.300000,0.470000,0.250000,0.117698,21.408200,249.174056
1.200000,0.530000,0.333333,0.133075,21.406417,250.825257
1.200000,0.610000,0.416667,0.148883,21.408200,252.498941
1.100000,0.730000,0.500000,0.164674,21.408200,252.498941
1.000000,0.770000,0.583333,0.180591,21.409982,249.174056
1.100000,0.910000,0.666667,0.196420,21.408200,247.544885
1.300000,0.970000,0.750000,0.213208,21.409982,250.825257
1.400000,1.070000,0.833333,0.228713,21.404635,252.498941
1.400000,1.170000,0.916667,0.244521,21.406417,250.825257
1.200000,1.290000,1.000000,0.261296,21.406417,250.825257
1.200000,1.390000,1.083333,0.277085,21.406417,249.174056
1.000000,1.430000,1.166667,0.292855,21.409982,250.825257
1.200000,1.550000,1.250000,0.308622,21.408200,249.174056
1.200000,1.630000,1.333333,0.324440,21.402852,245.937304
1.300000,1.690000,1.416667,0.341203,21.404635,247.544885
1.100000,1.850000,1.500000,0.356971,21.408200,242.785204
1.100000,1.910000,1.583333,0.372745,21.409982,249.174056
1.200000,2.070000,1.666667,0.388553,21.406417,245.937304
1.200000,2.130000,1.750000,0.413206,21.409982,250.825257
1.200000,2.190000,1.833333,0.420418,21.409982,245.937304
1.100000,2.310000,1.916667,0.437005,21.408200,249.174056
1.300000,2.390000,2.000000,0.452869,21.404635,247.544885
1.300000,2.450000,2.083333,0.468688,21.408200,249.174056
1.100000,2.610000,2.166667,0.484484,21.411765,249.174056
1.200000,2.650000,2.250000,0.501273,21.408200,249.174056
1.200000,2.750000,2.333333,0.517072,21.404635,252.498941
1.100000,2.790000,2.416667,0.532855,21.408200,252.498941
1.200000,3.030000,2.500000,0.548619,21.408200,247.544885
1.400000,3.110000,2.583333,0.564388,21.404635,254.195574
1.200000,3.210000,2.666667,0.581156,21.409982,254.195574
1.500000,3.250000,2.750000,0.596934,21.408200,252.498941
1.100000,3.370000,2.833333,0.612687,21.408200,249.174056
1.000000,3.450000,2.916667,0.628471,21.404635,247.544885
1.200000,3.510000,3.000000,0.644739,21.404635,250.825257
1.100000,3.670000,3.083333,0.660581,21.406417,249.174056
1.200000,3.710000,3.166667,0.677426,21.408200,252.498941
1.400000,3.770000,3.250000,0.693302,21.404635,249.174056
1.300000,3.930000,3.333333,0.713459,21.409982,252.498941
1.100000,3.950000,3.416667,0.724803,21.404635,249.174056
1.200000,4.130000,3.500000,0.740656,21.406417,236.721935
1.100000,4.150000,3.583333,0.756884,21.406417,228.184748
1.200000,4.290000,3.666667,0.774889,21.386809,247.544885
1.100000,4.510000,3.750000,0.793866,21.385027,247.544885
1.300000,4.490000,3.833333,0.808901,21.383244,244.350882
1.300000,4.550000,3.916667,0.823866,21.390374,249.174056
1.200000,4.650000,4.000000,0.838874,21.385027,250.825257
1.200000,4.790000,4.083333,0.864233,21.386809,250.825257
1.300000,4.910000,4.166667,0.877625,21.408200,245.937304
1.200000,4.930000,4.250000,0.887664,21.406417,245.937304
1.200000,5.010000,4.333333,0.900705,21.408200,242.785204
1.300000,5.130000,4.416667,0.916828,21.408200,242.785204
1.100000,5.230000,4.500000,0.932741,21.408200,238.208608
1.500000,5.390000,4.583333,0.949175,21.406417,242.785204
1.300000,5.410000,4.666667,0.964936,21.406417,239.714457
1.700000,5.530000,4.750000,0.980874,21.409982,236.721935
1.300000,5.610000,4.833333,0.996666,21.408200,239.714457
1.300000,5.810000,4.916667,1.015754,21.404635,254.195574
1.300000,5.790000,5.000000,1.028859,21.406417,235.254074
1.400000,5.910000,5.083333,1.044575,21.406417,249.174056
1.400000,6.030000,5.166667,1.065122,21.409982,250.825257
1.300000,6.070000,5.250000,1.077052,21.406417,235.254074
1.400000,6.190000,5.333333,1.092843,21.408200,235.254074
1.400000,6.250000,5.416667,1.109615,21.406417,264.885052
1.300000,6.350000,5.500000,1.125445,21.406417,254.195574
1.500000,6.470000,5.583333,1.141234,21.406417,245.937304
1.100000,6.590000,5.666667,1.157080,21.406417,245.937304
1.100000,6.670000,5.750000,1.173029,21.408200,249.174056
1.300000,6.750000,5.833333,1.188876,21.406417,242.785204
1.300000,6.910000,5.916667,1.204664,21.406417,247.544885
1.200000,6.930000,6.000000,1.220462,21.408200,245.937304
1.200000,7.050000,6.083333,1.237263,21.408200,250.825257
1.300000,7.150000,6.166667,1.253039,21.406417,247.544885
1.300000,7.270000,6.250000,1.268817,21.404635,249.174056
1.400000,7.330000,6.333333,1.285273,21.406417,244.350882
1.300000,7.470000,6.416667,1.301122,21.408200,249.174056
1.400000,7.570000,6.500000,1.317808,21.404635,247.544885
1.400000,7.690000,6.583333,1.333157,21.409982,254.195574
1.200000,7.790000,6.666667,1.348957,21.406417,252.498941
1.400000,7.890000,6.750000,1.364733,21.409982,249.174056
1.400000,7.950000,6.833333,1.380495,21.406417,252.498941
1.300000,8.030000,6.916667,1.397265,21.408200,252.498941
1.300000,8.110000,7.000000,1.413067,21.408200,254.195574
1.400000,8.170000,7.083333,1.429009,21.404635,250.825257
1.200000,8.370000,7.166667,1.444826,21.404635,245.937304
1.100000,8.450000,7.250000,1.460612,21.406417,249.174056
1.300000,8.550000,7.333333,1.476496,21.408200,245.937304
1.400000,8.630000,7.416667,1.492754,21.406417,236.721935
1.400000,8.690000,7.500000,1.509567,21.406417,257.659612
1.400000,8.770000,7.583333,1.525430,21.404635,249.174056
1.500000,8.890000,7.666667,1.541287,21.406417,244.350882
1.400000,8.950000,7.750000,1.557030,21.406417,229.563733
1.400000,9.050000,7.833333,1.572782,21.408200,232.373366
1.200000,9.130000,7.916667,1.589506,21.406417,255.915633
1.300000,9.210000,8.000000,1.612945,21.406417,254.195574
1.200000,9.330000,8.083333,1.622948,21.406417,247.544885
1.400000,9.410000,8.166667,1.636804,21.408200,249.174056
1.400000,9.510000,8.250000,1.652577,21.406417,249.174056
1.100000,9.610000,8.333333,1.669374,21.409982,249.174056
1.300000,9.770000,8.416667,1.685318,21.406417,250.825257
1.200000,9.850000,8.500000,1.701128,21.404635,249.174056
1.200000,9.910000,8.583333,1.717067,21.404635,252.498941
1.300000,9.970000,8.666667,1.732898,21.406417,254.195574
1.200000,10.090000,8.750000,1.748688,21.406417,254.195574
1.200000,10.290000,8.833333,1.764555,21.406417,252.498941
1.500000,10.290000,8.916667,1.781353,21.409982,252.498941
1.300000,10.430000,9.000000,1.797136,21.409982,252.498941
1.400000,10.470000,9.083333,1.812944,21.406417,252.498941
1.400000,10.590000,9.166667,1.828725,21.404635,245.937304
1.100000,10.690000,9.250000,1.844501,21.406417,249.174056
1.200000,10.810000,9.333333,1.861277,21.408200,250.825257
1.400000,10.870000,9.416667,1.877089,21.408200,247.544885
1.400000,10.990000,9.500000,1.892877,21.406417,247.544885
1.300000,11.070000,9.583333,1.915637,21.406417,254.195574
1.600000,11.150000,9.666667,1.925081,21.413547,245.937304
1.500000,11.310000,9.750000,1.941033,21.406417,232.373366
1.000000,11.390000,9.833333,1.956845,21.409982,232.373366
1.100000,11.450000,9.916667,1.973553,21.404635,255.915633
1.100000,11.590000,10.000000,1.989408,21.408200,250.825257
1.300000,11.670000,10.083333,2.005164,21.406417,236.721935
1.200000,11.810000,10.166667,2.021103,21.406417,232.373366
1.400000,11.870000,10.250000,2.036887,21.409982,233.804667
1.500000,11.990000,10.333333,2.052676,21.404635,245.937304
1.300000,12.070000,10.416667,2.069469,21.409982,255.915633
1.600000,12.110000,10.500000,2.085235,21.408200,250.825257
1.400000,12.210000,10.583333,2.101080,21.406417,252.498941
1.100000,12.310000,10.666667,2.117085,21.406417,254.195574
1.100000,12.370000,10.750000,2.132975,21.408200,252.498941
1.500000,12.510000,10.833333,2.148762,21.406417,252.498941
1.500000,12.570000,10.916667,2.164563,21.406417,252.498941
1.600000,12.710000,11.000000,2.181511,21.406417,249.174056
1.500000,12.790000,11.083333,2.197338,21.406417,252.498941
1.300000,12.890000,11.166667,2.213672,21.408200,250.825257
1.400000,12.970000,11.250000,2.229003,21.406417,250.825257
1.300000,13.050000,11.333333,2.244819,21.408200,250.825257
1.400000,13.190000,11.416667,2.260630,21.406417,239.714457
1.200000,13.270000,11.500000,2.277537,21.406417,261.221364
1.400000,13.410000,11.583333,2.293327,21.409982,249.174056
1.700000,13.510000,11.666667,2.309159,21.404635,233.804667
1.500000,13.510000,11.750000,2.325024,21.406417,232.373366
1.400000,13.670000,11.833333,2.340939,21.408200,232.373366
1.300000,13.790000,11.916667,2.356678,21.406417,233.804667
1.200000,13.870000,12.000000,2.373396,21.406417,249.174056
1.200000,14.030000,12.083333,2.389306,21.406417,244.350882
1.200000,14.090000,12.166667,2.404997,21.406417,232.373366
1.200000,14.150000,12.250000,2.420872,21.408200,233.804667
