# Date: 20201103
# Operator: DCC
# Notes: Sample 7 with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: Sample 7
# Fit of Tap:
#	Ic = 60.2 +/- 0.55 A
#	n = 1e+03 +/- 31 
#	Vc = 5 uV
#	Vfloor = 1.17 +/- 0.011 uV
#	R = 0.00298 +/- 0.00031 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.200000,0.270000,0.000000,0.056731,21.406417,247.544885
1.100000,0.290000,0.083333,0.077940,21.406417,245.937304
1.200000,0.350000,0.166667,0.085196,21.406417,252.498941
1.300000,0.350000,0.250000,0.092970,21.404635,247.544885
1.200000,0.530000,0.333333,0.109757,21.406417,242.785204
0.900000,0.750000,0.416667,0.125563,21.406417,245.937304
1.100000,0.730000,0.500000,0.141353,21.408200,247.544885
1.300000,0.810000,0.583333,0.157145,21.406417,247.544885
1.100000,0.910000,0.666667,0.173950,21.408200,250.825257
1.100000,0.990000,0.750000,0.189812,21.406417,247.544885
1.100000,1.070000,0.833333,0.205373,21.408200,247.544885
1.100000,1.170000,0.916667,0.221236,21.408200,254.195574
1.300000,1.250000,1.000000,0.237030,21.411765,252.498941
1.100000,1.070000,1.083333,0.253866,21.406417,254.195574
1.300000,1.490000,1.166667,0.269725,21.406417,252.498941
1.200000,1.570000,1.250000,0.285507,21.406417,255.915633
1.200000,1.610000,1.333333,0.301275,21.408200,254.195574
1.000000,1.730000,1.416667,0.321279,21.409982,252.498941
1.200000,1.850000,1.500000,0.333750,21.402852,252.498941
1.200000,1.930000,1.583333,0.349441,21.406417,249.174056
1.100000,1.990000,1.666667,0.365428,21.406417,252.498941
0.900000,2.110000,1.750000,0.381403,21.408200,249.174056
1.200000,2.210000,1.833333,0.397514,21.406417,250.825257
1.200000,2.310000,1.916667,0.413432,21.408200,249.174056
1.400000,2.410000,2.000000,0.429416,21.404635,244.350882
1.100000,2.510000,2.083333,0.445411,21.404635,245.937304
0.900000,2.590000,2.166667,0.461414,21.406417,244.350882
0.900000,2.650000,2.250000,0.477521,21.404635,245.937304
1.000000,2.790000,2.333333,0.493490,21.406417,247.544885
1.200000,2.810000,2.416667,0.509519,21.404635,249.174056
1.200000,2.950000,2.500000,0.525366,21.408200,245.937304
1.200000,3.070000,2.583333,0.541170,21.409982,252.498941
1.100000,3.150000,2.666667,0.557464,21.408200,250.825257
1.400000,3.250000,2.750000,0.573399,21.408200,250.825257
1.300000,3.390000,2.833333,0.589711,21.404635,247.544885
1.300000,3.370000,2.916667,0.605471,21.409982,249.174056
1.100000,3.550000,3.000000,0.622674,21.406417,249.174056
1.200000,3.630000,3.083333,0.637513,21.406417,249.174056
1.200000,3.710000,3.166667,0.653411,21.408200,247.544885
1.200000,3.890000,3.250000,0.669456,21.406417,252.498941
1.200000,3.950000,3.333333,0.685911,21.408200,249.174056
1.100000,4.030000,3.416667,0.703104,21.406417,249.174056
1.100000,4.110000,3.500000,0.717716,21.408200,249.174056
1.100000,4.210000,3.583333,0.733841,21.402852,252.498941
1.100000,4.310000,3.666667,0.749696,21.406417,250.825257
1.300000,4.410000,3.750000,0.766689,21.406417,250.825257
1.200000,4.490000,3.833333,0.781524,21.408200,247.544885
1.100000,4.670000,3.916667,0.797953,21.406417,249.174056
1.100000,4.730000,4.000000,0.813471,21.406417,250.825257
1.200000,4.770000,4.083333,0.829395,21.406417,245.937304
1.200000,4.850000,4.166667,0.845407,21.408200,245.937304
1.000000,4.930000,4.250000,0.861434,21.406417,245.937304
1.100000,5.030000,4.333333,0.878013,21.406417,244.350882
1.000000,5.150000,4.416667,0.897682,21.406417,249.174056
1.200000,5.250000,4.500000,0.910010,21.402852,247.544885
1.200000,5.310000,4.583333,0.927212,21.408200,250.825257
1.200000,5.390000,4.666667,0.942071,21.404635,249.174056
1.100000,5.430000,4.750000,0.957904,21.406417,249.174056
1.300000,5.650000,4.833333,0.973922,21.408200,249.174056
1.100000,5.730000,4.916667,0.989999,21.406417,250.825257
1.100000,5.790000,5.000000,1.005993,21.409982,242.785204
1.100000,5.850000,5.083333,1.022068,21.406417,250.825257
1.000000,6.050000,5.166667,1.037925,21.408200,250.825257
0.800000,6.090000,5.250000,1.053951,21.408200,250.825257
1.300000,6.270000,5.333333,1.070010,21.409982,254.195574
1.500000,6.290000,5.416667,1.085907,21.404635,249.174056
1.400000,6.370000,5.500000,1.101706,21.408200,254.195574
1.000000,6.450000,5.583333,1.117542,21.408200,252.498941
1.300000,6.610000,5.666667,1.133351,21.404635,247.544885
1.400000,6.630000,5.750000,1.150859,21.408200,250.825257
1.200000,6.730000,5.833333,1.166031,21.402852,250.825257
1.200000,6.890000,5.916667,1.181884,21.406417,247.544885
1.200000,6.990000,6.000000,1.197693,21.406417,247.544885
1.300000,7.050000,6.083333,1.223405,21.401070,250.825257
1.100000,7.050000,6.166667,1.230800,21.406417,245.937304
1.100000,7.230000,6.250000,1.245993,21.406417,245.937304
1.000000,7.370000,6.333333,1.262201,21.406417,244.350882
1.200000,7.470000,6.416667,1.277968,21.406417,244.350882
1.100000,7.550000,6.500000,1.293955,21.404635,245.937304
1.000000,7.670000,6.583333,1.310032,21.404635,244.350882
