# Date: 20201103
# Operator: DCC
# Notes: Sample 7 with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: Sample 7
# Fit of Tap:
#	Ic = 104 +/- 0.91 A
#	n = 52 +/- 11 
#	Vc = 5 uV
#	Vfloor = 1.34 +/- 2.5e+19 uV
#	R = 0.00361 +/- 1.6e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.300000,0.310000,0.000000,0.067811,21.401070,249.174056
1.200000,0.330000,0.083333,0.097843,21.406417,263.040192
1.000000,0.250000,0.166667,0.113485,21.406417,242.785204
1.200000,0.390000,0.250000,0.129597,21.417112,244.350882
1.100000,0.490000,0.333333,0.145831,21.404635,254.195574
0.900000,0.570000,0.416667,0.160802,21.406417,255.915633
1.000000,0.710000,0.500000,0.176862,21.406417,249.174056
0.800000,0.830000,0.583333,0.192802,21.404635,247.544885
1.300000,0.910000,0.666667,0.209122,21.404635,252.498941
1.100000,0.970000,0.750000,0.224743,21.409982,254.195574
1.100000,1.070000,0.833333,0.241381,21.406417,245.937304
0.900000,1.130000,0.916667,0.256991,21.406417,247.544885
1.100000,1.230000,1.000000,0.273581,21.408200,245.937304
1.000000,1.330000,1.083333,0.289170,21.406417,245.937304
1.200000,1.470000,1.166667,0.304708,21.404635,241.239861
1.200000,1.610000,1.250000,0.321281,21.406417,242.785204
1.200000,1.630000,1.333333,0.336833,21.408200,249.174056
1.000000,1.750000,1.416667,0.357122,21.406417,244.350882
1.000000,1.850000,1.500000,0.369247,21.408200,250.825257
1.100000,1.890000,1.583333,0.385017,21.409982,254.195574
1.000000,1.990000,1.666667,0.401016,21.404635,250.825257
0.900000,2.090000,1.750000,0.416648,21.409982,249.174056
1.000000,2.210000,1.833333,0.433216,21.406417,249.174056
1.000000,2.270000,1.916667,0.448776,21.404635,250.825257
0.800000,2.370000,2.000000,0.465332,21.408200,252.498941
1.000000,2.470000,2.083333,0.480894,21.406417,254.195574
1.200000,2.530000,2.166667,0.497535,21.408200,252.498941
1.300000,2.650000,2.250000,0.513099,21.406417,250.825257
1.200000,2.770000,2.333333,0.528658,21.404635,249.174056
1.200000,2.870000,2.416667,0.545208,21.404635,247.544885
1.000000,3.010000,2.500000,0.560740,21.408200,249.174056
1.100000,3.010000,2.583333,0.577330,21.408200,249.174056
1.200000,3.150000,2.666667,0.593499,21.406417,250.825257
1.000000,3.210000,2.750000,0.609099,21.406417,242.785204
1.400000,3.330000,2.833333,0.624660,21.404635,245.937304
1.300000,3.470000,2.916667,0.641354,21.409982,244.350882
1.200000,3.510000,3.000000,0.657601,21.404635,245.937304
1.200000,3.630000,3.083333,0.672778,21.404635,244.350882
1.000000,3.690000,3.166667,0.689377,21.401070,244.350882
1.200000,3.810000,3.250000,0.705048,21.406417,239.714457
1.100000,3.930000,3.333333,0.721071,21.408200,239.714457
1.200000,3.990000,3.416667,0.737038,21.406417,241.239861
0.900000,4.050000,3.500000,0.753516,21.409982,241.239861
1.100000,4.210000,3.583333,0.775376,21.383244,244.350882
1.100000,4.230000,3.666667,0.787064,21.385027,255.915633
1.100000,4.410000,3.750000,0.806414,21.383244,249.174056
1.100000,4.490000,3.833333,0.821209,21.388592,245.937304
0.900000,4.570000,3.916667,0.835210,21.386809,250.825257
1.100000,4.630000,4.000000,0.851107,21.385027,249.174056
1.200000,4.730000,4.083333,0.866676,21.386809,250.825257
1.300000,4.930000,4.166667,0.881949,21.404635,252.498941
1.200000,4.930000,4.250000,0.897608,21.408200,250.825257
1.000000,5.030000,4.333333,0.913176,21.408200,252.498941
1.200000,5.170000,4.416667,0.928757,21.404635,250.825257
1.200000,5.230000,4.500000,0.945314,21.404635,250.825257
1.300000,5.350000,4.583333,0.962989,21.406417,250.825257
1.200000,5.370000,4.666667,0.977191,21.404635,252.498941
1.000000,5.510000,4.750000,0.992842,21.408200,254.195574
1.100000,5.590000,4.833333,1.009451,21.404635,247.544885
1.200000,5.750000,4.916667,1.025054,21.404635,245.937304
1.200000,5.810000,5.000000,1.040640,21.406417,247.544885
1.100000,5.890000,5.083333,1.057221,21.406417,245.937304
1.000000,6.030000,5.166667,1.072773,21.402852,245.937304
1.100000,6.150000,5.250000,1.089326,21.402852,245.937304
1.200000,6.210000,5.333333,1.104890,21.408200,249.174056
1.200000,6.290000,5.416667,1.121451,21.406417,249.174056
1.000000,6.390000,5.500000,1.137180,21.408200,241.239861
1.100000,6.510000,5.583333,1.154442,21.406417,247.544885
1.300000,6.630000,5.666667,1.169096,21.406417,252.498941
1.100000,6.650000,5.750000,1.184661,21.406417,247.544885
1.000000,6.790000,5.833333,1.201218,21.406417,250.825257
1.000000,6.910000,5.916667,1.216805,21.408200,254.195574
1.000000,6.930000,6.000000,1.233456,21.406417,252.498941
1.200000,7.110000,6.083333,1.257468,21.409982,250.825257
1.200000,7.130000,6.166667,1.265585,21.409982,255.915633
1.300000,7.250000,6.250000,1.281177,21.406417,252.498941
0.900000,7.390000,6.333333,1.296759,21.408200,254.195574
1.000000,7.450000,6.416667,1.313337,21.406417,254.195574
1.100000,7.550000,6.500000,1.328886,21.406417,252.498941
1.200000,7.630000,6.583333,1.345436,21.404635,249.174056
1.200000,7.710000,6.666667,1.360780,21.406417,250.825257
1.100000,7.870000,6.750000,1.377382,21.409982,250.825257
1.100000,7.990000,6.833333,1.393102,21.406417,247.544885
1.300000,8.090000,6.916667,1.408730,21.406417,250.825257
1.200000,8.090000,7.000000,1.425318,21.406417,242.785204
1.200000,8.230000,7.083333,1.440986,21.406417,244.350882
1.300000,8.310000,7.166667,1.457566,21.406417,244.350882
