# Date: 20201103
# Operator: DCC
# Notes: Sample 7 with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: Sample 7
# Fit of Tap:
#	Ic = 91.5 +/- 1.1 A
#	n = 50 +/- 0.98 
#	Vc = 5 uV
#	Vfloor = 4.99 +/- 2e+58 uV
#	R = 6.79 +/- 5.9e+52 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
0.900000,0.330000,0.000000,0.042214,21.408200,249.174056
1.300000,0.230000,0.083333,0.060264,21.409982,245.937304
1.100000,0.410000,0.166667,0.073908,21.406417,249.174056
0.900000,0.430000,0.250000,0.089428,21.408200,249.174056
0.900000,0.510000,0.333333,0.105950,21.406417,250.825257
0.800000,0.610000,0.416667,0.121595,21.411765,252.498941
0.900000,0.730000,0.500000,0.137191,21.409982,254.195574
1.100000,0.810000,0.583333,0.153726,21.408200,252.498941
1.200000,0.970000,0.666667,0.170244,21.404635,252.498941
1.000000,1.030000,0.750000,0.185349,21.409982,249.174056
1.100000,1.070000,0.833333,0.202165,21.408200,249.174056
1.300000,1.150000,0.916667,0.217903,21.406417,250.825257
1.000000,1.270000,1.000000,0.234072,21.404635,252.498941
1.100000,1.310000,1.083333,0.249638,21.406417,249.174056
0.800000,1.450000,1.166667,0.266040,21.409982,252.498941
0.900000,1.530000,1.250000,0.282187,21.409982,249.174056
1.100000,1.630000,1.333333,0.297411,21.406417,245.937304
1.000000,1.710000,1.416667,0.313569,21.408200,247.544885
0.800000,1.830000,1.500000,0.329516,21.409982,244.350882
1.100000,1.950000,1.583333,0.346261,21.406417,247.544885
1.200000,1.930000,1.666667,0.361796,21.408200,247.544885
1.200000,2.090000,1.750000,0.377901,21.406417,245.937304
1.000000,2.210000,1.833333,0.393671,21.406417,244.350882
1.200000,2.310000,1.916667,0.410176,21.406417,244.350882
1.300000,2.370000,2.000000,0.425762,21.409982,249.174056
1.100000,2.470000,2.083333,0.441495,21.408200,250.825257
1.200000,2.570000,2.166667,0.466477,21.408200,245.937304
1.100000,2.710000,2.250000,0.476524,21.408200,249.174056
0.900000,2.730000,2.333333,0.489964,21.409982,250.825257
0.900000,2.890000,2.416667,0.505579,21.408200,252.498941
0.900000,2.970000,2.500000,0.522164,21.406417,254.195574
1.200000,3.070000,2.583333,0.537681,21.409982,252.498941
1.000000,3.150000,2.666667,0.553497,21.406417,254.195574
1.200000,3.230000,2.750000,0.570192,21.409982,255.915633
1.100000,3.370000,2.833333,0.585705,21.409982,249.174056
1.200000,3.470000,2.916667,0.602189,21.408200,255.915633
1.100000,3.510000,3.000000,0.617751,21.406417,250.825257
0.900000,3.650000,3.083333,0.633578,21.404635,249.174056
0.900000,3.690000,3.166667,0.650110,21.408200,244.350882
0.900000,3.830000,3.250000,0.665607,21.406417,249.174056
1.100000,3.890000,3.333333,0.682188,21.409982,249.174056
1.100000,4.030000,3.416667,0.697679,21.406417,245.937304
1.100000,4.070000,3.500000,0.713391,21.406417,242.785204
1.100000,4.170000,3.583333,0.730013,21.406417,247.544885
