# Date: 20201103
# Operator: DCC
# Notes: Sample 7 with 15 in/lb per nut. TFMC post testing
# Tap_cm: 5.0
# Sample: Sample 7
# Fit of Tap:
#	Ic = 169 +/- 0.024 A
#	n = 33.6 +/- 0.33 
#	Vc = 5 uV
#	Vfloor = 1.16 +/- 0.008 uV
#	R = 0.000116 +/- 9e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [T],Cernox [K]
1.100000,0.310000,0.000000,0.045036,21.406417,247.544885
0.800000,0.290000,0.083333,0.057575,21.406417,249.174056
1.000000,0.350000,0.166667,0.073732,21.409982,250.825257
1.100000,0.330000,0.250000,0.090405,21.409982,252.498941
0.900000,0.510000,0.333333,0.105970,21.411765,250.825257
1.200000,0.630000,0.416667,0.121526,21.408200,252.498941
0.900000,0.750000,0.500000,0.138085,21.406417,250.825257
1.300000,0.830000,0.583333,0.153618,21.411765,254.195574
1.200000,0.890000,0.666667,0.170193,21.409982,249.174056
1.200000,0.950000,0.750000,0.185735,21.406417,254.195574
1.300000,1.170000,0.833333,0.202373,21.408200,255.915633
1.300000,1.150000,0.916667,0.220038,21.409982,250.825257
1.000000,1.330000,1.000000,0.234269,21.408200,249.174056
1.100000,1.330000,1.083333,0.250177,21.406417,249.174056
1.100000,1.470000,1.166667,0.266096,21.408200,252.498941
1.000000,1.550000,1.250000,0.282021,21.408200,245.937304
1.200000,1.630000,1.333333,0.298005,21.406417,245.937304
1.100000,1.710000,1.416667,0.314152,21.406417,252.498941
0.900000,1.850000,1.500000,0.330063,21.406417,249.174056
1.200000,1.970000,1.583333,0.346461,21.406417,245.937304
1.100000,1.970000,1.666667,0.361925,21.404635,242.785204
0.900000,2.130000,1.750000,0.377982,21.406417,247.544885
1.200000,2.210000,1.833333,0.393966,21.409982,245.937304
1.000000,2.250000,1.916667,0.409894,21.409982,247.544885
1.200000,2.350000,2.000000,0.425837,21.404635,249.174056
1.000000,2.450000,2.083333,0.441769,21.406417,247.544885
1.000000,2.570000,2.166667,0.457686,21.406417,249.174056
1.100000,2.630000,2.250000,0.473590,21.409982,252.498941
