# Date: 20210301
# Operator: RDP
# Notes: BOTTOM TERM 2 OF 3 (1)
# Tap_cm: 5.0
# Sample: SOX 853-L_001
# Fit of Tap:
#	Ic = 155 +/- 0.095 A
#	n = 45.8 +/- 1.4 
#	Vc = 3.5 uV
#	Vfloor = 1.43 +/- 0.0069 uV
#	R = 0.000556 +/- 8.4e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.200000,0.250000,0.000000,-12.000000,0.041502,8.910000,-4.108734
1.400000,0.210000,0.083333,-12.000000,0.053020,9.510000,-4.666667
1.200000,0.250000,0.166667,-12.200000,0.070496,9.550000,-4.631016
1.300000,0.350000,0.250000,-12.000000,0.078575,8.450000,-3.919786
1.400000,0.390000,0.333333,-11.800000,0.090266,9.150000,-4.281640
1.400000,0.510000,0.416667,-12.200000,0.105864,9.330000,-4.426025
1.300000,0.630000,0.500000,-11.800000,0.122668,9.330000,-4.408200
1.300000,0.690000,0.583333,-12.000000,0.138334,9.490000,-4.515152
1.200000,0.690000,0.666667,-12.000000,0.153936,9.450000,-4.602496
1.300000,0.770000,0.750000,-11.800000,0.170752,9.530000,-4.593583
1.300000,0.910000,0.833333,-11.800000,0.186416,9.490000,-4.650624
1.200000,1.010000,0.916667,-11.800000,0.202059,9.430000,-4.632799
1.100000,1.030000,1.000000,-12.000000,0.217823,9.250000,-4.588235
1.200000,1.070000,1.083333,-12.000000,0.234584,9.270000,-4.600713
1.500000,1.270000,1.166667,-12.000000,0.250222,9.130000,-4.506239
1.400000,1.410000,1.250000,-12.600000,0.265953,8.950000,-4.379679
1.300000,1.330000,1.333333,-12.000000,0.281680,8.710000,-4.249554
1.500000,1.410000,1.416667,-11.800000,0.298301,8.710000,-4.251337
1.200000,1.490000,1.500000,-13.600000,0.314186,8.850000,-4.135472
1.500000,1.610000,1.583333,-12.000000,0.330029,8.510000,-4.037433
1.300000,1.630000,1.666667,-12.200000,0.345678,8.450000,-3.955437
1.300000,1.750000,1.750000,-11.800000,0.363365,8.550000,-4.026738
1.300000,1.790000,1.833333,-12.200000,0.378571,8.450000,-3.909091
1.100000,1.890000,1.916667,-12.200000,0.394227,8.530000,-3.884135
1.400000,1.930000,2.000000,-12.200000,0.409843,8.670000,-3.930481
1.300000,2.030000,2.083333,-11.600000,0.426662,8.630000,-3.923351
1.500000,2.110000,2.166667,-11.800000,0.442780,8.650000,-3.967914
1.200000,2.210000,2.250000,-11.800000,0.458436,8.850000,-4.069519
1.300000,2.290000,2.333333,-12.200000,0.474264,9.030000,-4.174688
1.300000,2.350000,2.416667,-12.200000,0.489925,9.210000,-4.310160
1.500000,2.450000,2.500000,-12.000000,0.506529,9.290000,-4.320856
1.400000,2.510000,2.583333,-12.000000,0.522355,9.390000,-4.443850
1.500000,2.550000,2.666667,-11.800000,0.538014,9.530000,-4.552585
1.200000,2.650000,2.750000,-11.800000,0.553646,9.470000,-4.639929
1.500000,2.690000,2.833333,-11.800000,0.570482,9.530000,-4.627451
1.400000,2.810000,2.916667,-12.000000,0.586560,9.510000,-4.663102
1.400000,2.930000,3.000000,-12.000000,0.602197,9.430000,-4.650624
1.200000,2.870000,3.083333,-12.600000,0.618103,9.230000,-4.614973
1.200000,3.050000,3.166667,-11.800000,0.633820,9.190000,-4.540107
1.400000,3.130000,3.250000,-12.200000,0.656767,9.230000,-4.270945
1.300000,3.210000,3.333333,-11.800000,0.665908,8.930000,-4.356506
1.300000,3.330000,3.416667,-11.600000,0.681682,8.770000,-4.260250
1.500000,3.370000,3.500000,-11.800000,0.698308,8.750000,-4.256684
1.500000,3.430000,3.583333,-11.800000,0.713893,8.550000,-4.106952
1.200000,3.570000,3.666667,-11.800000,0.730687,8.650000,-4.133690
1.400000,3.650000,3.750000,-12.200000,0.746353,8.450000,-4.021390
1.300000,3.730000,3.833333,-12.000000,0.761979,8.390000,-3.925134
