# Date: 20210301
# Operator: RDP
# Notes: BOTTOM TERM 2 OF 3 (1)
# Tap_cm: 5.0
# Sample: SOX 853-L_001
# Fit of Tap:
#	Ic = 153 +/- 0.072 A
#	n = 105 +/- 4.7 
#	Vc = 3.5 uV
#	Vfloor = 1.41 +/- 0.0063 uV
#	R = 0.000338 +/- 7.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.230000,0.000000,-12.000000,0.033607,9.410000,-4.652406
1.400000,0.270000,0.083333,-12.000000,0.043323,8.410000,-3.935829
1.300000,0.250000,0.166667,-12.000000,0.058398,8.530000,-3.910873
1.400000,0.330000,0.250000,-12.000000,0.074196,8.670000,-3.946524
1.400000,0.370000,0.333333,-12.200000,0.089828,8.790000,-4.040998
1.300000,0.490000,0.416667,-12.800000,0.106580,8.810000,-4.046346
1.300000,0.570000,0.500000,-11.800000,0.122408,8.990000,-4.147950
1.200000,0.650000,0.583333,-11.400000,0.138058,9.130000,-4.283422
1.400000,0.710000,0.666667,-11.600000,0.153678,9.330000,-4.433155
1.500000,0.770000,0.750000,-11.600000,0.170461,9.350000,-4.413547
1.300000,0.850000,0.833333,-11.600000,0.186227,9.390000,-4.525847
1.300000,0.930000,0.916667,-12.000000,0.201964,9.450000,-4.606061
1.200000,0.910000,1.000000,-12.000000,0.217691,9.470000,-4.661319
1.200000,1.110000,1.083333,-12.200000,0.234108,9.450000,-4.672014
1.300000,1.250000,1.166667,-11.600000,0.249707,9.310000,-4.636364
1.500000,1.330000,1.250000,-12.800000,0.266387,9.210000,-4.636364
1.000000,1.370000,1.333333,-11.600000,0.282116,9.390000,-4.566845
1.100000,1.430000,1.416667,-11.600000,0.297766,9.010000,-4.475936
1.200000,1.450000,1.500000,-11.400000,0.319520,9.370000,-4.520499
1.400000,1.390000,1.583333,-12.200000,0.329813,8.730000,-4.295900
1.400000,1.650000,1.666667,-11.800000,0.346539,8.770000,-4.310160
1.300000,1.750000,1.750000,-11.800000,0.362177,8.590000,-4.153298
1.300000,1.830000,1.833333,-13.000000,0.378004,8.470000,-4.057041
1.300000,1.850000,1.916667,-11.800000,0.393667,8.450000,-3.971480
1.200000,1.970000,2.000000,-11.800000,0.410273,8.430000,-3.964349
1.000000,1.930000,2.083333,-11.600000,0.426130,8.450000,-3.910873
1.400000,2.110000,2.166667,-11.800000,0.442377,8.330000,-3.900178
1.200000,2.150000,2.250000,-11.600000,0.458021,8.510000,-3.919786
1.300000,2.290000,2.333333,-12.400000,0.473845,8.670000,-3.975045
1.600000,2.350000,2.416667,-12.400000,0.490475,8.710000,-3.975045
