# Date: 20210301
# Operator: RDP
# Notes: BOTTOM TERM 2 OF 3 (2)
# Tap_cm: 5.0
# Sample: SOX 853-L_002
# Fit of Tap:
#	Ic = 131 +/- 0.078 A
#	n = 86.7 +/- 4 
#	Vc = 3.5 uV
#	Vfloor = 1.79 +/- 0.0069 uV
#	R = 0.0001 +/- 9.7e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.700000,0.310000,0.000000,-12.200000,0.051427,9.270000,-4.739750
1.600000,0.250000,0.083333,-12.200000,0.071838,9.470000,-4.659537
1.700000,0.230000,0.166667,-12.000000,0.089029,9.430000,-4.565062
1.600000,0.350000,0.250000,-11.800000,0.099051,8.770000,-4.372549
1.700000,0.410000,0.333333,-12.200000,0.115390,8.730000,-4.308378
1.800000,0.490000,0.416667,-12.000000,0.130705,8.530000,-4.065954
1.500000,0.570000,0.500000,-12.000000,0.147294,8.550000,-4.053476
1.500000,0.610000,0.583333,-12.200000,0.162671,8.430000,-3.884135
1.500000,0.690000,0.666667,-11.800000,0.178991,8.470000,-3.843137
1.800000,0.830000,0.750000,-11.800000,0.195731,8.470000,-3.852050
1.500000,0.890000,0.833333,-12.000000,0.211282,8.530000,-3.803922
1.700000,0.970000,0.916667,-12.200000,0.226634,8.630000,-3.852050
1.700000,1.030000,1.000000,-12.200000,0.243049,8.530000,-3.873440
2.000000,1.130000,1.083333,-12.000000,0.259503,8.710000,-3.907308
1.600000,1.190000,1.166667,-12.400000,0.274849,8.910000,-4.103387
1.600000,1.310000,1.250000,-12.200000,0.291212,8.990000,-4.165775
1.800000,1.370000,1.333333,-12.000000,0.306713,9.230000,-4.390374
1.800000,1.450000,1.416667,-12.200000,0.323042,9.250000,-4.463458
1.800000,1.530000,1.500000,-12.000000,0.339351,9.310000,-4.520499
1.700000,1.550000,1.583333,-12.000000,0.354896,9.490000,-4.693405
1.600000,1.670000,1.666667,-12.000000,0.371265,9.490000,-4.730838
1.800000,1.730000,1.750000,-11.800000,0.386567,9.470000,-4.853832
1.600000,1.770000,1.833333,-11.800000,0.409164,8.750000,-3.959002
1.500000,1.890000,1.916667,-12.200000,0.418595,9.310000,-4.809269
1.700000,1.970000,2.000000,-12.400000,0.434957,9.230000,-4.775401
1.500000,2.070000,2.083333,-12.000000,0.451523,9.290000,-4.764706
1.800000,2.130000,2.166667,-11.800000,0.466975,9.110000,-4.629234
1.800000,2.210000,2.250000,-12.000000,0.483394,9.010000,-4.563280
1.800000,2.210000,2.333333,-12.000000,0.499200,8.870000,-4.436720
1.500000,2.390000,2.416667,-12.200000,0.514622,8.630000,-4.190731
1.700000,2.450000,2.500000,-11.800000,0.530944,8.610000,-4.140820
1.900000,2.710000,2.583333,-12.000000,0.547395,8.570000,-4.108734
1.700000,2.610000,2.666667,-12.200000,0.562815,8.470000,-3.930481
1.600000,2.690000,2.750000,-12.200000,0.579120,8.510000,-3.901961
1.700000,2.770000,2.833333,-12.000000,0.595030,8.570000,-3.857398
1.700000,2.790000,2.916667,-12.200000,0.611500,8.510000,-3.836007
1.700000,2.910000,3.000000,-12.000000,0.626809,8.570000,-3.866310
1.700000,2.970000,3.083333,-12.000000,0.643113,8.670000,-3.896613
1.900000,3.090000,3.166667,-11.800000,0.659715,8.690000,-3.905526
1.600000,3.110000,3.250000,-12.200000,0.675087,8.850000,-4.073084
1.800000,3.150000,3.333333,-12.000000,0.699417,8.890000,-4.484848
1.600000,3.270000,3.416667,-12.000000,0.707277,9.070000,-4.258467
1.900000,3.370000,3.500000,-12.200000,0.722626,9.310000,-4.522282
1.700000,3.490000,3.583333,-12.000000,0.738954,9.410000,-4.581105
1.600000,3.550000,3.666667,-10.000000,0.756668,9.310000,-4.449198
1.900000,3.630000,3.750000,-9.600000,0.773188,9.330000,-4.474153
1.700000,3.650000,3.833333,-10.400000,0.788799,9.490000,-4.652406
1.700000,3.810000,3.916667,-9.800000,0.819002,9.290000,-4.816399
1.400000,3.890000,4.000000,-9.600000,0.830763,8.410000,-4.069519
1.900000,3.890000,4.083333,-9.800000,0.840220,9.270000,-4.408200
1.700000,4.010000,4.166667,-10.000000,0.852857,9.330000,-4.830660
1.600000,4.090000,4.250000,-12.000000,0.867328,9.130000,-4.682709
1.500000,4.170000,4.333333,-12.400000,0.882658,8.890000,-4.470588
1.900000,4.210000,4.416667,-11.800000,0.899067,8.950000,-4.431373
1.600000,4.310000,4.500000,-11.800000,0.915558,8.770000,-4.408200
1.600000,4.450000,4.583333,-12.000000,0.930877,8.590000,-4.144385
1.700000,4.470000,4.666667,-12.400000,0.947302,8.550000,-4.106952
1.400000,4.590000,4.750000,-12.200000,0.962869,8.430000,-3.948307
1.500000,4.690000,4.833333,-12.200000,0.979268,8.450000,-3.916221
1.600000,4.750000,4.916667,-12.400000,1.004969,9.470000,-4.659537
1.500000,4.830000,5.000000,-12.200000,1.012446,8.450000,-3.894831
1.700000,4.870000,5.083333,-11.800000,1.026760,8.590000,-3.855615
1.600000,4.950000,5.166667,-12.200000,1.043065,8.630000,-3.887701
1.800000,5.110000,5.250000,-12.200000,1.059564,8.690000,-3.889483
1.500000,5.150000,5.333333,-11.800000,1.074958,8.830000,-4.051693
1.700000,5.210000,5.416667,-12.000000,1.091413,9.030000,-4.119430
1.700000,5.270000,5.500000,-12.400000,1.107039,9.110000,-4.276292
1.600000,5.390000,5.583333,-12.400000,1.123428,9.150000,-4.320856
1.800000,5.430000,5.666667,-11.800000,1.138743,9.370000,-4.570410
1.800000,5.390000,5.750000,-11.800000,1.155224,9.430000,-4.606061
1.800000,5.590000,5.833333,-12.000000,1.170637,9.470000,-4.768271
