# Date: 20210301
# Operator: RDP
# Notes: BOTTOM TERM 2 OF 3 (2)
# Tap_cm: 5.0
# Sample: SOX 853-L_002
# Fit of Tap:
#	Ic = 133 +/- 0.28 A
#	n = 53.8 +/- 4.5 
#	Vc = 3.5 uV
#	Vfloor = 1.72 +/- 0.012 uV
#	R = 0.00233 +/- 0.00016 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.230000,0.000000,-9.800000,0.027907,9.390000,-4.762923
1.700000,0.290000,0.166667,-10.000000,0.043413,9.330000,-4.780749
1.400000,0.370000,0.333333,-11.800000,0.058172,9.170000,-4.664884
1.400000,0.550000,0.500000,-12.200000,0.073534,8.910000,-4.463458
1.700000,0.690000,0.666667,-11.800000,0.089868,8.910000,-4.417112
1.700000,0.830000,0.833333,-12.000000,0.106406,8.850000,-4.388592
1.400000,1.050000,1.000000,-12.000000,0.121838,8.670000,-4.147950
1.500000,1.210000,1.166667,-12.200000,0.138515,8.630000,-4.156863
1.500000,1.350000,1.333333,-12.400000,0.153572,8.410000,-3.930481
1.500000,1.490000,1.500000,-12.200000,0.170004,8.410000,-3.912656
1.600000,1.630000,1.666667,-12.200000,0.185350,8.410000,-3.796791
1.200000,1.790000,1.833333,-14.000000,0.201865,8.470000,-3.791444
1.500000,1.930000,2.000000,-11.800000,0.218287,8.490000,-3.793226
1.500000,2.110000,2.166667,-11.800000,0.234274,8.550000,-3.809269
1.800000,2.270000,2.333333,-11.800000,0.250005,8.730000,-3.905526
1.500000,2.450000,2.500000,-12.400000,0.265540,8.870000,-4.030303
1.600000,2.590000,2.666667,-12.400000,0.281931,8.910000,-4.083779
1.600000,2.770000,2.833333,-12.200000,0.298247,8.930000,-4.140820
1.500000,2.890000,3.000000,-12.200000,0.313770,9.210000,-4.356506
1.600000,3.050000,3.166667,-12.000000,0.330174,9.250000,-4.418895
1.700000,3.150000,3.333333,-12.200000,0.345491,9.450000,-4.625668
1.500000,3.350000,3.500000,-12.200000,0.362027,9.470000,-4.650624
1.700000,3.490000,3.666667,-12.000000,0.377401,9.490000,-4.795009
