# Date: 20210301
# Operator: RDP
# Notes: BOTTOM TERM 1 OF 3 (1)
# Tap_cm: 5.0
# Sample: SOX 853-R_001
# Fit of Tap:
#	Ic = 158 +/- 0.21 A
#	n = 60.9 +/- 4 
#	Vc = 3.5 uV
#	Vfloor = 1.61 +/- 0.0098 uV
#	R = 0.00133 +/- 0.00012 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.230000,0.000000,-10.600000,0.028896,9.170000,-4.349376
1.400000,0.290000,0.166667,-9.800000,0.044288,9.310000,-4.463458
1.300000,0.390000,0.333333,-12.000000,0.067912,8.590000,-4.065954
1.500000,0.470000,0.500000,-11.800000,0.076003,9.450000,-4.554367
1.500000,0.750000,0.666667,-14.200000,0.089941,9.150000,-4.532977
1.400000,0.870000,0.833333,-12.000000,0.105664,9.030000,-4.470588
1.500000,0.990000,1.000000,-11.800000,0.122289,9.010000,-4.465241
1.400000,1.210000,1.166667,-11.800000,0.138134,8.930000,-4.381462
1.600000,1.310000,1.333333,-11.600000,0.153827,8.810000,-4.285205
1.500000,1.510000,1.500000,-11.600000,0.170555,8.810000,-4.295900
1.400000,1.670000,1.666667,-12.000000,0.186478,8.710000,-4.215686
1.200000,1.810000,1.833333,-12.600000,0.204914,8.950000,-4.392157
1.200000,1.950000,2.000000,-12.400000,0.217590,8.570000,-4.048128
1.600000,2.090000,2.166667,-12.800000,0.234497,8.590000,-4.067736
1.300000,2.230000,2.333333,-12.600000,0.250235,8.570000,-4.023173
1.500000,2.350000,2.500000,-12.400000,0.265905,8.550000,-4.017825
1.300000,2.390000,2.666667,-12.800000,0.281714,8.710000,-4.055258
1.300000,2.730000,2.833333,-12.200000,0.298451,8.670000,-4.049911
1.500000,2.930000,3.000000,-12.600000,0.314126,8.770000,-4.103387
1.400000,2.990000,3.166667,-13.000000,0.329900,8.790000,-4.185383
1.400000,3.130000,3.333333,-12.600000,0.345628,9.050000,-4.276292
1.400000,3.410000,3.500000,-12.800000,0.363270,8.870000,-4.185383
1.400000,3.510000,3.666667,-13.000000,0.378458,9.110000,-4.354724
1.700000,3.650000,3.833333,-12.000000,0.394783,9.190000,-4.368984
1.400000,3.870000,4.000000,-12.200000,0.410506,9.270000,-4.454545
1.400000,4.010000,4.166667,-11.800000,0.426166,9.330000,-4.516934
1.400000,4.170000,4.333333,-12.200000,0.442052,9.330000,-4.549020
1.500000,4.330000,4.500000,-12.000000,0.457788,9.310000,-4.554367
1.500000,4.490000,4.666667,-12.200000,0.474429,9.310000,-4.559715
1.300000,4.670000,4.833333,-12.000000,0.490246,9.190000,-4.531194
1.400000,4.890000,5.000000,-12.000000,0.505942,9.130000,-4.488414
1.700000,4.930000,5.166667,-12.000000,0.521549,8.950000,-4.397504
1.700000,5.110000,5.333333,-12.000000,0.538345,9.010000,-4.406417
1.600000,5.230000,5.500000,-12.000000,0.553993,8.810000,-4.292335
1.100000,5.430000,5.666667,-12.400000,0.569622,8.670000,-4.196078
1.600000,5.550000,5.833333,-12.200000,0.585847,8.610000,-4.162210
1.500000,5.810000,6.000000,-11.800000,0.601651,8.550000,-4.089127
1.400000,5.930000,6.166667,-12.200000,0.618577,8.550000,-4.112299
1.100000,6.190000,6.333333,-13.000000,0.634387,8.570000,-4.060606
1.600000,6.250000,6.500000,-12.200000,0.657820,9.310000,-4.570410
1.400000,6.230000,6.666667,-11.800000,0.665818,8.610000,-4.030303
1.700000,6.510000,6.833333,-12.000000,0.682573,8.770000,-4.033868
1.200000,6.690000,7.000000,-11.800000,0.698703,8.650000,-4.051693
1.600000,6.890000,7.166667,-11.800000,0.714420,8.710000,-4.085561
1.600000,6.990000,7.333333,-12.200000,0.730039,8.870000,-4.174688
