# Date: 20210301
# Operator: RDP
# Notes: BOTTOM TERM 1 OF 3 (2)
# Tap_cm: 5.0
# Sample: SOX 853-R_002
# Fit of Tap:
#	Ic = 152 +/- 0.24 A
#	n = 99.8 +/- 9.5 
#	Vc = 3 uV
#	Vfloor = 1.47 +/- 0.0065 uV
#	R = 0.00021 +/- 7.8e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.500000,0.230000,0.000000,-9.600000,0.027763,8.870000,-4.383244
1.500000,0.210000,0.083333,-12.000000,0.042358,8.650000,-4.181818
1.500000,0.250000,0.166667,-12.000000,0.067379,9.170000,-4.392157
1.400000,0.310000,0.250000,-12.000000,0.075076,8.550000,-4.117647
1.300000,0.390000,0.333333,-12.000000,0.089636,8.450000,-3.975045
1.300000,0.450000,0.416667,-12.200000,0.106039,8.450000,-3.971480
1.500000,0.550000,0.500000,-12.400000,0.121609,8.550000,-3.985740
1.500000,0.650000,0.583333,-11.800000,0.138186,8.510000,-4.000000
1.400000,0.690000,0.666667,-12.000000,0.153605,8.690000,-4.080214
1.300000,0.790000,0.750000,-12.200000,0.169948,8.730000,-4.108734
1.400000,0.870000,0.833333,-12.200000,0.185882,8.930000,-4.181818
1.300000,1.010000,0.916667,-12.000000,0.201348,9.090000,-4.308378
1.400000,0.990000,1.000000,-12.400000,0.217690,9.130000,-4.358289
1.200000,1.110000,1.083333,-11.800000,0.234717,9.290000,-4.317291
1.400000,1.210000,1.166667,-12.000000,0.252801,9.190000,-4.153298
1.500000,1.230000,1.250000,-12.000000,0.265247,9.370000,-4.570410
1.400000,1.350000,1.333333,-11.800000,0.281599,9.390000,-4.590018
1.600000,1.390000,1.416667,-12.000000,0.298170,9.350000,-4.586453
1.300000,1.510000,1.500000,-12.200000,0.313560,9.310000,-4.581105
1.500000,1.570000,1.583333,-12.400000,0.329900,9.250000,-4.565062
1.300000,1.590000,1.666667,-12.200000,0.345446,9.070000,-4.499109
1.200000,1.710000,1.750000,-11.800000,0.362712,9.170000,-4.550802
1.400000,1.790000,1.833333,-11.800000,0.377534,8.890000,-4.386809
1.500000,1.890000,1.916667,-11.800000,0.394165,8.810000,-4.390374
1.300000,1.950000,2.000000,-12.200000,0.409562,8.650000,-4.237077
1.500000,2.070000,2.083333,-12.000000,0.425986,8.650000,-4.197861
1.500000,2.070000,2.166667,-12.400000,0.442131,8.530000,-4.142602
1.400000,2.190000,2.250000,-12.200000,0.457536,8.450000,-4.044563
1.100000,2.290000,2.333333,-12.400000,0.473861,8.450000,-4.021390
