# Date: 20210301
# Operator: RDP
# Notes: BOTTOM TERM 1 OF 3 (2)
# Tap_cm: 5.0
# Sample: SOX 853-R_002
# Fit of Tap:
#	Ic = 153 +/- 0.12 A
#	n = 128 +/- 11 
#	Vc = 3 uV
#	Vfloor = 1.46 +/- 0.0091 uV
#	R = 0.00132 +/- 0.00011 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.400000,0.250000,0.000000,-11.800000,0.025941,9.370000,-4.579323
1.400000,0.250000,0.166667,-11.800000,0.042404,9.430000,-4.591800
1.400000,0.370000,0.333333,-12.000000,0.057812,9.350000,-4.631016
1.300000,0.550000,0.500000,-12.000000,0.079599,8.950000,-4.229947
1.400000,0.690000,0.666667,-12.000000,0.090439,9.290000,-4.600713
1.100000,0.830000,0.833333,-12.200000,0.105859,9.130000,-4.524064
1.200000,0.950000,1.000000,-12.200000,0.122361,9.090000,-4.513369
1.300000,1.170000,1.166667,-12.000000,0.137844,8.850000,-4.388592
1.400000,1.330000,1.333333,-12.000000,0.154190,8.870000,-4.347594
1.300000,1.470000,1.500000,-12.200000,0.169666,8.730000,-4.219251
1.300000,1.630000,1.666667,-12.200000,0.186186,8.630000,-4.192513
1.200000,1.770000,1.833333,-12.200000,0.201546,8.490000,-4.080214
1.400000,1.970000,2.000000,-12.000000,0.217887,8.490000,-4.073084
1.400000,2.090000,2.166667,-12.000000,0.234225,8.450000,-4.037433
1.300000,2.270000,2.333333,-12.000000,0.249594,8.490000,-4.012478
1.300000,2.430000,2.500000,-11.800000,0.265963,8.550000,-4.016043
1.300000,2.550000,2.666667,-12.000000,0.282613,8.530000,-4.023173
1.400000,2.750000,2.833333,-11.800000,0.298264,8.610000,-4.067736
1.300000,2.930000,3.000000,-12.200000,0.313653,8.810000,-4.172906
1.000000,2.990000,3.166667,-12.200000,0.330234,8.790000,-4.181818
1.300000,3.230000,3.333333,-12.400000,0.345629,8.990000,-4.326203
1.300000,3.370000,3.500000,-12.400000,0.361992,9.110000,-4.360071
1.500000,3.550000,3.666667,-12.000000,0.379275,8.970000,-4.288770
1.300000,3.690000,3.833333,-12.200000,0.394129,9.310000,-4.483066
1.200000,3.850000,4.000000,-12.200000,0.410506,9.330000,-4.508021
1.200000,3.850000,4.166667,-11.800000,0.426014,9.370000,-4.593583
1.300000,4.190000,4.333333,-12.200000,0.441855,9.370000,-4.625668
1.500000,4.370000,4.500000,-12.000000,0.458228,9.310000,-4.625668
1.200000,4.490000,4.666667,-12.200000,0.473707,9.330000,-4.600713
1.300000,4.650000,4.833333,-11.800000,0.490162,9.210000,-4.595365
