# Date: 20210315
# Operator: RDP
# Notes: Transition Leads OldNewrig Thick
# Tap_cm: 5.0
# Sample: 865-R_2
# Fit of Tap:
#	Ic = 154 +/- 0.051 A
#	n = 32.1 +/- 0.56 
#	Vc = 5 uV
#	Vfloor = 2 +/- 0.01 uV
#	R = 0.00177 +/- 0.00013 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.210000,0.000000,-10.600000,0.049432,8.950000,-4.310160
1.800000,0.210000,0.111111,-13.000000,0.072647,8.710000,-4.229947
1.600000,0.510000,0.222222,-11.000000,0.083625,8.970000,-4.320856
1.900000,0.350000,0.333333,-10.800000,0.094108,8.810000,-4.135472
1.600000,0.470000,0.444444,-11.000000,0.105446,8.830000,-4.249554
1.900000,0.550000,0.555556,-11.000000,0.115780,8.950000,-4.315508
1.900000,0.650000,0.666667,-11.000000,0.127072,8.870000,-4.142602
1.900000,0.810000,0.777778,-11.000000,0.138358,8.830000,-4.260250
2.000000,0.890000,0.888889,-11.000000,0.148660,8.990000,-4.297683
1.900000,0.990000,1.000000,-11.000000,0.159955,8.810000,-4.122995
1.700000,1.130000,1.111111,-11.000000,0.171229,8.790000,-4.267380
1.800000,1.230000,1.222222,-10.800000,0.182504,8.970000,-4.308378
1.900000,1.350000,1.333333,-10.800000,0.192815,8.810000,-4.135472
1.900000,1.390000,1.444444,-10.800000,0.204170,8.850000,-4.274510
1.600000,1.530000,1.555556,-10.800000,0.215461,8.990000,-4.295900
1.600000,1.590000,1.666667,-11.000000,0.228847,8.870000,-4.176471
1.800000,1.690000,1.777778,-10.800000,0.237247,8.830000,-4.288770
1.800000,1.810000,1.888889,-10.800000,0.247586,8.930000,-4.260250
2.000000,1.950000,2.000000,-10.800000,0.264519,8.970000,-4.270945
1.700000,1.970000,2.111111,-11.000000,0.272275,8.770000,-4.240642
1.700000,2.070000,2.222222,-10.800000,0.280579,8.950000,-4.253119
1.900000,2.150000,2.333333,-11.000000,0.291861,8.770000,-4.162210
1.800000,2.330000,2.444444,-10.600000,0.303156,8.850000,-4.313725
1.500000,2.490000,2.555556,-10.800000,0.314441,8.990000,-4.270945
2.000000,2.530000,2.666667,-11.000000,0.324725,8.750000,-4.171123
1.500000,2.590000,2.777778,-11.000000,0.336072,8.790000,-4.313725
1.900000,2.750000,2.888889,-11.200000,0.347458,8.930000,-4.251337
1.900000,2.910000,3.000000,-11.000000,0.357767,8.770000,-4.171123
1.700000,2.970000,3.111111,-10.600000,0.369068,8.870000,-4.306595
1.700000,3.070000,3.222222,-11.000000,0.380365,8.910000,-4.235294
1.600000,3.190000,3.333333,-11.200000,0.390683,8.730000,-4.192513
2.000000,3.270000,3.444444,-10.800000,0.401972,8.850000,-4.320856
1.800000,3.390000,3.555556,-11.000000,0.413259,8.890000,-4.213904
1.700000,3.510000,3.666667,-11.200000,0.423586,8.730000,-4.194296
1.500000,3.630000,3.777778,-11.000000,0.436153,8.850000,-4.295900
1.700000,3.730000,3.888889,-11.000000,0.446856,8.970000,-4.233512
1.800000,3.850000,4.000000,-11.000000,0.457386,8.730000,-4.183601
1.900000,3.930000,4.111111,-11.000000,0.467695,8.890000,-4.333333
1.900000,4.030000,4.222222,-11.000000,0.478979,8.890000,-4.169340
1.500000,4.130000,4.333333,-11.000000,0.490303,8.690000,-4.199643
1.900000,4.250000,4.444444,-10.600000,0.500634,8.930000,-4.320856
1.600000,4.290000,4.555556,-10.800000,0.511996,8.850000,-4.156863
1.700000,4.450000,4.666667,-11.200000,0.523328,8.710000,-4.215686
2.100000,4.610000,4.777778,-10.800000,0.533603,8.950000,-4.324421
1.800000,4.730000,4.888889,-11.000000,0.544977,8.850000,-4.149733
1.800000,4.830000,5.000000,-10.800000,0.561860,8.830000,-4.153298
1.900000,4.850000,5.111111,-10.800000,0.569722,8.810000,-4.308378
1.600000,4.990000,5.222222,-10.600000,0.578095,8.870000,-4.142602
