# Date: 20210315
# Operator: RDP
# Notes: Transition Leads OldNewrig Thick
# Tap_cm: 5.0
# Sample: 865-R_1
# Fit of Tap:
#	Ic = 160 +/- 0.044 A
#	n = 33.1 +/- 0.51 
#	Vc = 5 uV
#	Vfloor = 1.86 +/- 0.0094 uV
#	R = 0.00191 +/- 0.00011 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.900000,0.190000,0.000000,-13.400000,0.022254,8.630000,-4.238859
1.700000,0.250000,0.111111,-11.000000,0.030883,8.850000,-4.101604
1.600000,0.290000,0.222222,-11.000000,0.042284,9.270000,-4.568627
1.700000,0.390000,0.333333,-11.400000,0.052622,8.170000,-3.898396
1.600000,0.490000,0.444444,-11.000000,0.063949,8.910000,-4.139037
1.700000,0.590000,0.555556,-10.800000,0.075306,9.270000,-4.566845
1.600000,0.690000,0.666667,-11.000000,0.085651,8.210000,-3.875223
1.700000,0.770000,0.777778,-11.000000,0.096962,9.010000,-4.196078
1.500000,0.930000,0.888889,-11.000000,0.108267,9.190000,-4.540107
1.700000,0.950000,1.000000,-10.800000,0.118556,8.170000,-3.841355
1.600000,1.130000,1.111111,-10.800000,0.129917,9.090000,-4.260250
1.600000,1.210000,1.222222,-10.800000,0.141243,9.150000,-4.520499
1.600000,1.310000,1.333333,-10.600000,0.151631,8.170000,-3.836007
1.800000,1.390000,1.444444,-10.800000,0.163009,9.150000,-4.294118
1.600000,1.510000,1.555556,-10.600000,0.180440,8.950000,-4.178253
1.800000,1.590000,1.666667,-10.800000,0.188298,8.490000,-4.144385
1.900000,1.590000,1.777778,-10.600000,0.195767,9.230000,-4.376114
1.500000,1.770000,1.888889,-11.200000,0.209399,9.310000,-4.590018
1.500000,1.850000,2.000000,-11.000000,0.218046,8.230000,-3.841355
1.700000,2.010000,2.111111,-10.800000,0.230447,8.970000,-4.190731
1.700000,2.090000,2.222222,-11.600000,0.239975,8.850000,-4.390374
1.600000,2.250000,2.333333,-10.600000,0.250720,8.270000,-3.834225
1.600000,2.330000,2.444444,-11.200000,0.262532,9.250000,-4.356506
1.600000,2.290000,2.555556,-11.000000,0.273055,8.790000,-4.358289
