# Date: 20210315
# Operator: RDP
# Notes: Transition Leads OldNewrig Thick
# Tap_cm: 5.0
# Sample: 853-L_02
# Fit of Tap:
#	Ic = 130 +/- 0.049 A
#	n = 32.7 +/- 0.66 
#	Vc = 5 uV
#	Vfloor = 1.89 +/- 0.012 uV
#	R = 0.00212 +/- 0.00017 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.600000,0.210000,0.000000,-8.800000,0.040941,8.750000,-4.244207
1.900000,0.310000,0.111111,-8.400000,0.055767,8.830000,-4.299465
1.700000,0.290000,0.222222,-8.800000,0.067040,8.930000,-4.278075
1.900000,0.330000,0.333333,-10.800000,0.076164,8.570000,-4.183601
1.900000,0.510000,0.444444,-11.000000,0.087477,8.950000,-4.319073
1.900000,0.630000,0.555556,-10.600000,0.097785,8.770000,-4.201426
1.600000,0.690000,0.666667,-10.800000,0.109137,8.630000,-4.188948
1.900000,0.750000,0.777778,-10.600000,0.119525,8.990000,-4.322638
1.600000,0.990000,0.888889,-10.800000,0.130932,8.830000,-4.204991
1.800000,1.010000,1.000000,-11.200000,0.142291,8.670000,-4.197861
1.900000,1.090000,1.111111,-10.800000,0.152642,8.990000,-4.322638
1.800000,1.190000,1.222222,-10.600000,0.163953,8.810000,-4.194296
1.600000,1.270000,1.333333,-10.800000,0.175247,8.630000,-4.203209
1.800000,1.390000,1.444444,-10.400000,0.185552,8.970000,-4.315508
1.700000,1.490000,1.555556,-10.800000,0.196850,8.730000,-4.172906
1.600000,1.610000,1.666667,-10.800000,0.208135,8.630000,-4.194296
1.800000,1.610000,1.777778,-10.600000,0.219634,8.990000,-4.313725
1.600000,1.850000,1.888889,-11.000000,0.232694,8.850000,-4.244207
2.000000,1.910000,2.000000,-11.000000,0.241085,8.670000,-4.219251
1.900000,1.970000,2.111111,-10.400000,0.252400,8.930000,-4.320856
1.900000,2.150000,2.222222,-10.800000,0.262711,8.710000,-4.162210
1.600000,2.250000,2.333333,-10.800000,0.274045,8.710000,-4.233512
1.700000,2.330000,2.444444,-10.600000,0.285359,8.970000,-4.304813
1.800000,2.450000,2.555556,-10.800000,0.302594,8.970000,-4.311943
1.600000,2.550000,2.666667,-10.800000,0.310337,8.590000,-4.169340
1.700000,2.610000,2.777778,-10.800000,0.317611,8.910000,-4.285205
1.700000,2.790000,2.888889,-10.600000,0.328917,8.650000,-4.158645
2.000000,2.870000,3.000000,-10.600000,0.340249,8.710000,-4.258467
1.800000,2.950000,3.111111,-10.800000,0.350548,8.950000,-4.304813
1.800000,3.090000,3.222222,-11.200000,0.361925,8.650000,-4.172906
1.800000,3.210000,3.333333,-11.000000,0.373323,8.670000,-4.256684
1.600000,3.250000,3.444444,-10.800000,0.383672,8.890000,-4.276292
1.700000,3.410000,3.555556,-10.800000,0.395025,8.590000,-4.165775
1.500000,3.490000,3.666667,-11.000000,0.406343,8.750000,-4.270945
1.700000,3.630000,3.777778,-11.000000,0.416646,8.890000,-4.278075
1.900000,3.790000,3.888889,-11.000000,0.427962,8.570000,-4.181818
1.700000,3.850000,4.000000,-10.800000,0.440675,8.630000,-4.254902
1.600000,3.910000,4.111111,-11.000000,0.450046,8.910000,-4.294118
1.800000,4.030000,4.222222,-11.000000,0.461344,8.570000,-4.183601
1.700000,4.170000,4.333333,-11.000000,0.471633,8.850000,-4.317291
1.400000,4.270000,4.444444,-10.600000,0.482933,8.870000,-4.278075
1.600000,4.390000,4.555556,-11.200000,0.494243,8.590000,-4.187166
1.500000,4.470000,4.666667,-11.200000,0.504532,8.890000,-4.329768
1.800000,4.590000,4.777778,-11.000000,0.515835,8.830000,-4.269162
1.900000,4.670000,4.888889,-11.000000,0.527127,8.590000,-4.183601
1.600000,4.770000,5.000000,-11.000000,0.538429,8.830000,-4.313725
1.700000,4.870000,5.111111,-10.800000,0.548758,8.850000,-4.253119
1.600000,5.010000,5.222222,-11.200000,0.560067,8.610000,-4.192513
1.800000,5.110000,5.333333,-11.000000,0.571349,8.770000,-4.327986
1.700000,5.190000,5.444444,-10.600000,0.581690,8.770000,-4.245989
1.700000,5.310000,5.555556,-10.800000,0.598493,8.810000,-4.235294
1.600000,5.410000,5.666667,-11.000000,0.606304,8.610000,-4.278075
1.700000,5.470000,5.777778,-10.800000,0.614701,8.770000,-4.228164
1.700000,5.630000,5.888889,-10.800000,0.626037,8.590000,-4.203209
2.000000,5.710000,6.000000,-10.800000,0.637415,8.870000,-4.327986
1.500000,5.850000,6.111111,-10.800000,0.650326,8.910000,-4.303030
1.600000,5.910000,6.222222,-11.200000,0.658751,8.610000,-4.212121
2.100000,6.030000,6.333333,-11.000000,0.670050,8.930000,-4.335116
1.800000,6.130000,6.444444,-11.200000,0.681389,8.850000,-4.224599
2.100000,6.190000,6.555556,-10.800000,0.691754,8.590000,-4.210339
1.800000,6.330000,6.666667,-10.800000,0.703076,8.930000,-4.313725
1.900000,6.470000,6.777778,-10.600000,0.714395,8.790000,-4.196078
1.800000,6.530000,6.888889,-10.800000,0.724692,8.670000,-4.215686
1.600000,6.670000,7.000000,-10.600000,0.735992,8.910000,-4.327986
1.700000,6.770000,7.111111,-10.800000,0.747289,8.750000,-4.192513
1.600000,6.910000,7.222222,-10.800000,0.757598,8.690000,-4.224599
2.000000,7.010000,7.333333,-10.800000,0.768889,8.970000,-4.310160
1.600000,7.070000,7.444444,-10.800000,0.780213,8.750000,-4.181818
1.600000,7.250000,7.555556,-11.000000,0.792983,8.630000,-4.183601
1.700000,7.290000,7.666667,-10.400000,0.802707,8.950000,-4.320856
1.900000,7.430000,7.777778,-10.800000,0.813081,8.690000,-4.172906
1.900000,7.510000,7.888889,-10.800000,0.824391,8.630000,-4.233512
1.700000,7.590000,8.000000,-10.600000,0.834695,8.970000,-4.311943
1.800000,7.730000,8.111111,-11.000000,0.845999,8.730000,-4.165775
1.500000,7.750000,8.222222,-11.000000,0.858867,8.650000,-4.188948
1.900000,7.930000,8.333333,-10.800000,0.868292,8.990000,-4.304813
1.900000,8.050000,8.444444,-11.000000,0.878648,8.670000,-4.139037
2.000000,8.230000,8.555556,-10.600000,0.895974,8.710000,-4.162210
1.700000,8.150000,8.666667,-11.000000,0.903726,8.910000,-4.326203
1.600000,8.310000,8.777778,-11.200000,0.912080,8.650000,-4.169340
1.800000,8.490000,8.888889,-10.600000,0.923427,8.710000,-4.254902
1.900000,8.550000,9.000000,-11.000000,0.933741,8.930000,-4.286988
1.600000,8.690000,9.111111,-11.000000,0.945054,8.630000,-4.162210
1.900000,8.750000,9.222222,-10.800000,0.956364,8.750000,-4.262032
1.900000,8.890000,9.333333,-10.800000,0.966667,8.930000,-4.285205
1.700000,8.990000,9.444444,-11.000000,0.977950,8.630000,-4.172906
1.700000,9.110000,9.555556,-11.000000,0.989229,8.790000,-4.283422
1.800000,9.210000,9.666667,-11.200000,0.999521,8.910000,-4.258467
1.600000,9.290000,9.777778,-11.000000,1.010845,8.610000,-4.167558
1.700000,9.430000,9.888889,-10.800000,1.022145,8.830000,-4.270945
1.800000,9.510000,10.000000,-10.800000,1.033449,8.930000,-4.260250
1.900000,9.610000,10.111111,-11.000000,1.043765,8.590000,-4.158645
1.600000,9.790000,10.222222,-10.800000,1.055061,8.810000,-4.279857
1.900000,9.850000,10.333333,-10.800000,1.068045,8.970000,-4.297683
