# Date: 20210217
# Operator: RDP
# Notes: New Rig, 77 K, 2500 uV floor
# Tap_cm: 5.0
# Sample: GrPt_001
# Fit of Tap:
#	Ic = 129 A
#	n = 228 
#	Vc = 5 uV
#	Vfloor = 1.84 uV
#	R = 0.00398 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
1.900000,0.190000,0.000000,0.043923,38.340110,-4.654472
1.700000,0.250000,0.166667,0.076214,38.340110,-4.604582
1.700000,0.370000,0.333333,0.092369,38.340110,-4.584257
1.700000,0.530000,0.500000,0.108387,38.340110,-4.563932
1.700000,0.690000,0.666667,0.122886,38.254720,-4.549150
1.800000,0.830000,0.833333,0.137687,38.425500,-4.562084
1.500000,1.010000,1.000000,0.154468,38.425500,-4.549150
1.500000,0.990000,1.166667,0.170474,38.340110,-4.562084
2.000000,1.310000,1.333333,0.186880,38.596280,-4.576866
1.900000,1.490000,1.500000,0.204073,38.510890,-4.571323
1.600000,1.550000,1.666667,0.217896,38.254720,-4.656319
1.700000,1.790000,1.833333,0.233670,38.340110,-4.700665
1.700000,1.910000,2.000000,0.250441,38.425500,-4.685883
1.600000,2.130000,2.166667,0.266199,37.998550,-4.715447
1.600000,2.230000,2.333333,0.281966,38.425500,-4.733925
1.800000,2.410000,2.500000,0.297750,38.425500,-4.732077
1.700000,2.570000,2.666667,0.314632,38.340110,-4.733925
1.600000,2.730000,2.833333,0.330442,38.340110,-4.733925
1.700000,2.870000,3.000000,0.346198,38.425500,-4.722838
1.600000,3.030000,3.166667,0.361985,38.425500,-4.709904
1.900000,3.210000,3.333333,0.377759,38.340110,-4.678492
1.900000,3.330000,3.500000,0.393741,38.510890,-4.641537
2.000000,3.490000,3.666667,0.410569,38.510890,-4.650776
1.900000,3.650000,3.833333,0.426329,38.510890,-4.619364
1.600000,3.790000,4.000000,0.442072,38.254720,-4.582409
1.800000,4.010000,4.166667,0.457834,38.254720,-4.552846
1.600000,4.130000,4.333333,0.473617,38.169330,-4.534368
1.700000,4.330000,4.500000,0.490152,38.340110,-4.536216
1.600000,4.510000,4.666667,0.506485,38.169330,-4.536216
1.700000,4.650000,4.833333,0.522274,38.254720,-4.539911
1.700000,4.770000,5.000000,0.538018,38.425500,-4.547302
1.800000,4.950000,5.166667,0.553774,38.083940,-4.567627
1.900000,5.090000,5.333333,0.570658,38.169330,-4.554693
1.800000,5.250000,5.500000,0.586795,38.083940,-4.576866
1.700000,5.470000,5.666667,0.602614,38.254720,-4.608278
1.800000,5.590000,5.833333,0.618396,38.340110,-4.634146
1.800000,5.750000,6.000000,0.634170,38.425500,-4.669254
1.700000,5.890000,6.166667,0.649947,38.340110,-4.691426
1.600000,6.030000,6.333333,0.665716,38.425500,-4.711752
1.700000,6.230000,6.500000,0.682472,38.340110,-4.706208
1.700000,6.350000,6.666667,0.698229,38.425500,-4.732077
1.700000,6.510000,6.833333,0.713992,38.340110,-4.733925
1.900000,6.690000,7.000000,0.729786,38.340110,-4.732077
1.500000,6.890000,7.166667,0.746552,38.254720,-4.730229
1.800000,7.030000,7.333333,0.762323,38.254720,-4.715447
1.700000,7.190000,7.500000,0.792077,38.254720,-4.595344
1.900000,7.210000,7.666667,0.798901,38.425500,-4.739468
1.900000,7.450000,7.833333,0.810102,38.340110,-4.637842
1.700000,7.630000,8.000000,0.827281,38.340110,-4.641537
1.800000,7.770000,8.166667,0.844346,38.254720,-4.656319
1.700000,7.990000,8.333333,0.860392,38.340110,-4.621212
1.900000,8.090000,8.500000,0.876354,38.254720,-4.593496
1.700000,8.250000,8.666667,0.892353,38.254720,-4.587953
1.700000,8.470000,8.833333,0.908268,38.254720,-4.569475
1.900000,8.590000,9.000000,0.924113,37.998550,-4.545455
2.100000,8.690000,9.166667,0.937892,38.169330,-4.565780
1.500000,8.950000,9.333333,0.953660,38.169330,-4.587953
1.800000,9.070000,9.500000,0.970441,38.254720,-4.571323
1.700000,9.270000,9.666667,0.986587,38.169330,-4.591648
1.700000,9.370000,9.833333,1.002409,37.998550,-4.628603
1.800000,9.570000,10.000000,1.018163,38.340110,-4.660015
1.700000,9.670000,10.166667,1.033907,38.340110,-4.691426
1.700000,9.870000,10.333333,1.049655,38.425500,-4.711752
1.600000,10.010000,10.500000,1.066542,38.254720,-4.711752
1.800000,10.250000,10.666667,1.086958,38.254720,-4.582409
1.800000,10.350000,10.833333,1.098216,38.425500,-4.720990
1.800000,10.550000,11.000000,1.114028,38.340110,-4.722838
1.600000,10.650000,11.166667,1.129857,38.425500,-4.719143
1.900000,10.810000,11.333333,1.145628,38.510890,-4.702513
1.800000,10.990000,11.500000,1.162403,38.510890,-4.695122
1.800000,11.170000,11.666667,1.182552,38.596280,-4.724686
1.700000,11.330000,11.833333,1.194388,38.254720,-4.669254
1.800000,11.450000,12.000000,1.210170,38.425500,-4.626755
1.900000,11.630000,12.166667,1.226039,38.340110,-4.602735
1.900000,11.770000,12.333333,1.241804,38.425500,-4.571323
1.800000,11.950000,12.500000,1.258563,38.254720,-4.576866
2.000000,12.070000,12.666667,1.274338,38.510890,-4.556541
1.900000,12.270000,12.833333,1.290084,38.340110,-4.549150
1.800000,12.350000,13.000000,1.305905,38.340110,-4.567627
