# Date: 20210217
# Operator: RDP
# Notes: New Rig, 77 K
# Tap_cm: 5.0
# Sample: GrPt_018
# Fit of Tap:
#	Ic = 170 +/- 0.047 A
#	n = 30.9 +/- 0.49 
#	Vc = 5 uV
#	Vfloor = -1.49 +/- 0.011 uV
#	R = 0.00185 +/- 0.00012 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.500000,0.230000,0.000000,0.063107,37.913160,-4.630451
-1.900000,0.250000,0.166667,0.082801,37.742380,-4.682188
-1.700000,0.410000,0.333333,0.099561,37.656990,-4.680340
-1.600000,0.490000,0.500000,0.110867,37.656990,-4.545455
-1.800000,0.650000,0.666667,0.127769,37.742380,-4.560237
-1.700000,0.830000,0.833333,0.143579,37.913160,-4.534368
-1.600000,0.970000,1.000000,0.159346,37.827770,-4.514043
-1.700000,1.150000,1.166667,0.175116,37.742380,-4.506652
-1.600000,1.330000,1.333333,0.190890,37.913160,-4.501109
-1.600000,1.470000,1.500000,0.207440,38.169330,-4.502956
-1.900000,1.590000,1.666667,0.223250,37.656990,-4.508500
-1.800000,1.770000,1.833333,0.239023,37.913160,-4.541759
-1.700000,1.930000,2.000000,0.254788,37.486210,-4.571323
-1.700000,2.090000,2.166667,0.271571,37.827770,-4.563932
-1.900000,2.270000,2.333333,0.287355,37.656990,-4.597191
-1.800000,2.410000,2.500000,0.303117,37.656990,-4.617517
-1.900000,2.590000,2.666667,0.318926,37.656990,-4.654472
-1.700000,2.730000,2.833333,0.334695,37.742380,-4.665558
-1.800000,2.910000,3.000000,0.351444,37.827770,-4.671101
-1.600000,2.770000,3.166667,0.367699,37.315430,-4.685883
-1.600000,3.210000,3.333333,0.383629,37.913160,-4.691426
-1.700000,3.310000,3.500000,0.403185,37.827770,-4.624908
-1.800000,3.650000,3.666667,0.415080,37.913160,-4.671101
-1.800000,3.670000,3.833333,0.430862,37.913160,-4.654472
-1.600000,3.850000,4.000000,0.447617,37.656990,-4.665558
-1.900000,4.010000,4.166667,0.463386,37.656990,-4.630451
-1.500000,4.150000,4.333333,0.479151,37.913160,-4.593496
-1.600000,4.310000,4.500000,0.494901,37.913160,-4.558389
-1.400000,4.470000,4.666667,0.511670,37.742380,-4.563932
-1.500000,4.590000,4.833333,0.527434,37.742380,-4.545455
-1.700000,4.710000,5.000000,0.543191,37.742380,-4.521434
-1.700000,4.970000,5.166667,0.558981,37.742380,-4.506652
-1.600000,5.070000,5.333333,0.574746,37.913160,-4.510347
-1.800000,5.250000,5.500000,0.591683,37.827770,-4.526977
-1.600000,5.370000,5.666667,0.607513,37.656990,-4.517738
-1.500000,5.510000,5.833333,0.623399,37.827770,-4.536216
-1.500000,5.750000,6.000000,0.639229,37.913160,-4.560237
-1.500000,5.910000,6.166667,0.655002,37.827770,-4.578714
-1.600000,6.010000,6.333333,0.670765,37.913160,-4.606430
-1.600000,6.210000,6.500000,0.695926,37.913160,-4.600887
