# Date: 20210217
# Operator: RDP
# Notes: New Rig, 77 K
# Tap_cm: 5.0
# Sample: GrPt_018
# Fit of Tap:
#	Ic = 173 +/- 0.13 A
#	n = 34 +/- 1.1 
#	Vc = 5 uV
#	Vfloor = -1.42 +/- 0.015 uV
#	R = 0.00125 +/- 0.00017 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.500000,0.230000,0.000000,0.037271,37.827770,-4.685883
-1.600000,0.250000,0.166667,0.056764,37.656990,-4.615669
-1.600000,0.370000,0.333333,0.072440,38.083940,-4.648928
-1.800000,0.530000,0.500000,0.088988,37.913160,-4.647081
-1.500000,0.670000,0.666667,0.104522,37.827770,-4.676644
-1.800000,0.890000,0.833333,0.121214,37.913160,-4.678492
-1.600000,1.010000,1.000000,0.136790,37.742380,-4.689579
-1.600000,1.130000,1.166667,0.152359,37.742380,-4.684035
-1.600000,1.330000,1.333333,0.168925,37.742380,-4.682188
-1.600000,1.490000,1.500000,0.184475,37.656990,-4.663710
-1.600000,1.610000,1.666667,0.200836,37.742380,-4.652624
-1.400000,1.750000,1.833333,0.216530,37.827770,-4.615669
-1.700000,1.870000,2.000000,0.232928,37.571600,-4.610126
-1.700000,2.050000,2.166667,0.248506,37.913160,-4.569475
-1.700000,2.230000,2.333333,0.265048,37.913160,-4.556541
-1.700000,2.410000,2.500000,0.280579,37.742380,-4.519586
-1.500000,2.590000,2.666667,0.297139,37.571600,-4.523282
-1.700000,2.710000,2.833333,0.312675,37.742380,-4.514043
-1.800000,2.890000,3.000000,0.329217,37.571600,-4.493718
-1.800000,2.970000,3.166667,0.344726,37.827770,-4.488174
-1.600000,3.190000,3.333333,0.360371,37.913160,-4.504804
-1.600000,3.330000,3.500000,0.377012,37.571600,-4.519586
-1.500000,3.490000,3.666667,0.392565,37.656990,-4.543607
-1.700000,3.670000,3.833333,0.409121,37.742380,-4.547302
-1.500000,3.890000,4.000000,0.424684,37.400820,-4.586105
-1.700000,4.030000,4.166667,0.440802,37.656990,-4.608278
-1.500000,4.170000,4.333333,0.456420,37.827770,-4.639690
-1.600000,4.350000,4.500000,0.472960,37.913160,-4.630451
-1.700000,4.470000,4.666667,0.488491,37.571600,-4.658167
-1.600000,4.650000,4.833333,0.504837,37.742380,-4.661863
-1.500000,4.750000,5.000000,0.520962,37.742380,-4.665558
-1.500000,4.950000,5.166667,0.536525,37.571600,-4.680340
-1.500000,5.150000,5.333333,0.553048,37.656990,-4.680340
-1.600000,5.250000,5.500000,0.568565,37.827770,-4.667406
-1.700000,5.410000,5.666667,0.585083,37.571600,-4.663710
-1.400000,5.670000,5.833333,0.600649,37.315430,-4.630451
-1.600000,5.670000,6.000000,0.616561,37.742380,-4.604582
-1.700000,5.870000,6.166667,0.633188,37.827770,-4.608278
-1.800000,5.950000,6.333333,0.648481,37.742380,-4.545455
-1.400000,6.250000,6.500000,0.665131,37.656990,-4.554693
-1.300000,6.350000,6.666667,0.680732,37.571600,-4.514043
-1.500000,6.530000,6.833333,0.696271,37.656990,-4.486327
-1.600000,6.730000,7.000000,0.714470,37.827770,-4.515891
-1.800000,6.890000,7.166667,0.730080,37.827770,-4.497413
-1.700000,6.970000,7.333333,0.746531,37.742380,-4.493718
-1.400000,7.170000,7.500000,0.762045,37.742380,-4.491870
-1.600000,7.290000,7.666667,0.778531,37.998550,-4.497413
-1.500000,7.510000,7.833333,0.808342,37.742380,-4.578714
-1.600000,7.570000,8.000000,0.815765,37.827770,-4.576866
-1.500000,7.770000,8.166667,0.824319,37.913160,-4.597191
-1.500000,7.970000,8.333333,0.840876,37.913160,-4.606430
-1.700000,8.110000,8.500000,0.857177,37.742380,-4.623060
-1.500000,8.310000,8.666667,0.872889,37.998550,-4.652624
-1.700000,8.470000,8.833333,0.888479,37.742380,-4.678492
-1.700000,8.610000,9.000000,0.905043,37.827770,-4.674797
-1.500000,8.730000,9.166667,0.920602,37.742380,-4.685883
-1.500000,8.910000,9.333333,0.937168,37.913160,-4.684035
-1.700000,9.050000,9.500000,0.952696,37.827770,-4.676644
-1.600000,9.210000,9.666667,0.968251,37.827770,-4.654472
-1.700000,9.410000,9.833333,0.984823,37.827770,-4.634146
-1.400000,9.570000,10.000000,1.000361,37.827770,-4.608278
-1.400000,9.670000,10.166667,1.016889,37.827770,-4.600887
-1.300000,9.850000,10.333333,1.032454,37.827770,-4.573171
-1.500000,10.030000,10.500000,1.049007,37.913160,-4.571323
-1.500000,10.130000,10.666667,1.065368,37.742380,-4.560237
-1.400000,10.310000,10.833333,1.080959,37.656990,-4.517738
-1.600000,10.470000,11.000000,1.100180,37.742380,-4.600887
-1.700000,10.570000,11.166667,1.113427,37.656990,-4.506652
-1.600000,10.790000,11.333333,1.129078,37.656990,-4.486327
-1.600000,10.990000,11.500000,1.144931,37.827770,-4.501109
-1.800000,11.110000,11.666667,1.160548,37.742380,-4.506652
-1.400000,11.290000,11.833333,1.177126,37.656990,-4.506652
-1.300000,11.410000,12.000000,1.192700,37.742380,-4.534368
-1.600000,11.610000,12.166667,1.208242,37.571600,-4.571323
-1.500000,11.770000,12.333333,1.224821,37.827770,-4.575018
-1.600000,11.970000,12.500000,1.240354,37.742380,-4.615669
-1.500000,12.070000,12.666667,1.256876,37.742380,-4.613821
-1.700000,12.290000,12.833333,1.274210,37.827770,-4.595344
