# Date: 20210222
# Operator: RDP
# Notes: New Rig, 77 K, 0.5 quench
# Tap_cm: 5.0
# Sample: GrPt_007
# Fit of Tap:
#	Ic = 166 +/- 0.1 A
#	n = 123 +/- 13 
#	Vc = 0.5 uV
#	Vfloor = -0.886 +/- 0.009 uV
#	R = 0.00127 +/- 9.7e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Time [S],Hall [A],Cernox [T]
-1.100000,0.170000,0.000000,0.031779,37.144650,-4.353289
-1.000000,0.230000,0.166667,0.041566,36.717700,-4.536216
-1.000000,0.390000,0.333333,0.057113,36.888480,-4.517738
-1.200000,0.570000,0.500000,0.072629,37.059260,-4.491870
-1.300000,0.690000,0.666667,0.089200,37.144650,-4.495565
-1.100000,0.870000,0.833333,0.104725,36.973870,-4.469697
-1.200000,1.010000,1.000000,0.121376,36.888480,-4.454915
-0.900000,1.090000,1.166667,0.136944,36.973870,-4.414265
-1.300000,1.330000,1.333333,0.152495,36.632310,-4.386548
-1.000000,1.450000,1.500000,0.169096,36.973870,-4.395787
-1.000000,1.670000,1.666667,0.184612,36.888480,-4.349593
-1.000000,1.850000,1.833333,0.201130,36.803090,-4.351441
-1.400000,1.950000,2.000000,0.216693,36.888480,-4.344050
-0.800000,2.110000,2.166667,0.232852,36.973870,-4.344050
-0.900000,2.270000,2.333333,0.248441,37.059260,-4.358832
-1.100000,2.390000,2.500000,0.265062,36.888480,-4.358832
-1.100000,2.570000,2.666667,0.280625,36.973870,-4.388396
-1.000000,2.730000,2.833333,0.297147,36.717700,-4.399483
-1.100000,2.930000,3.000000,0.312666,36.973870,-4.440133
-1.300000,3.030000,3.166667,0.329056,36.803090,-4.462306
-1.100000,3.190000,3.333333,0.344785,36.717700,-4.488174
-1.100000,3.350000,3.500000,0.361607,36.803090,-4.502956
-1.400000,3.490000,3.666667,0.377231,36.803090,-4.515891
-1.000000,3.670000,3.833333,0.392812,36.803090,-4.543607
-1.100000,3.890000,4.000000,0.409355,36.803090,-4.550998
-0.900000,4.010000,4.166667,0.425215,36.973870,-4.562084
-1.200000,4.210000,4.333333,0.440788,36.717700,-4.550998
-0.900000,4.290000,4.500000,0.457294,36.888480,-4.545455
-1.300000,4.490000,4.666667,0.472855,36.888480,-4.517738
-1.000000,4.610000,4.833333,0.489360,36.973870,-4.519586
-1.000000,4.830000,5.000000,0.504864,36.973870,-4.475240
-1.000000,4.990000,5.166667,0.521391,36.973870,-4.471545
-0.900000,5.150000,5.333333,0.536901,36.973870,-4.416112
-1.200000,5.230000,5.500000,0.552409,37.059260,-4.401330
-1.100000,5.410000,5.666667,0.568944,36.973870,-4.388396
-1.300000,5.590000,5.833333,0.584459,37.144650,-4.371766
-1.000000,5.750000,6.000000,0.600978,36.803090,-4.362528
-1.000000,5.890000,6.166667,0.616686,36.973870,-4.362528
-0.800000,6.030000,6.333333,0.637903,37.059260,-4.471545
-1.000000,6.190000,6.500000,0.648562,37.059260,-4.371766
-1.200000,6.330000,6.666667,0.665135,36.803090,-4.386548
-1.000000,6.550000,6.833333,0.680679,36.973870,-4.410569
-0.900000,6.670000,7.000000,0.697192,36.973870,-4.421656
-1.000000,6.890000,7.166667,0.712740,36.888480,-4.454915
-0.900000,6.970000,7.333333,0.730860,36.888480,-4.412417
-1.000000,7.170000,7.500000,0.746264,36.973870,-4.467849
-1.000000,7.330000,7.666667,0.762671,37.059260,-4.473392
-1.100000,7.450000,7.833333,0.778158,37.144650,-4.495565
-1.200000,7.650000,8.000000,0.794541,36.803090,-4.502956
-0.900000,7.790000,8.166667,0.810956,37.059260,-4.508500
-0.800000,7.970000,8.333333,0.830210,37.144650,-4.429047
-0.900000,8.130000,8.500000,0.840796,36.717700,-4.517738
-0.900000,8.330000,8.666667,0.857296,36.803090,-4.525129
-1.200000,8.430000,8.833333,0.872944,36.973870,-4.502956
-1.000000,8.630000,9.000000,0.888514,36.973870,-4.467849
-1.000000,8.770000,9.166667,0.905064,37.144650,-4.473392
