# Date: 20210226
# Operator: RDP
# Notes: 10Nm - DCC_PbSn023
# Tap_cm: 5.0
# Sample: QTest_001
# Fit of Tap:
#	Ic = 100 A
#	n = 92.5 
#	Vc = 3 uV
#	Vfloor = 1.15 uV
#	R = 0.000205 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.100000,0.170000,0.000000,-11.400000,0.042427,9.070000,-4.294118
1.100000,0.210000,0.083333,-11.200000,0.064145,9.090000,-4.331551
1.200000,0.290000,0.166667,-11.400000,0.080486,9.070000,-4.329768
1.300000,0.330000,0.250000,-11.400000,0.096106,9.150000,-4.345811
1.200000,0.390000,0.333333,-13.400000,0.112874,9.090000,-4.342246
0.900000,0.490000,0.416667,-11.200000,0.128769,9.210000,-4.352941
1.100000,0.590000,0.500000,-11.400000,0.144531,9.130000,-4.354724
1.300000,0.670000,0.583333,-11.400000,0.160478,9.150000,-4.340463
1.000000,0.510000,0.666667,-11.400000,0.176352,9.070000,-4.320856
1.000000,0.590000,0.750000,-11.600000,0.192341,9.050000,-4.297683
1.100000,0.750000,0.833333,-11.400000,0.208360,8.970000,-4.253119
1.100000,0.890000,0.916667,-11.600000,0.224623,8.930000,-4.247772
1.200000,0.930000,1.000000,-11.400000,0.240613,8.910000,-4.222816
1.200000,0.990000,1.083333,-11.400000,0.256612,8.830000,-4.197861
1.300000,1.170000,1.166667,-11.200000,0.272670,8.790000,-4.174688
1.200000,1.210000,1.250000,-11.400000,0.288736,8.750000,-4.165775
1.000000,1.330000,1.333333,-11.400000,0.306653,8.810000,-4.190731
1.100000,1.390000,1.416667,-11.800000,0.320088,8.790000,-4.149733
1.100000,1.350000,1.500000,-11.400000,0.336135,8.730000,-4.146168
1.100000,1.510000,1.583333,-11.200000,0.352097,8.710000,-4.169340
1.100000,1.610000,1.666667,-11.600000,0.368727,8.710000,-4.162210
1.100000,1.710000,1.750000,-11.200000,0.384569,8.870000,-4.176471
1.200000,1.750000,1.833333,-11.400000,0.401531,8.670000,-4.155080
1.200000,1.850000,1.916667,-11.600000,0.416163,8.910000,-4.231729
1.100000,1.970000,2.000000,-11.600000,0.432939,8.870000,-4.240642
1.100000,2.050000,2.083333,-11.600000,0.448617,8.950000,-4.278075
1.100000,2.150000,2.166667,-11.400000,0.464539,8.990000,-4.308378
1.300000,2.170000,2.250000,-11.400000,0.480402,9.050000,-4.327986
1.100000,2.230000,2.333333,-11.400000,0.496028,9.130000,-4.352941
1.200000,2.370000,2.416667,-11.400000,0.512596,9.150000,-4.351159
1.300000,2.430000,2.500000,-11.400000,0.528373,9.170000,-4.360071
1.200000,2.510000,2.583333,-11.400000,0.544013,9.110000,-4.342246
1.100000,2.530000,2.666667,-11.400000,0.560666,9.110000,-4.335116
1.300000,2.510000,2.750000,-11.400000,0.576674,9.130000,-4.320856
1.000000,2.770000,2.833333,-11.600000,0.592354,9.010000,-4.283422
1.100000,2.830000,2.916667,-11.200000,0.615352,8.950000,-4.263815
1.300000,2.730000,3.000000,-11.400000,0.624292,8.950000,-4.240642
1.200000,2.790000,3.083333,-11.400000,0.640446,8.810000,-4.213904
1.100000,3.010000,3.166667,-11.000000,0.656359,8.850000,-4.178253
1.300000,3.090000,3.250000,-11.400000,0.672072,8.770000,-4.160428
1.000000,3.030000,3.333333,-11.600000,0.688250,8.690000,-4.144385
1.100000,3.130000,3.416667,-11.400000,0.704312,8.690000,-4.139037
0.900000,3.390000,3.500000,-11.400000,0.720207,8.690000,-4.128342
1.100000,3.350000,3.583333,-11.600000,0.736125,8.710000,-4.130125
0.900000,3.410000,3.666667,-11.400000,0.752114,8.690000,-4.144385
1.100000,3.450000,3.750000,-11.200000,0.768245,8.750000,-4.162210
1.300000,3.550000,3.833333,-11.400000,0.784466,8.710000,-4.171123
1.200000,3.770000,3.916667,-11.200000,0.801649,8.690000,-4.162210
0.900000,3.850000,4.000000,-11.400000,0.816551,8.830000,-4.215686
1.100000,3.750000,4.083333,-11.400000,0.832359,8.950000,-4.253119
1.000000,3.890000,4.166667,-11.400000,0.848190,8.990000,-4.290553
1.500000,3.950000,4.250000,-11.200000,0.864212,9.030000,-4.313725
1.300000,4.050000,4.333333,-11.400000,0.880212,9.070000,-4.331551
1.100000,4.170000,4.416667,-11.400000,0.896072,9.130000,-4.345811
1.300000,4.390000,4.500000,-11.600000,0.913024,9.130000,-4.354724
1.400000,4.370000,4.583333,-11.600000,0.928312,8.950000,-4.368984
1.200000,4.530000,4.666667,-11.600000,0.944009,9.070000,-4.358289
1.000000,4.590000,4.750000,-11.400000,0.960606,9.130000,-4.360071
1.100000,4.650000,4.833333,-11.800000,0.976259,9.090000,-4.315508
1.100000,4.750000,4.916667,-11.400000,0.992046,9.050000,-4.299465
1.300000,4.830000,5.000000,-11.400000,1.008096,8.930000,-4.283422
1.100000,4.890000,5.083333,-11.200000,1.024688,8.970000,-4.279857
1.300000,4.950000,5.166667,-11.000000,1.040482,8.890000,-4.245989
1.200000,5.050000,5.250000,-11.400000,1.056129,8.790000,-4.201426
1.100000,5.150000,5.333333,-11.200000,1.072923,8.810000,-4.197861
1.200000,5.170000,5.416667,-11.600000,1.088751,8.750000,-4.171123
1.300000,5.310000,5.500000,-11.600000,1.104397,8.690000,-4.153298
1.100000,5.330000,5.583333,-11.600000,1.119965,8.710000,-4.126560
1.200000,5.450000,5.666667,-12.400000,1.136746,8.710000,-4.144385
1.000000,5.490000,5.750000,-11.800000,1.152471,8.750000,-4.144385
1.300000,5.590000,5.833333,-11.200000,1.168061,8.790000,-4.167558
1.200000,5.670000,5.916667,-11.600000,1.184795,8.730000,-4.151515
1.100000,5.770000,6.000000,-11.000000,1.211823,9.090000,-4.361854
1.000000,5.770000,6.083333,-11.400000,1.219415,8.690000,-4.151515
1.000000,5.890000,6.166667,-13.000000,1.232143,8.850000,-4.260250
1.100000,6.010000,6.250000,-11.400000,1.247820,9.050000,-4.292335
1.200000,6.070000,6.333333,-11.200000,1.264418,9.030000,-4.295900
1.000000,6.130000,6.416667,-11.200000,1.280086,9.110000,-4.329768
1.400000,6.210000,6.500000,-11.200000,1.295797,9.130000,-4.351159
1.200000,6.310000,6.583333,-11.000000,1.312373,9.170000,-4.352941
1.000000,6.330000,6.666667,-11.000000,1.327928,9.190000,-4.360071
1.300000,6.510000,6.750000,-11.600000,1.344668,9.150000,-4.360071
1.100000,6.550000,6.833333,-11.200000,1.360324,9.110000,-4.351159
1.100000,6.650000,6.916667,-11.200000,1.376194,9.090000,-4.331551
1.200000,6.690000,7.000000,-11.000000,1.394449,9.130000,-4.363636
1.000000,6.830000,7.083333,-11.000000,1.408811,9.030000,-4.297683
1.200000,6.690000,7.166667,-9.000000,1.425833,9.010000,-4.295900
1.200000,6.990000,7.250000,-9.000000,1.443200,9.010000,-4.319073
1.400000,7.010000,7.333333,-8.800000,1.458355,8.970000,-4.265597
1.200000,7.110000,7.416667,-9.200000,1.474388,8.910000,-4.244207
1.400000,7.150000,7.500000,-9.200000,1.490619,8.870000,-4.226381
1.300000,7.310000,7.583333,-9.400000,1.515854,8.970000,-4.249554
1.300000,7.290000,7.666667,-10.800000,1.525483,9.010000,-4.292335
1.000000,7.410000,7.750000,-13.000000,1.536448,8.690000,-4.133690
1.300000,7.530000,7.833333,-11.400000,1.552124,8.730000,-4.146168
1.200000,7.590000,7.916667,-11.600000,1.568736,8.710000,-4.139037
1.100000,7.650000,8.000000,-11.400000,1.584426,8.730000,-4.188948
1.100000,7.750000,8.083333,-11.400000,1.601778,8.770000,-4.142602
