# Date: 20210226
# Operator: RDP
# Notes: 10Nm
# Tap_cm: 5.0
# Sample: GrPt_018
# Fit of Tap:
#	Ic = 21.4 A
#	n = 50 
#	Vc = 3 uV
#	Vfloor = 1.65 uV
#	R = 0.513 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.200000,0.250000,0.000000,-9.200000,0.062642,8.510000,-3.693405
0.900000,0.210000,0.083333,-11.200000,0.089023,9.390000,-4.668449
1.100000,0.250000,0.166667,-11.400000,0.105032,9.430000,-4.755793
1.400000,0.390000,0.250000,-11.400000,0.121428,9.410000,-4.768271
1.200000,0.410000,0.333333,-11.800000,0.136826,9.290000,-4.741533
1.100000,0.490000,0.416667,-11.400000,0.153376,9.290000,-4.737968
1.000000,0.570000,0.500000,-11.200000,0.168756,9.090000,-4.597148
1.100000,0.650000,0.583333,-11.200000,0.185059,9.030000,-4.557932
1.500000,0.550000,0.666667,-11.400000,0.201589,8.970000,-4.534759
1.200000,0.830000,0.750000,-11.400000,0.217014,8.810000,-4.304813
1.300000,0.910000,0.833333,-11.200000,0.233010,8.650000,-4.156863
1.000000,0.990000,0.916667,-11.400000,0.258551,9.090000,-4.185383
1.000000,0.970000,1.000000,-11.200000,0.266258,8.650000,-4.139037
1.200000,1.090000,1.083333,-11.600000,0.281601,8.470000,-3.930481
1.100000,1.270000,1.166667,-11.600000,0.296929,8.430000,-3.743316
1.000000,1.270000,1.250000,-11.800000,0.313451,8.410000,-3.723708
1.200000,1.330000,1.333333,-11.200000,0.328819,8.490000,-3.705882
1.200000,1.370000,1.416667,-11.000000,0.345179,8.550000,-3.725490
0.900000,1.510000,1.500000,-11.400000,0.361683,8.550000,-3.727273
1.300000,1.530000,1.583333,-11.600000,0.377055,8.710000,-3.871658
1.200000,1.590000,1.666667,-11.200000,0.393650,8.750000,-3.871658
1.100000,1.730000,1.750000,-11.600000,0.409183,8.970000,-4.049911
1.300000,1.810000,1.833333,-11.600000,0.425542,9.010000,-4.105169
1.100000,1.870000,1.916667,-11.600000,0.441297,9.150000,-4.324421
1.000000,1.970000,2.000000,-11.400000,0.457817,9.170000,-4.336898
1.300000,2.030000,2.083333,-11.400000,0.473612,9.390000,-4.490196
1.200000,2.110000,2.166667,-11.000000,0.489030,9.450000,-4.657754
1.000000,2.150000,2.250000,-11.400000,0.505512,9.470000,-4.682709
1.400000,2.250000,2.333333,-11.400000,0.520931,9.390000,-4.759358
1.100000,2.370000,2.416667,-11.400000,0.537285,9.350000,-4.755793
1.300000,2.510000,2.500000,-11.600000,0.557660,9.230000,-4.367201
1.000000,2.510000,2.583333,-11.200000,0.569489,9.210000,-4.680927
1.300000,2.590000,2.666667,-11.400000,0.584831,8.990000,-4.511586
1.200000,2.670000,2.750000,-11.400000,0.601224,8.950000,-4.436720
1.300000,2.810000,2.833333,-11.000000,0.616813,8.710000,-4.251337
1.300000,2.850000,2.916667,-11.400000,0.633153,8.630000,-4.187166
1.300000,2.950000,3.000000,-11.600000,0.649773,8.670000,-4.178253
1.300000,2.990000,3.083333,-11.400000,0.665345,8.550000,-3.987522
1.400000,3.030000,3.166667,-11.400000,0.680714,8.470000,-3.807487
1.100000,3.150000,3.250000,-11.400000,0.697255,8.450000,-3.796791
1.200000,3.250000,3.333333,-11.400000,0.713808,8.450000,-3.775401
1.000000,3.310000,3.416667,-11.400000,0.729301,8.450000,-3.695187
1.200000,3.310000,3.500000,-11.600000,0.745667,8.470000,-3.713012
1.200000,3.430000,3.583333,-11.200000,0.761198,8.590000,-3.766488
1.200000,3.550000,3.666667,-11.400000,0.777850,8.650000,-3.802139
1.200000,3.630000,3.750000,-9.200000,0.795281,8.590000,-3.725490
1.200000,3.670000,3.833333,-9.000000,0.811292,8.710000,-3.786096
1.000000,3.810000,3.916667,-9.200000,0.826897,8.890000,-3.930481
1.000000,3.870000,4.000000,-9.400000,0.843309,8.930000,-3.960784
1.300000,3.990000,4.083333,-9.200000,0.877962,8.670000,-3.778966
1.300000,4.030000,4.166667,-11.400000,0.892509,8.970000,-4.062389
1.300000,4.290000,4.250000,-13.000000,0.908971,8.990000,-4.103387
1.100000,4.250000,4.333333,-11.600000,0.924465,9.230000,-4.354724
1.400000,4.330000,4.416667,-11.400000,0.940800,9.210000,-4.433155
1.200000,4.350000,4.500000,-11.400000,0.956206,9.410000,-4.634581
1.100000,4.410000,4.583333,-12.200000,0.972764,9.390000,-4.627451
1.300000,4.670000,4.666667,-13.200000,0.988527,9.230000,-4.739750
1.000000,4.570000,4.750000,-11.400000,1.003986,9.350000,-4.770053
1.200000,4.670000,4.833333,-11.800000,1.020582,9.310000,-4.773619
1.000000,4.730000,4.916667,-11.600000,1.036027,9.210000,-4.672014
1.000000,4.830000,5.000000,-11.400000,1.053780,9.330000,-4.757576
1.100000,4.890000,5.083333,-11.400000,1.068340,9.030000,-4.540107
1.300000,5.010000,5.166667,-11.400000,1.084708,8.970000,-4.488414
1.200000,5.070000,5.250000,-11.600000,1.100020,8.710000,-4.228164
1.200000,5.130000,5.333333,-11.200000,1.116541,8.710000,-4.201426
1.300000,5.210000,5.416667,-11.800000,1.131899,8.510000,-3.966132
1.100000,5.270000,5.500000,-11.200000,1.155281,9.430000,-4.732620
1.100000,5.330000,5.583333,-11.600000,1.165528,8.550000,-4.019608
1.000000,5.470000,5.666667,-11.400000,1.180358,8.450000,-3.771836
1.000000,5.530000,5.750000,-11.400000,1.196823,8.450000,-3.746881
1.100000,5.730000,5.833333,-12.600000,1.212251,8.470000,-3.716578
1.000000,5.710000,5.916667,-11.400000,1.228804,8.530000,-3.713012
1.200000,5.750000,6.000000,-12.000000,1.244204,8.630000,-3.805704
1.200000,5.830000,6.083333,-11.400000,1.261041,8.730000,-3.777184
1.000000,5.910000,6.166667,-11.400000,1.276480,8.830000,-3.939394
0.900000,5.830000,6.250000,-11.400000,1.293051,8.830000,-3.951872
0.800000,6.070000,6.333333,-11.600000,1.308476,9.050000,-4.201426
1.100000,6.130000,6.416667,-11.400000,1.324981,9.110000,-4.238859
1.000000,6.250000,6.500000,-11.400000,1.340326,9.350000,-4.486631
1.300000,6.310000,6.583333,-11.400000,1.356624,9.410000,-4.540107
1.100000,6.370000,6.666667,-11.200000,1.372193,9.430000,-4.695187
1.300000,6.430000,6.750000,-11.400000,1.388558,9.430000,-4.732620
1.000000,6.570000,6.833333,-11.200000,1.403863,9.310000,-4.762923
1.000000,6.670000,6.916667,-11.600000,1.420392,9.330000,-4.748663
1.200000,6.730000,7.000000,-11.600000,1.436846,9.290000,-4.730838
1.200000,6.790000,7.083333,-11.600000,1.463293,8.450000,-3.695187
1.300000,6.750000,7.166667,-11.200000,1.471032,9.350000,-4.752228
1.200000,6.930000,7.250000,-11.600000,1.484497,8.910000,-4.449198
1.200000,7.030000,7.333333,-11.200000,1.500863,8.830000,-4.399287
1.200000,7.050000,7.416667,-11.200000,1.516308,8.670000,-4.130125
1.000000,7.190000,7.500000,-11.400000,1.532737,8.630000,-4.098039
1.200000,7.270000,7.583333,-11.400000,1.548061,8.430000,-3.893048
1.000000,7.370000,7.666667,-11.400000,1.564495,8.310000,-3.866310
1.000000,7.410000,7.750000,-11.400000,1.580036,8.450000,-3.714795
1.300000,7.490000,7.833333,-9.200000,1.598878,8.410000,-3.953654
1.100000,7.550000,7.916667,-9.200000,1.614620,8.450000,-3.825312
1.200000,7.650000,8.000000,-9.000000,1.630214,8.410000,-3.700535
1.100000,7.730000,8.083333,-8.600000,1.646723,8.410000,-3.695187
1.100000,7.830000,8.166667,-9.200000,1.666817,8.590000,-4.192513
1.200000,7.850000,8.250000,-9.000000,1.678510,8.570000,-3.741533
1.200000,7.930000,8.333333,-9.400000,1.693201,8.970000,-3.944742
1.000000,8.070000,8.416667,-11.200000,1.708533,9.070000,-4.185383
1.100000,8.090000,8.500000,-11.400000,1.725334,9.030000,-4.156863
1.000000,8.230000,8.583333,-11.600000,1.740743,9.250000,-4.420677
1.000000,8.270000,8.666667,-11.400000,1.757423,9.270000,-4.408200
1.000000,8.390000,8.750000,-11.200000,1.772400,9.430000,-4.664884
1.300000,8.510000,8.833333,-11.400000,1.788860,9.430000,-4.691622
1.100000,8.570000,8.916667,-11.600000,1.804191,9.330000,-4.762923
1.200000,8.450000,9.000000,-11.400000,1.820725,9.390000,-4.770053
0.900000,8.730000,9.083333,-11.600000,1.836152,9.230000,-4.688057
1.400000,8.770000,9.166667,-11.200000,1.853979,9.390000,-4.761141
1.200000,8.810000,9.250000,-11.400000,1.868426,8.990000,-4.556150
1.300000,8.890000,9.333333,-11.400000,1.884855,8.990000,-4.534759
1.300000,8.970000,9.416667,-11.200000,1.900425,8.810000,-4.324421
1.000000,9.090000,9.500000,-11.200000,1.915956,8.650000,-4.089127
1.100000,9.150000,9.583333,-11.400000,1.932497,8.610000,-4.051693
1.200000,9.270000,9.666667,-11.600000,1.947866,8.470000,-3.852050
1.500000,9.350000,9.750000,-11.600000,1.964171,8.470000,-3.805704
1.100000,9.390000,9.833333,-11.600000,1.980731,8.470000,-3.795009
1.300000,9.470000,9.916667,-11.000000,1.996114,8.470000,-3.684492
1.200000,9.590000,10.000000,-11.200000,2.012438,8.510000,-3.693405
1.000000,9.670000,10.083333,-11.400000,2.028957,8.550000,-3.700535
1.200000,9.730000,10.166667,-11.000000,2.044373,8.690000,-3.784314
1.200000,9.770000,10.250000,-11.000000,2.067400,8.910000,-4.386809
1.100000,9.890000,10.333333,-13.600000,2.076118,8.770000,-3.994652
1.100000,9.990000,10.416667,-11.000000,2.092502,8.930000,-4.051693
1.100000,10.050000,10.500000,-11.000000,2.108857,8.990000,-4.114082
1.200000,10.370000,10.583333,-13.600000,2.124297,9.130000,-4.368984
0.900000,10.230000,10.666667,-11.600000,2.140707,9.270000,-4.415330
1.200000,10.250000,10.750000,-11.200000,2.156072,9.470000,-4.609626
1.100000,10.350000,10.833333,-13.000000,2.172512,9.390000,-4.652406
1.400000,10.430000,10.916667,-11.000000,2.187930,9.410000,-4.771836
