# Date: 20210301
# Operator: DCC
# Notes: 
# Tap_cm: 5.0
# Sample: GrPt_002
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.100000,0.250000,0.000000,-9.200000,0.064976,8.490000,-4.146168
1.200000,0.150000,0.083333,-11.200000,0.092992,8.670000,-3.844920
1.100000,0.210000,0.166667,-11.400000,0.100356,9.030000,-4.614973
1.100000,0.310000,0.250000,-11.400000,0.110725,8.550000,-3.780749
1.100000,0.410000,0.333333,-11.600000,0.126082,8.670000,-3.864528
1.200000,0.450000,0.416667,-11.600000,0.142529,8.670000,-3.903743
1.000000,0.670000,0.500000,-11.400000,0.157949,8.950000,-4.101604
1.100000,0.730000,0.583333,-11.600000,0.180977,8.610000,-4.094474
1.100000,0.710000,0.666667,-11.200000,0.190870,8.870000,-4.167558
1.000000,0.810000,0.750000,-11.400000,0.206307,9.250000,-4.417112
1.200000,0.970000,0.833333,-11.400000,0.225661,8.710000,-3.926916
1.300000,1.050000,0.916667,-11.400000,0.238013,9.410000,-4.696970
1.000000,1.250000,1.000000,-14.000000,0.254641,9.270000,-4.700535
1.000000,1.170000,1.083333,-11.400000,0.270184,9.390000,-4.809269
1.000000,1.290000,1.166667,-11.400000,0.286551,9.390000,-4.816399
0.900000,1.350000,1.250000,-11.200000,0.303070,9.470000,-4.818182
1.100000,1.430000,1.333333,-11.400000,0.318482,9.290000,-4.762923
1.100000,1.510000,1.416667,-11.600000,0.334801,9.270000,-4.737968
1.400000,1.590000,1.500000,-11.000000,0.350317,9.030000,-4.590018
1.200000,1.570000,1.583333,-11.400000,0.366682,9.010000,-4.554367
1.000000,1.770000,1.666667,-11.400000,0.381980,8.710000,-4.285205
1.300000,1.830000,1.750000,-11.400000,0.398561,8.650000,-4.262032
1.300000,1.930000,1.833333,-11.400000,0.413927,8.530000,-4.024955
0.900000,1.930000,1.916667,-11.400000,0.434534,9.150000,-4.696970
1.000000,1.810000,2.000000,-11.000000,0.446041,8.450000,-3.848485
1.100000,2.150000,2.083333,-11.400000,0.462456,8.450000,-3.821747
1.000000,2.250000,2.166667,-11.200000,0.480428,8.490000,-3.978610
1.100000,2.330000,2.250000,-12.200000,0.494323,8.350000,-3.754011
1.200000,2.430000,2.333333,-13.000000,0.510787,8.550000,-3.771836
1.100000,2.490000,2.416667,-11.200000,0.526182,8.670000,-3.852050
1.100000,2.570000,2.500000,-11.200000,0.542555,8.710000,-3.889483
1.200000,2.590000,2.583333,-11.600000,0.558249,8.930000,-4.037433
1.100000,2.710000,2.666667,-11.600000,0.574694,8.870000,-4.085561
1.100000,2.810000,2.750000,-11.600000,0.590275,9.150000,-4.297683
1.200000,2.930000,2.833333,-11.200000,0.606868,9.130000,-4.313725
1.200000,2.950000,2.916667,-11.400000,0.622260,9.350000,-4.557932
1.200000,3.010000,3.000000,-11.400000,0.638570,9.390000,-4.607843
1.000000,3.130000,3.083333,-11.200000,0.654535,9.390000,-4.700535
1.200000,3.210000,3.166667,-11.400000,0.669913,9.410000,-4.800357
1.200000,3.330000,3.250000,-11.200000,0.686216,9.390000,-4.800357
1.000000,3.410000,3.333333,-11.400000,0.702717,9.390000,-4.795009
1.000000,3.530000,3.416667,-11.600000,0.718074,9.170000,-4.709447
1.000000,3.550000,3.500000,-11.400000,0.734365,9.150000,-4.672014
1.100000,3.610000,3.583333,-11.000000,0.750845,9.110000,-4.645276
1.200000,3.730000,3.666667,-11.000000,0.766317,8.830000,-4.454545
1.300000,3.790000,3.750000,-11.200000,0.783306,8.950000,-4.511586
1.100000,3.910000,3.833333,-9.400000,0.800468,8.910000,-4.527629
1.100000,3.950000,3.916667,-9.000000,0.816065,8.670000,-4.338681
1.100000,4.070000,4.000000,-8.800000,0.832566,8.670000,-4.301248
1.000000,4.170000,4.083333,-9.000000,0.848123,8.550000,-4.090909
1.100000,4.270000,4.166667,-9.200000,0.868230,9.130000,-4.705882
1.400000,4.310000,4.250000,-9.000000,0.880791,8.470000,-3.978610
1.000000,4.390000,4.333333,-9.400000,0.895644,8.590000,-3.784314
1.100000,4.490000,4.416667,-11.200000,0.910158,8.610000,-3.809269
1.100000,4.490000,4.500000,-11.400000,0.926523,8.630000,-3.839572
1.400000,4.630000,4.583333,-11.000000,0.942834,8.690000,-3.887701
1.100000,4.690000,4.666667,-11.600000,0.958394,8.910000,-4.042781
1.200000,4.810000,4.750000,-11.400000,0.974754,8.950000,-4.103387
1.300000,4.850000,4.833333,-11.400000,0.990083,9.190000,-4.361854
0.900000,4.970000,4.916667,-11.400000,1.006590,9.210000,-4.388592
1.200000,5.050000,5.000000,-11.400000,1.022071,9.410000,-4.598930
1.400000,5.050000,5.083333,-11.400000,1.038521,9.490000,-4.632799
1.300000,5.170000,5.166667,-11.400000,1.055041,9.390000,-4.661319
1.200000,5.250000,5.250000,-11.200000,1.070818,9.430000,-4.761141
0.900000,5.350000,5.333333,-11.800000,1.087457,9.430000,-4.755793
1.000000,5.550000,5.416667,-13.200000,1.102394,9.310000,-4.780749
1.000000,5.550000,5.500000,-11.400000,1.118815,9.330000,-4.761141
1.200000,5.570000,5.583333,-11.400000,1.134112,9.070000,-4.606061
1.200000,5.690000,5.666667,-11.200000,1.150475,9.070000,-4.563280
1.100000,5.750000,5.750000,-11.200000,1.167119,9.050000,-4.552585
1.200000,5.830000,5.833333,-11.400000,1.182525,8.810000,-4.327986
1.300000,5.950000,5.916667,-11.400000,1.198826,8.690000,-4.251337
1.100000,5.970000,6.000000,-11.400000,1.214325,8.550000,-4.030303
1.100000,6.110000,6.083333,-11.800000,1.230695,8.530000,-3.985740
1.200000,6.210000,6.166667,-11.600000,1.246026,8.470000,-3.802139
1.000000,6.510000,6.250000,-11.400000,1.262515,8.490000,-3.786096
0.900000,6.350000,6.333333,-11.400000,1.278509,8.470000,-3.752228
0.800000,6.430000,6.416667,-11.400000,1.294871,8.450000,-3.752228
1.200000,6.530000,6.500000,-11.400000,1.310370,8.590000,-3.796791
1.100000,6.630000,6.583333,-11.000000,1.326785,8.650000,-3.818182
1.000000,6.670000,6.666667,-11.400000,1.342106,8.850000,-3.989305
1.000000,6.810000,6.750000,-11.400000,1.358625,8.870000,-4.019608
1.000000,6.910000,6.833333,-11.600000,1.380550,8.490000,-3.966132
1.100000,6.890000,6.916667,-11.400000,1.390365,9.190000,-4.329768
1.200000,6.810000,7.000000,-11.400000,1.406878,9.210000,-4.367201
1.200000,7.110000,7.083333,-11.400000,1.422287,9.370000,-4.590018
1.200000,7.170000,7.166667,-11.400000,1.438588,9.430000,-4.648841
1.000000,7.310000,7.250000,-11.400000,1.453985,9.610000,-4.803922
1.100000,7.330000,7.333333,-11.200000,1.470638,9.490000,-4.803922
1.100000,7.470000,7.416667,-11.400000,1.486545,9.390000,-4.807487
1.200000,7.610000,7.500000,-11.400000,1.501893,9.250000,-4.754011
1.100000,7.590000,7.583333,-11.400000,1.518450,9.210000,-4.737968
1.000000,7.690000,7.666667,-11.400000,1.534830,9.190000,-4.707665
1.200000,7.810000,7.750000,-11.400000,1.550151,8.930000,-4.502674
0.900000,7.830000,7.833333,-11.200000,1.566652,8.910000,-4.481283
1.200000,7.970000,7.916667,-11.200000,1.582013,8.670000,-4.215686
1.100000,7.990000,8.000000,-11.200000,1.598598,8.630000,-4.192513
1.000000,8.170000,8.083333,-9.200000,1.616390,8.730000,-4.367201
1.200000,8.230000,8.166667,-9.200000,1.631993,8.570000,-4.140820
1.100000,8.310000,8.250000,-9.400000,1.648444,8.550000,-4.106952
1.000000,8.270000,8.333333,-9.400000,1.664236,8.470000,-3.962567
1.300000,8.510000,8.416667,-10.000000,1.698227,8.510000,-4.058824
1.300000,8.570000,8.500000,-11.200000,1.713152,8.450000,-3.868093
0.800000,8.630000,8.583333,-11.000000,1.728535,8.470000,-3.761141
1.000000,8.710000,8.666667,-11.400000,1.744835,8.510000,-3.762923
1.100000,8.950000,8.750000,-11.800000,1.760261,8.630000,-3.834225
1.000000,8.910000,8.833333,-11.200000,1.776985,8.610000,-3.811052
1.100000,8.970000,8.916667,-11.400000,1.792379,8.850000,-3.978610
1.000000,8.970000,9.000000,-11.600000,1.808768,9.050000,-4.032086
1.200000,9.070000,9.083333,-11.200000,1.824204,9.130000,-4.267380
1.100000,9.190000,9.166667,-11.200000,1.840523,9.190000,-4.331551
1.000000,9.290000,9.250000,-11.200000,1.856880,9.230000,-4.404635
1.200000,9.290000,9.333333,-11.200000,1.876951,8.650000,-3.834225
1.200000,9.390000,9.416667,-11.000000,1.888348,9.410000,-4.702317
1.000000,9.530000,9.500000,-11.400000,1.904646,9.390000,-4.746881
1.200000,9.590000,9.583333,-11.400000,1.921128,9.450000,-4.770053
