# Date: 20210301
# Operator: RDP
# Notes: TFMC TOAST
# Tap_cm: 6.0
# Sample: GrPt_001
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.100000,0.270000,0.000000,-11.400000,0.042568,8.570000,-3.786096
1.100000,0.130000,0.083333,-11.000000,0.063170,8.170000,-3.884135
1.200000,0.270000,0.166667,-11.600000,0.074611,8.890000,-4.012478
1.300000,0.370000,0.250000,-11.400000,0.090932,9.030000,-4.090909
1.300000,0.390000,0.333333,-11.600000,0.106268,9.370000,-4.422460
1.200000,0.530000,0.416667,-11.200000,0.122769,9.410000,-4.461676
1.000000,0.590000,0.500000,-11.200000,0.138343,9.710000,-4.688057
1.100000,0.690000,0.583333,-11.400000,0.154701,9.670000,-4.743316
1.100000,0.750000,0.666667,-11.400000,0.171186,9.690000,-4.778966
1.100000,0.790000,0.750000,-11.400000,0.186607,9.690000,-4.944742
1.300000,0.910000,0.833333,-10.800000,0.202902,9.710000,-4.948307
0.900000,1.050000,0.916667,-11.400000,0.218390,9.510000,-4.921569
1.200000,1.090000,1.000000,-11.600000,0.240637,9.070000,-4.142602
1.100000,1.090000,1.083333,-11.200000,0.250422,9.210000,-4.761141
1.300000,1.250000,1.166667,-11.400000,0.266921,9.170000,-4.729055
1.000000,1.350000,1.250000,-11.400000,0.282313,8.770000,-4.470588
1.200000,1.350000,1.333333,-11.000000,0.298633,8.630000,-4.379679
1.300000,1.310000,1.416667,-11.600000,0.315290,8.650000,-4.383244
1.300000,1.530000,1.500000,-11.400000,0.330711,8.390000,-4.076649
1.200000,1.630000,1.583333,-11.400000,0.347040,8.310000,-4.007130
1.200000,1.750000,1.666667,-11.400000,0.362422,8.330000,-3.773619
1.200000,1.790000,1.750000,-11.600000,0.378855,8.170000,-3.736185
1.300000,1.950000,1.833333,-11.400000,0.394177,8.230000,-3.647059
1.000000,1.990000,1.916667,-11.400000,0.410533,8.250000,-3.654189
1.100000,2.090000,2.000000,-11.600000,0.428291,8.170000,-3.663102
1.300000,2.110000,2.083333,-11.200000,0.442897,8.470000,-3.718360
0.900000,2.230000,2.166667,-11.400000,0.458312,8.790000,-3.909091
1.100000,2.250000,2.250000,-11.400000,0.474782,8.790000,-3.939394
1.100000,2.410000,2.333333,-11.400000,0.490204,9.190000,-4.219251
1.100000,2.470000,2.416667,-11.600000,0.506501,9.290000,-4.311943
1.200000,2.590000,2.500000,-11.400000,0.523002,9.390000,-4.365419
1.200000,2.610000,2.583333,-11.200000,0.539925,9.270000,-4.286988
1.200000,2.730000,2.666667,-11.400000,0.555249,9.690000,-4.611408
1.200000,2.770000,2.750000,-11.200000,0.570803,9.710000,-4.805704
1.400000,2.870000,2.833333,-11.200000,0.586186,9.730000,-4.957219
1.100000,2.930000,2.916667,-11.400000,0.602523,9.670000,-4.950089
1.000000,3.010000,3.000000,-11.400000,0.619038,9.670000,-4.950089
1.000000,3.130000,3.083333,-11.200000,0.634720,9.410000,-4.900178
1.100000,3.190000,3.166667,-11.200000,0.650059,9.150000,-4.714795
1.400000,3.290000,3.250000,-11.800000,0.666451,8.750000,-4.661319
1.400000,3.330000,3.333333,-11.000000,0.682876,8.970000,-4.609626
1.400000,3.450000,3.416667,-11.000000,0.698224,8.590000,-4.303030
1.200000,3.550000,3.500000,-11.400000,0.714578,8.510000,-4.178253
1.200000,3.610000,3.583333,-11.400000,0.731009,8.490000,-4.151515
1.200000,3.710000,3.666667,-9.200000,0.748564,8.490000,-4.306595
1.000000,3.770000,3.750000,-9.000000,0.764071,8.170000,-4.033868
1.200000,3.850000,3.833333,-9.000000,0.780795,8.210000,-4.032086
1.100000,3.950000,3.916667,-9.600000,0.796360,8.150000,-3.809269
0.900000,4.070000,4.000000,-9.600000,0.813398,8.150000,-3.896613
1.100000,4.190000,4.083333,-11.400000,0.846481,8.150000,-3.918004
1.000000,4.250000,4.166667,-11.400000,0.862964,8.170000,-3.878788
0.900000,4.310000,4.250000,-11.400000,0.879461,8.150000,-3.844920
1.100000,4.410000,4.333333,-11.200000,0.894829,8.130000,-3.655971
1.100000,4.530000,4.416667,-11.200000,0.911160,8.170000,-3.641711
1.100000,4.530000,4.500000,-11.000000,0.926733,8.350000,-3.659537
1.200000,4.650000,4.583333,-11.200000,0.943089,8.410000,-3.677362
1.100000,4.730000,4.666667,-11.400000,0.958377,8.690000,-3.848485
1.000000,4.790000,4.750000,-11.200000,0.974871,8.790000,-3.877005
1.000000,4.870000,4.833333,-11.200000,0.991309,8.790000,-3.919786
0.900000,4.990000,4.916667,-11.400000,1.006653,9.210000,-4.221034
1.000000,5.070000,5.000000,-11.400000,1.024731,8.790000,-3.901961
1.500000,5.210000,5.083333,-13.600000,1.039325,9.290000,-4.392157
1.100000,5.150000,5.166667,-11.400000,1.055153,9.710000,-4.661319
