# Date: 20210301
# Operator: RDP
# Notes: TFMC TOAST
# Tap_cm: 5.0
# Sample: GrPt_009
# Fit of Tap:
#	Ic = 625 A
#	n = 50 
#	Vc = 2.5 uV
#	Vfloor = 2.33 uV
#	R = 9.03 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.100000,0.270000,0.000000,-9.200000,0.052733,9.430000,-4.623886
1.000000,0.250000,0.083333,-11.400000,0.073251,8.990000,-4.245989
1.300000,0.230000,0.166667,-11.400000,0.083671,9.150000,-4.563280
1.200000,0.370000,0.250000,-11.600000,0.100686,9.250000,-4.591800
1.300000,0.470000,0.333333,-11.200000,0.115684,8.950000,-4.454545
1.200000,0.550000,0.416667,-11.400000,0.131064,8.750000,-4.301248
1.300000,0.590000,0.500000,-11.400000,0.147411,8.670000,-4.231729
1.100000,0.690000,0.583333,-11.400000,0.163137,8.590000,-4.140820
1.100000,0.750000,0.666667,-11.200000,0.179532,8.530000,-4.119430
1.100000,0.830000,0.750000,-11.600000,0.194843,8.490000,-4.019608
1.200000,0.970000,0.833333,-11.600000,0.211388,8.470000,-4.005348
1.000000,1.050000,0.916667,-11.600000,0.227961,8.470000,-3.991087
1.100000,1.110000,1.000000,-11.400000,0.243376,8.530000,-3.964349
1.200000,1.170000,1.083333,-11.000000,0.259870,8.570000,-3.967914
1.400000,1.290000,1.166667,-11.200000,0.275286,8.630000,-4.028520
1.200000,1.370000,1.250000,-11.200000,0.291648,8.750000,-4.062389
1.400000,1.390000,1.333333,-12.800000,0.307141,8.830000,-4.183601
1.100000,1.450000,1.416667,-11.200000,0.323603,8.930000,-4.213904
1.100000,1.570000,1.500000,-11.600000,0.338931,9.150000,-4.386809
1.200000,1.610000,1.583333,-11.200000,0.355427,9.390000,-4.438503
1.200000,1.750000,1.666667,-11.400000,0.370908,9.410000,-4.527629
1.200000,1.810000,1.750000,-11.000000,0.387251,9.330000,-4.563280
1.200000,1.890000,1.833333,-11.600000,0.403948,9.350000,-4.547237
1.200000,1.990000,1.916667,-11.400000,0.419058,9.350000,-4.627451
1.000000,1.990000,2.000000,-11.200000,0.435761,9.330000,-4.622103
1.100000,2.130000,2.083333,-11.400000,0.451249,9.430000,-4.602496
0.900000,2.290000,2.166667,-11.400000,0.468002,9.210000,-4.600713
1.100000,2.270000,2.250000,-11.400000,0.483382,9.110000,-4.531194
1.100000,2.370000,2.333333,-11.200000,0.499696,9.030000,-4.506239
1.100000,2.470000,2.416667,-11.200000,0.515228,8.870000,-4.379679
1.100000,2.570000,2.500000,-11.600000,0.531636,8.790000,-4.351159
1.100000,2.630000,2.583333,-11.600000,0.546989,8.610000,-4.183601
1.100000,2.690000,2.666667,-11.600000,0.563506,8.590000,-4.163993
1.200000,2.790000,2.750000,-11.400000,0.578904,8.470000,-4.049911
1.200000,2.910000,2.833333,-11.600000,0.595228,8.490000,-4.024955
1.100000,2.790000,2.916667,-11.600000,0.611771,8.470000,-4.019608
1.000000,3.070000,3.000000,-11.400000,0.627226,8.450000,-3.967914
1.000000,3.250000,3.083333,-11.600000,0.645869,8.490000,-4.076649
1.000000,3.170000,3.166667,-11.200000,0.659363,8.730000,-4.008913
1.100000,3.330000,3.250000,-11.200000,0.674814,8.710000,-4.083779
1.300000,3.390000,3.333333,-11.000000,0.698997,8.950000,-4.436720
1.100000,3.470000,3.416667,-11.600000,0.707899,8.850000,-4.106952
1.100000,3.590000,3.500000,-11.400000,0.723445,9.010000,-4.240642
1.300000,3.650000,3.583333,-11.600000,0.738780,9.190000,-4.409982
1.300000,3.850000,3.666667,-13.200000,0.755277,9.070000,-4.434938
1.200000,3.830000,3.750000,-11.000000,0.771875,9.230000,-4.447415
1.300000,3.850000,3.833333,-11.200000,0.787289,9.370000,-4.566845
1.300000,3.950000,3.916667,-11.000000,0.803597,9.370000,-4.593583
1.100000,4.070000,4.000000,-11.200000,0.819184,9.410000,-4.641711
1.300000,4.170000,4.083333,-11.400000,0.835602,9.370000,-4.636364
1.100000,4.210000,4.166667,-11.600000,0.856531,8.830000,-4.262032
1.000000,4.310000,4.250000,-11.600000,0.867224,9.190000,-4.565062
0.900000,4.390000,4.333333,-11.400000,0.883634,9.190000,-4.543672
1.300000,4.490000,4.416667,-11.200000,0.898985,8.930000,-4.418895
1.000000,4.530000,4.500000,-11.200000,0.915522,8.910000,-4.401070
1.400000,4.650000,4.583333,-11.400000,0.930960,8.690000,-4.249554
1.300000,4.750000,4.666667,-11.200000,0.947287,8.690000,-4.208556
1.200000,4.790000,4.750000,-13.000000,0.963730,8.610000,-4.178253
0.900000,4.870000,4.833333,-11.400000,0.979208,8.510000,-4.067736
1.100000,4.990000,4.916667,-11.200000,0.998965,8.910000,-4.408200
1.000000,5.090000,5.000000,-11.400000,1.011872,8.490000,-4.017825
0.800000,5.130000,5.083333,-11.200000,1.027337,8.470000,-3.946524
1.000000,5.190000,5.166667,-11.000000,1.043661,8.550000,-3.953654
1.300000,5.310000,5.250000,-11.200000,1.059189,8.650000,-4.005348
1.100000,5.410000,5.333333,-11.200000,1.075578,8.630000,-4.019608
1.100000,5.430000,5.416667,-11.400000,1.090934,8.850000,-4.131907
1.300000,5.530000,5.500000,-11.600000,1.107385,8.910000,-4.172906
1.000000,5.630000,5.583333,-11.400000,1.123283,9.070000,-4.258467
1.200000,5.750000,5.666667,-11.400000,1.139935,9.030000,-4.254902
1.200000,5.790000,5.750000,-11.200000,1.155544,9.190000,-4.388592
1.000000,5.850000,5.833333,-11.400000,1.171374,9.330000,-4.488414
1.300000,5.950000,5.916667,-11.200000,1.188066,9.290000,-4.484848
1.200000,6.010000,6.000000,-11.000000,1.203672,9.330000,-4.566845
1.000000,6.150000,6.083333,-11.400000,1.219443,9.350000,-4.618538
1.300000,6.170000,6.166667,-11.400000,1.235128,9.330000,-4.607843
1.100000,6.330000,6.250000,-11.400000,1.251727,9.290000,-4.613191
1.000000,6.470000,6.333333,-11.800000,1.267503,9.170000,-4.573975
1.100000,6.450000,6.416667,-11.400000,1.283838,9.130000,-4.550802
1.200000,6.550000,6.500000,-11.600000,1.301081,9.250000,-4.586453
1.200000,6.610000,6.583333,-11.200000,1.315383,8.950000,-4.363636
1.100000,6.650000,6.666667,-11.400000,1.331100,8.670000,-4.244207
1.300000,6.790000,6.750000,-11.600000,1.347713,8.670000,-4.229947
1.200000,6.870000,6.833333,-11.400000,1.363662,8.630000,-4.153298
1.300000,6.950000,6.916667,-11.200000,1.379545,8.430000,-4.076649
1.300000,7.070000,7.000000,-11.800000,1.395196,8.490000,-3.994652
1.000000,7.150000,7.083333,-11.400000,1.411777,8.470000,-3.987522
1.200000,7.230000,7.166667,-11.000000,1.427569,8.470000,-3.959002
1.300000,7.310000,7.250000,-11.400000,1.443263,8.550000,-3.975045
1.200000,7.370000,7.333333,-11.200000,1.459858,8.550000,-3.980392
1.400000,7.410000,7.416667,-8.800000,1.478203,8.470000,-3.969697
1.100000,7.590000,7.500000,-9.200000,1.499166,8.710000,-4.379679
1.300000,7.610000,7.583333,-9.000000,1.510349,8.590000,-3.989305
1.000000,7.690000,7.666667,-9.600000,1.525865,8.770000,-4.055258
0.800000,7.770000,7.750000,-9.200000,1.542097,8.830000,-4.092692
1.100000,7.910000,7.833333,-9.200000,1.558257,8.930000,-4.140820
1.300000,7.890000,7.916667,-11.400000,1.571721,9.270000,-4.484848
1.200000,8.010000,8.000000,-11.000000,1.587413,9.350000,-4.572193
1.200000,8.110000,8.083333,-11.200000,1.604991,9.270000,-4.495544
1.100000,8.170000,8.166667,-11.400000,1.619312,9.410000,-4.648841
1.100000,8.270000,8.250000,-11.400000,1.636024,9.330000,-4.654189
1.000000,8.370000,8.333333,-11.400000,1.651649,9.290000,-4.627451
1.000000,8.510000,8.416667,-11.400000,1.667599,9.190000,-4.568627
