# Date: 20210301
# Operator: RDP
# Notes: TFMC TOAST
# Tap_cm: 5.0
# Sample: GrPt_009
# Fit of Tap:
#	Ic = 159 +/- 0.4 A
#	n = 66.6 +/- 6.7 
#	Vc = 2.5 uV
#	Vfloor = 1.2 +/- 0.0064 uV
#	R = 0.00126 +/- 7.5e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
0.800000,0.250000,0.000000,-11.600000,0.034296,8.710000,-4.215686
1.200000,0.210000,0.083333,-11.400000,0.054963,8.910000,-4.262032
1.200000,0.250000,0.166667,-11.400000,0.062561,8.930000,-4.342246
1.300000,0.430000,0.250000,-11.400000,0.074118,9.050000,-4.342246
1.100000,0.410000,0.333333,-11.400000,0.089910,9.010000,-4.301248
0.900000,0.470000,0.416667,-11.400000,0.105821,8.990000,-4.292335
0.900000,0.570000,0.500000,-11.200000,0.121600,8.870000,-4.272727
1.200000,0.690000,0.583333,-11.000000,0.138415,8.910000,-4.278075
1.200000,0.730000,0.666667,-11.400000,0.154079,8.890000,-4.244207
1.200000,0.790000,0.750000,-11.400000,0.169680,8.830000,-4.224599
1.000000,0.910000,0.833333,-11.200000,0.186432,8.850000,-4.233512
0.900000,0.970000,0.916667,-11.200000,0.209353,9.110000,-4.377897
1.100000,1.050000,1.000000,-11.400000,0.219690,8.810000,-4.222816
1.300000,1.230000,1.083333,-13.600000,0.233869,8.750000,-4.229947
0.900000,1.230000,1.166667,-11.400000,0.249586,8.810000,-4.245989
1.400000,1.310000,1.250000,-11.400000,0.266406,8.810000,-4.237077
1.000000,1.390000,1.333333,-11.200000,0.282163,9.010000,-4.272727
1.100000,1.430000,1.416667,-11.400000,0.297875,8.870000,-4.290553
0.700000,1.470000,1.500000,-11.400000,0.313474,8.930000,-4.320856
0.900000,1.550000,1.583333,-11.600000,0.330043,8.910000,-4.327986
0.900000,1.610000,1.666667,-11.600000,0.345804,8.950000,-4.354724
1.100000,1.730000,1.750000,-11.400000,0.362496,8.930000,-4.349376
1.100000,1.830000,1.833333,-11.000000,0.378158,8.970000,-4.374332
1.200000,1.870000,1.916667,-11.400000,0.393970,9.030000,-4.386809
1.300000,1.930000,2.000000,-11.200000,0.409623,9.090000,-4.399287
1.300000,2.010000,2.083333,-11.200000,0.426262,9.070000,-4.386809
1.100000,2.150000,2.166667,-11.200000,0.442416,9.050000,-4.390374
1.300000,2.150000,2.250000,-11.200000,0.458054,9.010000,-4.361854
1.000000,2.270000,2.333333,-11.200000,0.473646,8.930000,-4.342246
1.100000,2.350000,2.416667,-11.200000,0.490470,9.010000,-4.344029
1.000000,2.470000,2.500000,-11.400000,0.511864,8.990000,-4.368984
1.000000,2.470000,2.583333,-11.400000,0.521914,8.930000,-4.285205
1.100000,2.490000,2.666667,-11.400000,0.537613,8.910000,-4.258467
1.300000,2.610000,2.750000,-11.000000,0.554290,8.930000,-4.260250
1.200000,2.750000,2.833333,-11.400000,0.570103,8.830000,-4.240642
1.300000,2.790000,2.916667,-11.400000,0.585888,8.650000,-4.219251
1.200000,2.930000,3.000000,-11.200000,0.601583,8.770000,-4.228164
1.000000,3.010000,3.083333,-11.600000,0.618270,8.830000,-4.228164
1.000000,3.070000,3.166667,-11.400000,0.634043,8.750000,-4.213904
0.700000,3.150000,3.250000,-11.400000,0.650274,8.790000,-4.233512
1.000000,3.210000,3.333333,-11.400000,0.665927,8.850000,-4.249554
1.100000,3.350000,3.416667,-11.600000,0.681508,8.850000,-4.283422
1.200000,3.410000,3.500000,-11.400000,0.698296,8.810000,-4.276292
1.100000,3.450000,3.583333,-11.400000,0.713977,8.850000,-4.308378
1.000000,3.550000,3.666667,-11.000000,0.729605,8.950000,-4.342246
1.100000,3.650000,3.750000,-11.400000,0.746403,8.910000,-4.335116
1.000000,3.730000,3.833333,-11.600000,0.762043,8.910000,-4.356506
1.100000,3.770000,3.916667,-11.200000,0.777622,8.990000,-4.376114
1.200000,3.910000,4.000000,-11.200000,0.794396,9.010000,-4.374332
1.200000,3.950000,4.083333,-11.200000,0.811591,8.990000,-4.361854
1.000000,4.030000,4.166667,-11.200000,0.825674,9.050000,-4.365419
1.000000,4.090000,4.250000,-11.400000,0.842413,9.050000,-4.360071
0.900000,4.210000,4.333333,-11.000000,0.858634,9.070000,-4.361854
1.000000,4.190000,4.416667,-11.000000,0.874530,9.050000,-4.347594
1.000000,4.470000,4.500000,-12.200000,0.890286,9.030000,-4.317291
0.900000,4.390000,4.583333,-11.600000,0.905963,9.010000,-4.294118
1.100000,4.530000,4.666667,-11.000000,0.921558,8.950000,-4.262032
1.200000,4.630000,4.750000,-11.400000,0.938228,9.010000,-4.278075
1.300000,4.610000,4.833333,-11.000000,0.953975,8.870000,-4.247772
1.100000,4.750000,4.916667,-11.200000,0.969685,8.810000,-4.228164
1.200000,4.850000,5.000000,-11.000000,0.986283,8.850000,-4.226381
1.100000,4.930000,5.083333,-11.400000,1.002056,8.810000,-4.229947
0.900000,5.010000,5.166667,-11.800000,1.017673,8.750000,-4.221034
1.000000,5.050000,5.250000,-11.600000,1.034245,8.750000,-4.206774
1.000000,5.150000,5.333333,-11.400000,1.049994,8.810000,-4.224599
1.100000,5.250000,5.416667,-11.200000,1.066255,8.790000,-4.237077
1.100000,5.310000,5.500000,-11.400000,1.081897,8.810000,-4.260250
1.200000,5.350000,5.583333,-11.600000,1.097681,8.850000,-4.283422
1.100000,5.530000,5.666667,-11.200000,1.115330,8.850000,-4.258467
1.000000,5.510000,5.750000,-11.400000,1.130486,8.870000,-4.295900
1.000000,5.590000,5.833333,-11.600000,1.146346,8.870000,-4.320856
0.900000,5.690000,5.916667,-11.600000,1.161985,8.950000,-4.349376
1.200000,5.730000,6.000000,-11.200000,1.177829,9.030000,-4.374332
1.300000,6.010000,6.083333,-11.400000,1.193582,9.090000,-4.377897
1.200000,5.910000,6.166667,-11.000000,1.210302,9.130000,-4.381462
1.000000,5.970000,6.250000,-11.200000,1.225903,9.050000,-4.374332
1.300000,5.990000,6.333333,-11.000000,1.241581,9.310000,-4.361854
0.900000,6.110000,6.416667,-11.000000,1.258272,9.090000,-4.370766
1.100000,6.270000,6.500000,-11.200000,1.275499,9.030000,-4.372549
1.000000,6.310000,6.583333,-11.400000,1.290176,9.030000,-4.327986
1.100000,6.390000,6.666667,-11.000000,1.305966,9.030000,-4.310160
1.200000,6.430000,6.750000,-11.200000,1.321570,8.990000,-4.278075
1.200000,6.550000,6.833333,-11.000000,1.338142,8.950000,-4.276292
1.000000,6.670000,6.916667,-11.200000,1.353950,8.910000,-4.256684
1.100000,6.710000,7.000000,-11.000000,1.369716,8.850000,-4.240642
1.100000,6.810000,7.083333,-11.600000,1.386368,8.850000,-4.226381
1.200000,6.930000,7.166667,-11.200000,1.409434,9.070000,-4.383244
1.100000,6.930000,7.250000,-11.200000,1.419927,8.850000,-4.224599
1.100000,7.030000,7.333333,-9.200000,1.435946,8.810000,-4.215686
0.900000,7.110000,7.416667,-9.200000,1.452449,8.790000,-4.219251
1.200000,7.250000,7.500000,-9.200000,1.468763,8.730000,-4.222816
1.000000,7.270000,7.583333,-8.600000,1.492779,9.010000,-4.386809
1.200000,7.290000,7.666667,-9.000000,1.502991,8.830000,-4.229947
1.300000,7.390000,7.750000,-8.800000,1.516152,8.770000,-4.249554
1.200000,7.510000,7.833333,-11.200000,1.530442,8.850000,-4.301248
1.100000,7.570000,7.916667,-11.400000,1.546125,8.790000,-4.335116
1.000000,7.650000,8.000000,-11.200000,1.561808,8.930000,-4.352941
1.100000,7.770000,8.083333,-11.400000,1.578400,8.990000,-4.344029
1.300000,7.850000,8.166667,-13.200000,1.594302,9.030000,-4.352941
1.100000,7.850000,8.250000,-11.000000,1.610051,9.030000,-4.390374
1.000000,7.970000,8.333333,-11.000000,1.625785,9.110000,-4.386809
0.900000,8.070000,8.416667,-11.000000,1.642415,9.030000,-4.388592
1.200000,8.170000,8.500000,-11.400000,1.658201,9.070000,-4.368984
1.100000,8.210000,8.583333,-11.400000,1.673879,9.050000,-4.338681
1.000000,8.310000,8.666667,-11.000000,1.691226,9.090000,-4.360071
1.100000,8.410000,8.750000,-11.000000,1.713176,8.910000,-4.310160
1.100000,8.450000,8.833333,-11.400000,1.722386,9.010000,-4.301248
1.300000,8.510000,8.916667,-11.200000,1.737987,8.990000,-4.260250
1.000000,8.610000,9.000000,-11.200000,1.753829,8.910000,-4.233512
0.800000,8.730000,9.083333,-11.200000,1.770522,8.930000,-4.233512
1.100000,8.790000,9.166667,-11.200000,1.786364,8.870000,-4.224599
1.100000,8.850000,9.250000,-11.200000,1.802118,8.870000,-4.208556
1.100000,8.910000,9.333333,-11.400000,1.817832,8.750000,-4.215686
1.000000,9.010000,9.416667,-11.200000,1.834427,8.770000,-4.217469
1.200000,9.070000,9.500000,-13.000000,1.850109,8.790000,-4.233512
1.000000,9.150000,9.583333,-11.200000,1.866056,8.830000,-4.235294
1.000000,9.230000,9.666667,-11.200000,1.881723,8.810000,-4.254902
1.200000,9.330000,9.750000,-11.000000,1.898401,8.890000,-4.276292
1.400000,9.370000,9.833333,-11.600000,1.913612,8.890000,-4.288770
1.300000,9.470000,9.916667,-11.000000,1.930047,8.850000,-4.290553
1.100000,9.570000,10.000000,-11.600000,1.945383,8.910000,-4.322638
1.100000,9.650000,10.083333,-11.400000,1.961892,8.910000,-4.333333
1.000000,9.690000,10.166667,-11.400000,1.977341,9.030000,-4.365419
1.400000,9.810000,10.250000,-11.200000,1.993862,9.010000,-4.377897
0.900000,9.910000,10.333333,-11.200000,2.011070,8.990000,-4.363636
1.100000,9.970000,10.416667,-11.000000,2.025943,9.070000,-4.376114
1.000000,10.010000,10.500000,-11.200000,2.041321,9.050000,-4.354724
1.200000,10.130000,10.583333,-10.800000,2.057884,9.030000,-4.361854
1.100000,10.230000,10.666667,-11.400000,2.073339,9.250000,-4.336898
0.800000,10.310000,10.750000,-11.400000,2.089810,9.010000,-4.329768
1.100000,10.350000,10.833333,-11.200000,2.107105,9.010000,-4.340463
1.300000,10.450000,10.916667,-11.000000,2.121606,8.950000,-4.276292
1.200000,10.590000,11.000000,-11.000000,2.137963,8.950000,-4.274510
1.300000,10.670000,11.083333,-12.600000,2.153395,8.870000,-4.242424
0.900000,10.750000,11.166667,-11.200000,2.169828,8.850000,-4.240642
1.200000,10.770000,11.250000,-11.000000,2.186191,8.830000,-4.229947
1.200000,10.830000,11.333333,-11.000000,2.201562,8.930000,-4.224599
1.100000,10.910000,11.416667,-11.200000,2.218028,8.750000,-4.208556
1.300000,10.770000,11.500000,-9.000000,2.234883,8.790000,-4.210339
1.000000,11.070000,11.583333,-9.200000,2.251423,8.810000,-4.204991
1.200000,11.190000,11.666667,-9.400000,2.268130,8.770000,-4.210339
1.100000,11.230000,11.750000,-9.200000,2.283601,8.810000,-4.219251
1.200000,11.310000,11.833333,-9.000000,2.300042,8.770000,-4.224599
1.300000,11.590000,11.916667,-11.200000,2.334670,8.750000,-4.217469
1.100000,11.550000,12.000000,-11.200000,2.350175,8.750000,-4.217469
1.200000,11.670000,12.083333,-11.600000,2.366718,8.770000,-4.215686
1.000000,11.690000,12.166667,-11.400000,2.382386,8.750000,-4.215686
1.200000,11.790000,12.250000,-11.000000,2.397821,8.830000,-4.245989
1.100000,11.830000,12.333333,-11.200000,2.414393,8.790000,-4.251337
1.400000,11.910000,12.416667,-11.600000,2.429798,8.870000,-4.292335
1.100000,11.970000,12.500000,-11.400000,2.446133,8.850000,-4.295900
1.200000,12.070000,12.583333,-11.600000,2.462640,8.890000,-4.303030
1.000000,12.130000,12.666667,-11.400000,2.478001,8.970000,-4.336898
1.100000,12.230000,12.750000,-11.200000,2.494312,8.970000,-4.349376
1.200000,12.310000,12.833333,-11.600000,2.510530,8.990000,-4.354724
1.300000,12.350000,12.916667,-11.400000,2.525958,9.070000,-4.361854
1.300000,12.410000,13.000000,-11.000000,2.542274,9.090000,-4.367201
1.300000,12.630000,13.083333,-11.000000,2.558733,9.010000,-4.360071
1.200000,12.510000,13.166667,-11.200000,2.574159,9.030000,-4.347594
1.200000,12.630000,13.250000,-11.400000,2.590477,9.030000,-4.340463
1.200000,12.770000,13.333333,-11.400000,2.611775,8.970000,-4.324421
1.200000,12.810000,13.416667,-11.000000,2.622046,8.990000,-4.279857
0.900000,12.930000,13.500000,-11.600000,2.638391,8.970000,-4.274510
1.200000,12.930000,13.583333,-11.400000,2.654716,8.950000,-4.260250
1.100000,13.070000,13.666667,-11.400000,2.670281,8.910000,-4.231729
1.200000,13.130000,13.750000,-11.200000,2.686961,8.910000,-4.245989
1.100000,13.230000,13.833333,-11.000000,2.707216,9.110000,-4.352941
1.600000,13.310000,13.916667,-11.600000,2.718689,8.810000,-4.203209
1.200000,13.370000,14.000000,-11.400000,2.734041,8.810000,-4.203209
1.100000,13.430000,14.083333,-10.800000,2.750360,8.830000,-4.213904
1.100000,13.510000,14.166667,-11.600000,2.766944,8.810000,-4.212121
1.100000,13.630000,14.250000,-11.200000,2.782314,8.770000,-4.228164
1.200000,13.710000,14.333333,-11.400000,2.798612,8.830000,-4.249554
1.200000,13.810000,14.416667,-11.400000,2.814177,8.810000,-4.269162
1.100000,13.890000,14.500000,-11.400000,2.830590,8.790000,-4.270945
1.200000,13.970000,14.583333,-11.600000,2.845913,8.870000,-4.303030
1.000000,13.850000,14.666667,-11.400000,2.862356,8.930000,-4.315508
1.100000,14.090000,14.750000,-11.000000,2.877872,8.970000,-4.342246
1.300000,14.250000,14.833333,-11.400000,2.894234,8.950000,-4.345811
1.000000,14.270000,14.916667,-11.000000,2.917462,8.770000,-4.196078
1.000000,14.270000,15.000000,-11.200000,2.925916,9.070000,-4.358289
1.300000,14.390000,15.083333,-10.800000,2.942226,9.130000,-4.360071
1.000000,14.450000,15.166667,-10.800000,2.958616,9.110000,-4.338681
1.300000,14.570000,15.250000,-11.600000,2.974561,9.090000,-4.356506
1.100000,14.690000,15.333333,-11.400000,2.990264,8.990000,-4.336898
1.300000,14.750000,15.416667,-11.200000,3.006682,8.970000,-4.333333
1.100000,14.790000,15.500000,-11.200000,3.022206,8.990000,-4.299465
1.100000,14.630000,15.583333,-9.200000,3.040205,9.050000,-4.317291
0.900000,14.990000,15.666667,-9.200000,3.056796,9.030000,-4.322638
1.300000,15.090000,15.750000,-9.200000,3.072632,9.030000,-4.299465
1.300000,15.150000,15.833333,-9.200000,3.088198,8.930000,-4.262032
1.200000,15.330000,15.916667,-9.200000,3.107399,8.970000,-4.335116
1.300000,15.250000,16.000000,-9.200000,3.127829,9.030000,-4.349376
1.200000,15.350000,16.083333,-9.200000,3.136779,8.950000,-4.231729
1.200000,15.450000,16.166667,-11.600000,3.150144,8.790000,-4.197861
1.300000,15.410000,16.250000,-11.600000,3.166591,8.710000,-4.204991
1.100000,15.590000,16.333333,-11.400000,3.182021,8.770000,-4.210339
1.100000,15.750000,16.416667,-11.200000,3.198332,8.830000,-4.229947
1.000000,15.850000,16.500000,-13.200000,3.215482,8.750000,-4.219251
1.500000,15.850000,16.583333,-11.200000,3.230386,8.830000,-4.267380
1.400000,15.970000,16.666667,-11.200000,3.246731,8.850000,-4.270945
1.100000,16.030000,16.750000,-11.400000,3.262092,8.850000,-4.295900
1.400000,16.130000,16.833333,-11.200000,3.278650,8.930000,-4.297683
1.100000,16.190000,16.916667,-11.400000,3.294245,8.950000,-4.329768
1.200000,16.290000,17.000000,-11.400000,3.310615,8.970000,-4.338681
1.300000,16.310000,17.083333,-11.400000,3.326207,9.030000,-4.358289
1.200000,16.350000,17.166667,-11.000000,3.342590,9.010000,-4.363636
1.200000,16.450000,17.250000,-11.400000,3.357900,9.090000,-4.365419
1.200000,16.570000,17.333333,-11.000000,3.374466,9.070000,-4.363636
1.300000,16.590000,17.416667,-11.400000,3.389852,9.050000,-4.329768
1.200000,16.730000,17.500000,-11.000000,3.406188,9.010000,-4.326203
1.200000,16.810000,17.583333,-11.200000,3.422692,9.070000,-4.331551
1.200000,16.910000,17.666667,-11.400000,3.438074,8.950000,-4.276292
1.300000,16.890000,17.750000,-11.400000,3.454397,8.950000,-4.269162
