# Date: 20210301
# Operator: RDP
# Notes: TFMC TOAST
# Tap_cm: 5.0
# Sample: GrPt_012
# Fit of Tap:
#	Ic = 159 +/- 0.1 A
#	n = 92.8 +/- 4.9 
#	Vc = 3 uV
#	Vfloor = 1.2 +/- 0.0063 uV
#	R = 0.00113 +/- 7.2e-05 Ohms
Tap [uV],Shunt [A],Supply [A],Input_5 [uV],Time [S],Hall [A],Cernox [T]
1.100000,0.230000,0.000000,-11.400000,0.045979,8.750000,-4.245989
1.100000,0.270000,0.083333,-11.400000,0.061772,8.750000,-4.270945
1.000000,0.290000,0.166667,-11.400000,0.077399,8.850000,-4.306595
1.000000,0.330000,0.250000,-11.400000,0.094021,8.850000,-4.301248
1.000000,0.390000,0.333333,-11.600000,0.109812,8.870000,-4.333333
1.000000,0.490000,0.416667,-11.400000,0.125495,8.970000,-4.351159
1.100000,0.530000,0.500000,-11.200000,0.142383,8.970000,-4.351159
1.100000,0.670000,0.583333,-11.200000,0.158225,8.990000,-4.365419
0.900000,0.770000,0.666667,-11.400000,0.175904,8.910000,-4.324421
1.100000,0.790000,0.750000,-11.200000,0.189991,9.050000,-4.370766
1.200000,0.970000,0.833333,-12.200000,0.205774,9.030000,-4.381462
0.800000,1.010000,0.916667,-11.400000,0.226797,8.890000,-4.322638
1.000000,1.030000,1.000000,-11.400000,0.237441,8.990000,-4.347594
1.100000,1.130000,1.083333,-11.600000,0.254225,9.170000,-4.349376
0.800000,1.190000,1.166667,-11.200000,0.269923,9.010000,-4.331551
1.100000,1.270000,1.250000,-11.000000,0.285680,8.990000,-4.301248
1.100000,1.290000,1.333333,-11.400000,0.302413,8.990000,-4.294118
1.100000,1.410000,1.416667,-11.400000,0.318265,8.950000,-4.270945
1.000000,1.510000,1.500000,-11.200000,0.333934,8.910000,-4.247772
1.400000,1.550000,1.583333,-11.200000,0.349557,8.890000,-4.219251
1.200000,1.630000,1.666667,-11.400000,0.366378,8.910000,-4.215686
1.300000,1.730000,1.750000,-11.200000,0.382017,8.810000,-4.217469
0.900000,1.870000,1.833333,-11.400000,0.397606,8.830000,-4.219251
0.800000,1.910000,1.916667,-11.200000,0.414407,8.830000,-4.213904
1.200000,1.890000,2.000000,-11.600000,0.430030,8.810000,-4.215686
0.900000,2.070000,2.083333,-11.200000,0.446139,8.790000,-4.228164
0.900000,2.190000,2.166667,-11.400000,0.470128,9.050000,-4.322638
1.300000,2.170000,2.250000,-11.200000,0.478145,8.830000,-4.267380
1.100000,2.290000,2.333333,-11.400000,0.493725,8.890000,-4.301248
1.100000,2.270000,2.416667,-11.200000,0.510438,8.910000,-4.297683
1.000000,2.490000,2.500000,-11.400000,0.526321,8.890000,-4.322638
0.800000,2.530000,2.583333,-11.600000,0.541974,8.990000,-4.342246
1.000000,2.630000,2.666667,-11.000000,0.557682,8.970000,-4.363636
1.100000,2.630000,2.750000,-11.400000,0.574389,9.030000,-4.367201
1.100000,2.790000,2.833333,-11.400000,0.589984,9.030000,-4.381462
0.900000,2.790000,2.916667,-11.400000,0.605687,9.050000,-4.365419
1.000000,2.910000,3.000000,-11.200000,0.621490,9.090000,-4.361854
1.100000,2.970000,3.083333,-11.400000,0.638126,9.110000,-4.367201
1.000000,3.090000,3.166667,-11.200000,0.654230,9.030000,-4.351159
0.900000,3.130000,3.250000,-11.200000,0.670042,8.950000,-4.329768
1.000000,3.210000,3.333333,-11.400000,0.685674,8.970000,-4.301248
1.000000,3.290000,3.416667,-11.600000,0.702299,8.950000,-4.303030
1.400000,3.370000,3.500000,-11.000000,0.718128,8.930000,-4.281640
1.200000,3.450000,3.583333,-11.200000,0.733765,8.890000,-4.244207
1.000000,3.530000,3.666667,-8.800000,0.752864,8.970000,-4.299465
1.100000,3.670000,3.750000,-9.400000,0.779366,8.830000,-4.253119
1.200000,3.650000,3.833333,-8.800000,0.790171,9.030000,-4.383244
1.300000,3.750000,3.916667,-9.200000,0.800151,8.890000,-4.229947
1.000000,3.870000,4.000000,-9.000000,0.816346,8.810000,-4.213904
1.000000,4.010000,4.083333,-9.200000,0.832595,8.830000,-4.222816
1.100000,3.990000,4.166667,-9.200000,0.847397,8.830000,-4.229947
1.100000,4.130000,4.250000,-13.000000,0.862639,8.770000,-4.244207
1.300000,4.150000,4.333333,-11.400000,0.878337,8.790000,-4.260250
1.100000,4.250000,4.416667,-11.400000,0.893972,8.850000,-4.281640
0.900000,4.350000,4.500000,-11.400000,0.909641,8.930000,-4.306595
0.900000,4.430000,4.583333,-11.400000,0.926415,8.910000,-4.315508
1.200000,4.530000,4.666667,-11.200000,0.942013,8.970000,-4.347594
0.800000,4.550000,4.750000,-11.600000,0.957594,9.010000,-4.374332
1.200000,4.650000,4.833333,-11.000000,0.974384,9.010000,-4.370766
1.100000,4.730000,4.916667,-11.400000,0.990027,9.050000,-4.381462
1.200000,4.830000,5.000000,-10.600000,1.005635,9.070000,-4.370766
1.200000,4.910000,5.083333,-11.200000,1.022428,9.070000,-4.376114
1.300000,4.990000,5.166667,-11.400000,1.038471,9.030000,-4.374332
1.100000,5.050000,5.250000,-11.400000,1.054320,9.070000,-4.376114
1.100000,5.170000,5.333333,-11.400000,1.077577,8.850000,-4.299465
1.000000,5.190000,5.416667,-11.400000,1.086305,9.010000,-4.338681
1.000000,5.250000,5.500000,-11.400000,1.101880,8.970000,-4.297683
0.900000,5.370000,5.583333,-11.200000,1.117596,8.930000,-4.272727
1.100000,5.510000,5.666667,-11.000000,1.134280,8.910000,-4.269162
1.000000,5.490000,5.750000,-11.200000,1.149874,8.870000,-4.251337
1.300000,5.650000,5.833333,-13.200000,1.165625,8.830000,-4.237077
1.400000,5.690000,5.916667,-11.400000,1.182516,8.890000,-4.242424
1.200000,5.750000,6.000000,-11.200000,1.198272,8.790000,-4.226381
1.000000,5.790000,6.083333,-11.400000,1.214062,8.910000,-4.233512
0.900000,5.890000,6.166667,-11.400000,1.229760,8.790000,-4.228164
1.200000,5.990000,6.250000,-11.400000,1.246460,8.770000,-4.229947
1.300000,6.070000,6.333333,-11.800000,1.265760,8.670000,-4.228164
1.200000,6.130000,6.416667,-11.400000,1.277607,8.890000,-4.285205
1.200000,6.230000,6.500000,-11.200000,1.294260,8.870000,-4.285205
1.000000,6.370000,6.583333,-11.400000,1.309857,8.890000,-4.317291
1.200000,6.390000,6.666667,-11.400000,1.325692,8.930000,-4.336898
0.800000,6.510000,6.750000,-11.400000,1.342386,8.870000,-4.336898
1.200000,6.570000,6.833333,-11.200000,1.358225,8.990000,-4.352941
0.800000,6.710000,6.916667,-11.400000,1.376119,8.910000,-4.336898
1.100000,6.710000,7.000000,-11.400000,1.390211,9.050000,-4.383244
1.300000,6.750000,7.083333,-11.400000,1.405823,8.990000,-4.383244
1.300000,6.830000,7.166667,-11.400000,1.421586,9.050000,-4.379679
1.200000,6.970000,7.250000,-11.400000,1.438260,9.050000,-4.381462
1.000000,6.990000,7.333333,-11.400000,1.453918,9.030000,-4.363636
1.100000,6.950000,7.416667,-11.200000,1.470186,9.050000,-4.349376
1.300000,7.210000,7.500000,-11.400000,1.485862,8.990000,-4.324421
1.200000,7.270000,7.583333,-11.200000,1.501451,8.930000,-4.285205
1.300000,7.410000,7.666667,-11.400000,1.518166,8.770000,-4.279857
1.200000,7.410000,7.750000,-11.400000,1.534022,8.950000,-4.256684
1.200000,7.530000,7.833333,-11.400000,1.554129,8.850000,-4.344029
1.200000,7.570000,7.916667,-9.000000,1.568403,9.030000,-4.278075
1.200000,7.650000,8.000000,-9.200000,1.584678,8.910000,-4.267380
1.300000,7.750000,8.083333,-9.200000,1.599781,8.870000,-4.226381
1.100000,7.850000,8.166667,-9.000000,1.615834,8.830000,-4.219251
1.000000,7.930000,8.250000,-9.200000,1.632163,8.830000,-4.215686
1.000000,7.970000,8.333333,-9.200000,1.648496,8.810000,-4.226381
1.100000,8.070000,8.416667,-11.200000,1.677317,8.830000,-4.286988
1.100000,8.130000,8.500000,-11.200000,1.684928,9.010000,-4.294118
1.100000,8.210000,8.583333,-11.400000,1.693477,8.890000,-4.304813
1.200000,8.310000,8.666667,-11.200000,1.710048,8.910000,-4.313725
1.100000,8.370000,8.750000,-11.200000,1.725820,8.910000,-4.351159
1.000000,8.470000,8.833333,-11.600000,1.741510,8.990000,-4.367201
1.000000,8.550000,8.916667,-11.400000,1.758118,9.010000,-4.361854
1.200000,8.450000,9.000000,-11.400000,1.774154,9.050000,-4.385027
1.200000,8.750000,9.083333,-11.400000,1.789888,9.030000,-4.388592
1.200000,8.790000,9.166667,-11.200000,1.805504,9.090000,-4.381462
1.100000,8.850000,9.250000,-12.000000,1.822179,8.970000,-4.388592
1.000000,8.930000,9.333333,-11.000000,1.837957,9.090000,-4.381462
1.200000,9.050000,9.416667,-11.400000,1.853560,9.030000,-4.370766
1.000000,9.030000,9.500000,-11.400000,1.869827,9.010000,-4.351159
0.800000,9.150000,9.583333,-11.000000,1.885715,8.970000,-4.329768
1.100000,9.310000,9.666667,-11.200000,1.902368,9.050000,-4.320856
1.400000,9.370000,9.750000,-11.000000,1.917989,9.010000,-4.297683
0.900000,9.370000,9.833333,-11.000000,1.933763,8.970000,-4.269162
1.300000,9.450000,9.916667,-10.800000,1.949417,8.890000,-4.244207
1.100000,9.610000,10.000000,-11.400000,1.970274,9.010000,-4.354724
1.400000,9.650000,10.083333,-11.200000,1.981589,8.850000,-4.224599
1.200000,9.750000,10.166667,-11.800000,1.998184,8.770000,-4.222816
1.300000,9.830000,10.250000,-11.600000,2.013768,8.750000,-4.219251
1.000000,9.890000,10.333333,-11.600000,2.030865,8.730000,-4.226381
1.300000,9.930000,10.416667,-11.200000,2.045567,8.830000,-4.245989
1.200000,10.050000,10.500000,-11.800000,2.065894,8.830000,-4.235294
1.300000,10.050000,10.583333,-11.000000,2.077674,8.830000,-4.270945
1.000000,10.170000,10.666667,-11.400000,2.094360,8.790000,-4.265597
1.200000,10.270000,10.750000,-11.400000,2.109952,8.810000,-4.294118
1.200000,10.350000,10.833333,-13.000000,2.125728,8.890000,-4.319073
1.100000,10.430000,10.916667,-11.400000,2.141411,8.970000,-4.340463
1.000000,10.590000,11.000000,-11.400000,2.158037,8.970000,-4.340463
1.300000,10.590000,11.083333,-11.400000,2.173735,9.010000,-4.377897
1.200000,10.710000,11.166667,-11.200000,2.189436,9.030000,-4.370766
1.200000,10.750000,11.250000,-10.800000,2.206031,9.070000,-4.376114
1.200000,10.870000,11.333333,-11.200000,2.221633,9.070000,-4.363636
1.300000,10.850000,11.416667,-11.000000,2.238429,9.030000,-4.363636
1.200000,10.990000,11.500000,-11.400000,2.254228,9.230000,-4.376114
1.300000,11.250000,11.583333,-12.200000,2.278042,8.830000,-4.245989
1.100000,11.130000,11.666667,-11.400000,2.285723,9.050000,-4.308378
1.000000,11.250000,11.750000,-11.400000,2.302363,9.010000,-4.308378
1.000000,11.330000,11.833333,-11.200000,2.317996,8.950000,-4.283422
1.100000,11.390000,11.916667,-11.000000,2.333770,8.950000,-4.251337
1.400000,11.510000,12.000000,-11.200000,2.349412,8.810000,-4.229947
1.200000,11.570000,12.083333,-11.200000,2.366046,8.890000,-4.231729
1.300000,11.650000,12.166667,-11.400000,2.381812,8.750000,-4.222816
1.200000,11.730000,12.250000,-11.400000,2.397483,8.730000,-4.217469
1.100000,11.850000,12.333333,-11.200000,2.414147,8.790000,-4.222816
1.200000,11.930000,12.416667,-11.600000,2.429854,8.830000,-4.222816
1.100000,11.970000,12.500000,-11.600000,2.445554,8.810000,-4.235294
1.300000,12.010000,12.583333,-11.200000,2.465933,8.910000,-4.231729
1.200000,12.110000,12.666667,-11.000000,2.477650,9.010000,-4.258467
1.400000,12.190000,12.750000,-11.200000,2.494346,8.810000,-4.260250
1.200000,12.290000,12.833333,-11.200000,2.509936,8.910000,-4.297683
